key,company,ticker,cik,recipient,parent,match,action_date,amount,mcap,ratio,agency,subagency,desc,correct,note
1448_4730_INF11PD00049_0_GS10F0092N_0,DLH Holdings Corp.,DLHC,785557,DLH SOLUTIONS INC,DLH HOLDINGS CORP,exact,2010-10-14,92284.8,2845591.5,0.0324307969011012,Department of the Interior,U.S. Fish and Wildlife Service,TEMPORARY PROGRAM OPERATION MANAGER,1,"DLH Solutions (TeamStaff GS); TeamStaff renamed DLH 2012, same CIK"
3600_3600_VA797M12J0344_5_V797P4348A_0,DLH Holdings Corp.,DLHC,785557,DLH SOLUTIONS INC,DLH HOLDINGS CORP,exact,2012-03-28,350000.0,11360124.738967538,0.0308095208496636,Department of Veterans Affairs,Department of Veterans Affairs,SUPPLEMENTAL SHIPPING PACKER SERVICES FOR CHELMSFORD CMOP,1,same
3600_3600_VA25514J0899_0_VA25514A0021_0,DLH Holdings Corp.,DLHC,785557,DLH SOLUTIONS INC,DLH HOLDINGS CORP,exact,2013-12-01,718689.2,14599710.776797771,0.0492262628340664,Department of Veterans Affairs,Department of Veterans Affairs,IGF::OT::IGF SUPPLEMENTAL STAFFING,1,same
3600_3600_VA77016J0167_P00002_VA25514A0021_0,DLH Holdings Corp.,DLHC,785557,DLH SOLUTIONS INC,DLH HOLDINGS CORP,exact,2016-05-25,1668249.28,41102609.85533571,0.0405874295056092,Department of Veterans Affairs,Department of Veterans Affairs,IGF::OT::IGF SUPPLEMENTAL STAFFING SERVICES FOR SHIPPING PACKERS,1,same
9700_9700_HT001122F4012_P00001_HT001120A1012_0,DLH Holdings Corp.,DLHC,785557,"IRVING BURTON ASSOCIATES, LLC",DLH HOLDINGS CORP,exact,2022-10-31,26430554.17,159307277.0877142,0.1659092707701444,Department of Defense,Defense Health Agency,PROGRAM MANAGEMENT SUPPORT SERVICES,1,Irving Burton Associates: acquired by DLH Dec 2021
9700_9700_SPRWA120F0121_P00003_SPRWA120D0021_0,ESPEY MFG & ELECTRONICS CORP,ESP,33533,ESPEY MFG AND ELECTRONICS CORP,ESPEY MFG AND ELECTRONICS CORP,exact,2024-03-14,2263604.0,62990162.015068054,0.0359358339078174,Department of Defense,Defense Logistics Agency,POWER SUPPLY SOLUTIONS,1,Espey itself
7523_-NONE-_HHSD200201142084C_11_-NONE-_0,Emergent BioSolutions Inc.,EBS,1367644,EMERGENT BIODEFENSE OPERATIONS LANSING LLC,EMERGENT BIOSOLUTIONS INC.,exact,2014-09-18,207064090.68,812880769.9849911,0.2547287355362376,Department of Health and Human Services,Centers for Disease Control and Prevention,ANTHRAX VACCINE ADSORBED (AVA) MOD TO REMOVE GFP,1,Emergent BioDefense Operations Lansing: Emergent subsidiary
9700_9700_W911SR24F0016_P00001_W911SR24D0001_0,Emergent BioSolutions Inc.,EBS,1367644,EMERGENT BIODEFENSE OPERATIONS LANSING LLC,EMERGENT BIOSOLUTIONS INC.,exact,2024-02-13,6700000.0,280873922.9964018,0.0238541190599806,Department of Defense,Department of the Army,PROCUREMENT OF BIOTHRAX (ANTHRAX VACCINE ADSORBED),1,same
1540_-NONE-_DJB1PC020_P00068_-NONE-_0,GEO GROUP INC,GEO,923796,"THE GEO GROUP, INC.","THE GEO GROUP, INC.",exact,2020-11-18,35709881.52,1146430724.2109194,0.0311487478186515,Department of Justice,Federal Prison System / Bureau of Prisons,CONTRACT DJB1PC020 IS HEREBY MODIFIED AS INDICATED WITH ATTACHED PAGES.,1,GEO itself
7012_7012_70CDCR22FR0000034_0_70CDCR20D00000011_0,GEO GROUP INC,GEO,923796,B.I. INCORPORATED,"THE GEO GROUP, INC.",exact,2022-07-29,193076560.0,811588482.7261095,0.2378995810185227,Department of Homeland Security,U.S. Immigration and Customs Enforcement,INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP IV),1,BI Inc: GEO subsidiary since 2011
7529_7529_HHSN27100143_0_HHSN271201000005I_0,KELLY SERVICES INC,KELYA,55135,"KELLY SERVICES, INC.","KELLY SERVICES, INC.",exact,2012-09-05,11582560.03,509220007.03811646,0.0227456892304174,Department of Health and Human Services,National Institutes of Health,2010-00005I -- DELIVERY ORDER # 143,1,Kelly itself
9700_-NONE-_FA880813C0002_P00045_-NONE-_5,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",KTOS,1069258,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.","KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",exact,2015-03-26,8084987.83,396315469.1163492,0.0204003841889563,Department of Defense,Department of the Air Force,CCS-C FY 15 FULLY FUND CLIN 5001 AND INCREMENTAL FUND CLINS 5002 AND 5003,1,Kratos Technology & Training Solutions: Kratos subsidiary
9700_-NONE-_FA850116C0002_0_-NONE-_0,LUNA INNOVATIONS INC,LUNA,1239819,LUNA INNOVATIONS INCORPORATED,LUNA INNOVATIONS INCORPORATED,exact,2016-03-30,748655.18,33726695.83092499,0.0221977030822431,Department of Defense,Department of the Air Force,IGF::OT::IGF SBIR PHASE II TOPIC AF141-205,1,Luna itself
9700_-NONE-_HQ014716C7720_0_-NONE-_0,LUNA INNOVATIONS INC,LUNA,1239819,LUNA INNOVATIONS INCORPORATED,LUNA INNOVATIONS INCORPORATED,exact,2016-06-03,999856.0,32954405.024593353,0.030340587222067,Department of Defense,Missile Defense Agency,"IGF::OT::IGF SBIR PHASE II RESEARCH&DEVELOPMENT ""RAPIDLY DISINTEGRATING COMPOSITES FOR FAST COOK-OFF MITIGATION""",1,Luna itself
9700_9700_W15QKN26F0110_0_W15QKN24D0022_16,NATIONAL PRESTO INDUSTRIES INC,NPK,80172,AMTEC CORPORATION,"NATIONAL PRESTO INDUSTRIES, INC.",exact,2026-03-26,119789446.08,902849742.2616806,0.1326792715030541,Department of Defense,Department of the Army,40MM M918E2 HIGH VELOCITY TARGET PRACTICE-DAY/ NIGHT/ THERMAL CARTRIDGES,1,AMTEC: National Presto subsidiary
9700_9700_0001_0_N6339412D1242_0,ORBIT INTERNATIONAL CORP,ORBT,74818,"INTEGRATED CONSULTING SERVICES, INC.",ORBIT INTERNATIONAL CORP.,exact,2012-04-25,1049597.3,16602947.746171951,0.0632175271552004,Department of Defense,Department of the Navy,FIRST ARTICLE TEST UNIT AND ENGINEERING DEVELOPMENT MODELS WITH GFE - BASE YEAR,1,Integrated Combat/Consulting Systems: Orbit subsidiary (acquired 2012)
9700_9700_0002_0_N6339412D1242_0,ORBIT INTERNATIONAL CORP,ORBT,74818,"INTEGRATED CONSULTING SERVICES, INC.",ORBIT INTERNATIONAL CORP.,exact,2012-05-17,547184.45,14520624.21637416,0.037683259469174,Department of Defense,Department of the Navy,FIRST ARTICLE TEST UNIT - BASE YEAR,1,same
9700_-NONE-_SPRDL116C0163_0_-NONE-_1,Optex Systems Holdings Inc,OPXS,1397016,"OPTEX SYSTEMS, INC",OPTEX SYSTEMS  INC,exact,2016-04-01,456494.9,2837003.75,0.1609074009859874,Department of Defense,Defense Logistics Agency,"PERISCOPE, ARMORED; NSN 1240-01-319-5340; P/N 12357841; 370 EACH (NO OPTION)",1,Optex Systems Inc: operating sub of Optex Systems Holdings
9700_-NONE-_SPRDL121C0052_0_-NONE-_1,Optex Systems Holdings Inc,OPXS,1397016,"OPTEX SYSTEMS, INC",OPTEX SYSTEMS  INC,exact,2021-09-24,425045.68,15143882.977266312,0.0280671529645382,Department of Defense,Defense Logistics Agency,BACK UP SIGHT NSN:6650-01-313-8946 QTY: 24 EACH,1,same
9700_9700_W912CH25F0410_0_W912CH25D0066_16,Optex Systems Holdings Inc,OPXS,1397016,"OPTEX SYSTEMS, INC","OPTEX SYSTEMS, INC",exact,2025-07-30,4314841.2,118153818.12493517,0.0365188469443917,Department of Defense,Department of the Army,"COLLIMATOR INFINITY, NSN: 1240-01-475-0275, 909 EA",1,same
12C2_12C2_1202SC24K2501_P00001_1202SC24T2500_0,"Perimeter Solutions, Inc.",PRM,1880319,PERIMETER SOLUTIONS LP,PERIMETER SOLUTIONS LP,exact,2024-05-01,50000000.0,1113991670.1209412,0.0448836390262879,Department of Agriculture,Forest Service,"FAM RETARDANT - FULL SERVICE, 2024 IQ-NOCOMMIT",1,Perimeter Solutions LP: operating sub of Perimeter Solutions Inc
7505_-NONE-_HHSO100201100001C_15_-NONE-_0,SIGA TECHNOLOGIES INC,SIGA,1010086,"SIGA TECHNOLOGIES, INC.","SIGA TECHNOLOGIES, INC.",exact,2018-07-30,50000000.0,600004972.8923836,0.08333264265956,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,"PURPOSE:   THIS MODIFICATION IS TO EXERCISE OPTION CLIN 0011, B.5. PRICE SCHEDULE, PAYMENT FOR FDA APPROVAL FOR EXTENSION TO 84-MONTH EXPIRY PRODUCT, AS DESCRIBED IN SECTION C.7.1 (NSP).  FUNDS ALLOTE",1,SIGA itself
7505_-NONE-_75A50118C00019_P00007_-NONE-_0,SIGA TECHNOLOGIES INC,SIGA,1010086,"SIGA TECHNOLOGIES, INC.","SIGA TECHNOLOGIES, INC.",exact,2021-09-07,112551700.0,511272084.3540788,0.2201405150883476,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,EXERCISE OF OPTION CLIN 0010 FOR ADDITIONAL PROCUREMENT OF NONPARENTERAL (ORAL)FORMULATED ANTIVIRAL AS FDP AND DELIVERY TO THE SNS,1,SIGA itself
7015_7008_70LGLY21FSSB00008_0_70Z04718DTUTPER00_0,TUTOR PERINI CORP,TPC,77543,TUTOR PERINI CORPORATION,TUTOR PERINI CORPORATION,exact,2020-12-28,40869816.0,669394293.727808,0.061054921416194,Department of Homeland Security,Federal Law Enforcement Training Center,CONSTRUCTION OF RESIDENTIAL BUILDING FOR 300 STUDENT DORMITORY ROOMS,1,Tutor Perini itself
7014_7008_70B01C21F00000053_0_70Z04718DTUTPER00_0,TUTOR PERINI CORP,TPC,77543,TUTOR PERINI CORPORATION,TUTOR PERINI CORPORATION,exact,2021-01-14,44152771.0,867112090.155344,0.0509193349986505,Department of Homeland Security,U.S. Customs and Border Protection,"RESTORATION / CONSTRUCTION CONTRACT TO REPAIR AND UPDATE THE SAN JUAN, PR CUSTOMS HOUSE",1,Tutor Perini itself
1443_-NONE-_140P2022C0069_0_-NONE-_0,TUTOR PERINI CORP,TPC,77543,"PERINI MANAGEMENT SERVICES, INC.",TUTOR PERINI CORPORATION,exact,2022-08-31,31606415.0,343582955.72871065,0.091990637116924,Department of the Interior,National Park Service,YOSE 154910B AHWAHNEE HOTEL SEISMIC UPGRADES- YOSEMITE NATIONAL PARK,1,Perini Management Services: Tutor Perini subsidiary
7014_7014_70B04C18F00000555_0_HSBP1013D00021_0,UNISYS CORP,UIS,746838,UNISYS CORPORATION,UNISYS CORPORATION,exact,2018-07-19,20159147.86,785602967.9400158,0.0256607328162986,Department of Homeland Security,U.S. Customs and Border Protection,"IGF::CL,CT::IGF",1,Unisys itself
9700_9700_HC108419F0062_0_HC102815D0003_0,UNISYS CORP,UIS,746838,UNISYS CORPORATION,UNISYS CORPORATION,exact,2018-11-30,27608613.0,689342384.6986046,0.040050653510985,Department of Defense,Defense Information Systems Agency,PRODUCTION SOFTWARE,1,Unisys itself
9700_-NONE-_FA564115C0001_P00100_-NONE-_0,"V2X, Inc.",VVX,1601548,V2X SYSTEMS LLC,"VECTRUS, INC.",exact,2020-11-25,26802643.69,659694234.0,0.040628888822454,Department of Defense,Department of the Air Force,THE PURPOSE OF THIS MODIFICATION IS TO FUND THE THREE (3) MONTH EXTENSION OF SERVICES IN ACCORDANCE WITH FAR 52.217-8 OPTION TO EXTEND SERVICES.,1,V2X Systems (Vectrus Systems): Vectrus/V2X subsidiary
9700_9700_N6274222F4010_P00003_N6274216D3552_0,"V2X, Inc.",VVX,1601548,V2X SYSTEMS LLC,"VECTRUS, INC.",exact,2022-02-17,10762176.35,393473083.4238167,0.0273517473072176,Department of Defense,Department of the Navy,RED HILL WATER TREATMENT,1,same
4732_4730_GSQ0911DF0009_AO04_GS10F0096V_0,VSE CORP,VSEC,102752,VSE CORPORATION,VSE CORPORATION,exact,2011-06-22,7766990.28,134614625.0962181,0.0576979676201483,General Services Administration,Federal Acquisition Service,"PROVIDE FOR EQUIPMENT, ENGINEERING, MAINTENANCE AND LOGISTICS READINESS SUPPORT",1,VSE itself
4732_4730_GSQ0911DF0009_AO08_GS10F0096V_0,VSE CORP,VSEC,102752,VSE CORPORATION,VSE CORPORATION,exact,2011-09-28,2861941.75,131995663.59621812,0.0216820891840419,General Services Administration,Federal Acquisition Service,"PROVIDE FOR EQUIPMENT, ENGINEERING, MAINTENANCE AND LOGISTICS READINESS SUPPORT",1,VSE itself
9700_9700_1U01_1_W911SE07D0017_0,VSE CORP,VSEC,102752,VSE CORPORATION,VSE CORPORATION,exact,2014-09-27,9377802.12,324740227.4609299,0.0288778578290805,Department of Defense,Department of the Army,"OPTION YEAR 1-88TH RSC LOGISTIC SUPPORT, IGF::OT::IGF",1,VSE itself
9700_9700_0007_4_W15P7T10DD409_1,VSE CORP,VSEC,102752,VSE CORPORATION,VSE CORPORATION,exact,2015-07-28,7998685.52,237891427.35847092,0.0336232608665928,Department of Defense,Department of the Army,IGF::OT::IGF THIS MODIFICATION IS EXERCISING OPTION YEAR 1 FOR RTEP 0752 IN SUPPORT OF US ARMY RESERVE,1,VSE itself
7014_7014_HSBP1017J00671_0_HSBP1016D00014_0,"VirTra, Inc",VTSI,1085243,"VIRTRA, INC.","VIRTRA, INC.",exact,2017-09-07,2023908.0,33988521.607626915,0.0595468088716704,Department of Homeland Security,U.S. Customs and Border Protection,IGF::OT::IGF VIRTUAL FIREARMS TRAINING SYSTEMS,1,VirTra itself
1900_1900_19AQMM20F1340_0_SWHARC16D0003_0,"VirTra, Inc",VTSI,1085243,"VIRTRA, INC.","VIRTRA, INC.",exact,2020-04-03,509228.0,17116516.595449448,0.0297506795357755,Department of State,Department of State,REQUIREMENT FOR FIREARMS TRAINING SIMULATORS.,1,VirTra itself
7001_7001_HSHQEH15F00014_P00003_HSHQDC13A00024_0,WIDEPOINT CORP,WYY,1034760,WIDEPOINT INTEGRATED SOLUTIONS CORP,WIDEPOINT CORPORATION,exact,2017-03-15,1732316.6,49638080.400000006,0.0348989442387864,Department of Homeland Security,Office of Procurement Operations,IGF::OT::IGF NATIONAL WIRELESS SERVICE CONTRACT,1,WidePoint Integrated Solutions: WidePoint subsidiary
7014_7001_70B04C23F00001144_0_70RTAC21D00000001_0,WIDEPOINT CORP,WYY,1034760,WIDEPOINT INTEGRATED SOLUTIONS CORP,WIDEPOINT CORPORATION,exact,2023-09-18,498744.0,16007795.575938225,0.0311563199088871,Department of Homeland Security,U.S. Customs and Border Protection,CELLPHONE APP SW,1,same
7001_7001_70RFP321FREH00021_P00004_70RTAC21D00000001_0,WIDEPOINT CORP,WYY,1034760,WIDEPOINT INTEGRATED SOLUTIONS CORP,WIDEPOINT CORPORATION,exact,2024-03-14,1865464.75,23966354.167359352,0.0778368181064704,Department of Homeland Security,Office of Procurement Operations,NATIONWIDE WIRELESS COMMUNICATION SERVICES,1,same
7012_7001_70CTD021FR0000053_P00024_70RTAC21D00000001_0,WIDEPOINT CORP,WYY,1034760,WIDEPOINT INTEGRATED SOLUTIONS CORP,WIDEPOINT CORPORATION,exact,2024-03-15,7003260.4,23966354.167359352,0.2922121717427507,Department of Homeland Security,U.S. Immigration and Customs Enforcement,DHS CWMS IDIQ TASK ORDER EXERCISE OPTION THREE,1,same
