pname,n,total,max_amt
"AECOM GLOBAL II, LLC",17447,20367176416.11,240000000.0
"VERITAS CAPITAL FUND MANAGEMENT, L.L.C.",9912,12642464955.25,144447936.0
MODERNATX  INC.,63,11703305310.16,3300000000.0
THE VERITAS CAPITAL FUND II L P,3503,10435476705.89,510000000.0
ITT CORPORATION,7576,9996032035.38,181918208.65
"PIP MANUFACTURING, INC.",878,4765436090.18,821740200.67
CHEROKEE NATION,8135,4700199114.12,215483678.35
PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP,4968,3646517413.45,94810246.47
DRAGADOS/HAWAIIAN DREDGING/ORION JV,61,3077819028.15,850000000.0
STONEX FINANCIAL LTD,671,3028633253.61,46427838.13
ACTIONET INC,4037,2953757827.8,37666427.91
CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,3230,2804611849.11,123108608.0
GLOBALFOUNDRIES U.S. 2 LLC,562,2527193054.6,54930648.0
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,3031,2346393158.59,30369111.01
"MODERN TECHNOLOGY SOLUTIONS, INC.",2029,2296672098.14,67112068.56
USF HOLDING CORP.,3748,2196662214.5,12520256.63
GROUPE CGI INC,2628,2152950465.37,55744081.78
ASHBRITT INC,265,2059734854.87,187906884.0
PRICEWATERHOUSECOOPERS LLP,3914,2032053140.32,26192870.97
REDSTONE DEFENSE SYSTEMS,3639,1978120833.52,44222020.0
WORLD FUEL CAYMAN HOLDING COMPANY I,13,1908312317.32,938401050.0
"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",33,1902190516.52,674940974.43
"VERITAS CAPITAL FUND MANAGEMENT, LLC",1826,1713103056.66,78927398.0
VERIZON MARYLAND LLC,6445,1659455971.87,84090488.98
"AEVEX AEROSPACE, LLC",438,1633592842.89,230772667.0
READYONE INDUSTRIES INC,726,1482084435.67,89958365.0
"CARLYLE PARTNERS IV, L.P.",2719,1347285804.94,41722209.0
THE TYONEK NATIVE CORPORATION,1689,1333971265.0,31694734.89
FRONTIER TECHNOLOGY INC,1608,1331505559.14,26156698.9
"XPO LOGISTICS WORLDWIDE GOVERNMENT SERVICES, LLC",99,1244145231.43,47075320.65
MAXIMUS EDUCATION LLC,250,1232883373.95,164825610.0
"FERROVIAL CONSTRUCCION PR, LLC",12,1229356730.62,1078991952.0
"SEACORP, LLC",3575,1202639028.37,23547604.34
"COURT SQUARE CAPITAL PARTNERS, L.P.",1867,1192052068.63,31254374.74
ROSOBORONEXPORT JSC,27,1118429424.58,553759240.0
SANOFI PASTEUR MSD SNC,72,1010962737.7,165809642.0
"POLARIS ALPHA, LLC",1018,999484018.54,38260284.0
