filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,M,A,18000,0,512104,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,600,220.43,511504,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,5332,221.93,506172,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2812,222.72,503360,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,4130,223.95,499230,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,3919,225.06,495311,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1107,225.83,494204,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,100,226.70,494104,0001713445-25-000214
2025-09-03,2025-08-29,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Stock Option (Right to Buy),derivative,M,D,18000,0,1477255,0001713445-25-000214
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,3251,214.59,310917,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,2100,215.72,308817,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,5072,216.99,303745,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,7035,218.05,296710,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,5724,219.02,290986,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,4151,220.05,286835,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,2267,221.12,284568,0001713445-25-000216
2025-09-04,2025-09-02,Vollero Andrew,Officer; Chief Financial Officer,Class A Common Stock,non-derivative,S,D,400,222.45,284168,0001713445-25-000216
