ticker,filing_date,trans_date,owner_cik,owner_name,relationship,shares,price,accession,source,value
ACCO,2012-05-09,2012-05-08,0001334618,Fenwick Neal V,Officer,5000.0,10.0,0001209191-12-027209,sec_dataset,50000.0
ACCO,2012-06-05,2012-06-01,0001329851,Schneider Pamela R,Officer,2350.0,8.67,0001209191-12-032262,sec_dataset,20374.5
ACCO,2012-06-05,2012-06-01,0001334618,Fenwick Neal V,Officer,18000.0,8.67,0001209191-12-032291,sec_dataset,156060.0
ACCO,2012-08-14,2012-08-10,0001334618,Fenwick Neal V,Officer,3500.0,7.3,0001209191-12-041585,sec_dataset,25550.0
ACCO,2012-08-14,2012-08-10,0001334618,Fenwick Neal V,Officer,2070.0,7.29,0001209191-12-041585,sec_dataset,15090.3
ACCO,2012-08-14,2012-08-10,0001334618,Fenwick Neal V,Officer,5000.0,7.29,0001209191-12-041585,sec_dataset,36450.0
ACCO,2012-08-15,2012-08-13,0001415266,Kaput David L,Officer,3000.0,6.98,0001209191-12-041835,sec_dataset,20940.0
ACCO,2012-08-15,2012-08-14,0001049158,O NEILL THOMAS P JR,Officer,24440.0,6.76,0001209191-12-041831,sec_dataset,165214.4
ACCO,2012-08-16,2012-08-15,0001049158,O NEILL THOMAS P JR,Officer,1769.0,6.54,0001209191-12-042094,sec_dataset,11569.26
ACCO,2012-08-16,2012-08-15,0001204080,Keller Robert J,"Director,Officer",22320.0,6.54,0001209191-12-042084,sec_dataset,145972.8
ACCO,2012-08-16,2012-08-15,0001329851,Schneider Pamela R,Officer,2002.0,6.54,0001209191-12-042083,sec_dataset,13093.08
ACCO,2012-08-21,2012-08-20,0001336247,Elisman Boris,Officer,3000.0,6.81,0001209191-12-042724,sec_dataset,20430.0
ACCO,2013-02-19,2013-02-15,0001336247,Elisman Boris,Officer,2750.0,8.1,0001209191-13-009564,sec_dataset,22275.0
ACCO,2013-06-07,2013-06-05,0001334618,Fenwick Neal V,Officer,3521.0,6.63,0001209191-13-031144,sec_dataset,23344.23
ACCO,2013-06-07,2013-06-06,0001334618,Fenwick Neal V,Officer,11479.0,6.63,0001209191-13-031144,sec_dataset,76105.77
ACCO,2013-08-07,2013-08-05,0001336247,Elisman Boris,Officer,4000.0,6.88,0001209191-13-039605,sec_dataset,27520.0
ACCO,2013-11-01,2013-10-31,0001336247,Elisman Boris,Officer,4000.0,5.82,0001209191-13-050174,sec_dataset,23280.0
ACCO,2013-11-06,2013-11-05,0001334618,Fenwick Neal V,Officer,8074.0,5.57,0001209191-13-051005,sec_dataset,44972.18
ACCO,2017-08-07,2017-08-03,0001334618,Fenwick Neal V,Officer,12313.0,10.6,0000712034-17-000075,sec_dataset,130517.79999999999
ACCO,2018-11-01,2018-10-31,0001334618,Fenwick Neal V,Officer,5000.0,8.09,0000712034-18-000149,sec_dataset,40450.0
ACCO,2018-11-01,2018-10-31,0001334618,Fenwick Neal V,Officer,5000.0,8.03,0000712034-18-000149,sec_dataset,40150.0
ACCO,2018-11-01,2018-10-31,0001336247,Elisman Boris,"Director,Officer",6547.0,7.72,0000712034-18-000148,sec_dataset,50542.84
ACCO,2018-11-02,2018-11-01,0001329851,Schneider Pamela R,Officer,3100.0,8.1,0000712034-18-000150,sec_dataset,25110.0
ACCO,2020-11-16,2020-11-13,0001507111,Lombardi Ronald M.,Director,50000.0,6.83,0000712034-20-000151,sec_dataset,341500.0
ACCO,2022-02-18,2022-02-17,0001507111,Lombardi Ronald M.,Director,60000.0,8.85,0001628280-22-003164,sec_dataset,531000.0
