adsh,cik,company,form,period,filed,fm,person,name,last,title,is_ceo,is_cfo,is_dir,term_date,exp_date,trm_class,trm_reason,trm_stale,purchase_only,source,sic,dup,insider_target,primary,early_or_repl,ticker,ar,ar_etf,ar_2_60,mcap0,status,bench,delisted_in_window,in_universe
0000701347-23-000032,701347,CENTRAL PACIFIC FINANCIAL CORP,10-Q,2023-06-30,2023-07-26,2023-07,MrPaulYonamine,Mr. Paul Yonamine,yonamine,a director of the Company,False,False,False,2023-05-08,,early,text: scheduled end after termination,False,False,xbrl,6022.0,False,False,False,False,CPF,0.026858741054282542,0.019588255656299514,0.02924795060704488,434685230.70604706,ok,size_industry,False,True
0000059527-23-000027,59527,LINCOLN ELECTRIC HOLDINGS INC,10-Q,2023-06-30,2023-07-27,2023-07,s hedlund,Steve Hedlund,hedlund,Executive Vice President & Chief Operating Officer,False,False,False,2023-05-11,,early,default (no expiry / replacement cue),False,False,xbrl,3540.0,False,False,False,False,LECO,-0.028699218151149508,-0.062286614960484155,-0.027794942425515945,10894622677.798431,ok,size_industry,False,True
0000950170-23-035935,1492422,"APELLIS PHARMACEUTICALS, INC.",10-Q,2023-06-30,2023-07-31,2023-07,ASinclairDunlop,A Sinclair Dunlop,dunlop,Director,False,False,True,2023-05-31,,early,default (no expiry / replacement cue),False,False,xbrl,2834.0,False,True,True,True,,,,,,no_price,,,
0001670076-23-000071,1670076,"FRONTIER GROUP HOLDINGS, INC.",10-Q,2023-06-30,2023-08-01,2023-08,BarryLBiffle,Barry L. Biffle,biffle,President and Chief Executive Officer,True,False,False,2023-05-24,,replacement,same person adopted a plan in the same filing,False,False,xbrl,4512.0,False,True,False,True,ULCC,-0.4307000083645707,-0.4030181266015943,-0.41574739571780917,1977286195.9382458,ok,size_industry,False,True
0001169561-23-000107,1169561,COMMVAULT SYSTEMS INC,10-Q,2023-06-30,2023-08-01,2023-08,JamesWhalen,James Whalen,whalen,Chief Accounting Officer,False,False,False,2023-05-23,,early,text: scheduled end after termination,False,False,xbrl,7372.0,False,False,False,False,CVLT,0.08673221057232128,-0.047235043816741484,0.09945726605372884,3220404001.147499,ok,size_industry,False,True
0001590895-23-000091,1590895,"CAESARS ENTERTAINMENT, INC.",10-Q,2023-06-30,2023-08-01,2023-08,ThomasReeg,Thomas Reeg,reeg,Chief Executive Officer and a member of the Board of Directors,True,False,True,2023-06-14,,early,text: scheduled end after termination,False,False,xbrl,7011.0,False,True,True,True,CZR,-0.18512813730557343,-0.251046078135305,-0.1654590443201036,12441601957.773766,ok,size_industry,False,True
0000833444-23-000030,833444,JOHNSON CONTROLS INTERNATIONAL PLC,10-Q,2023-06-30,2023-08-02,2023-08,GeorgeOliver,George Oliver,oliver,Chairman and Chief Executive Officer,True,False,True,,,early,default (no expiry / replacement cue),False,False,xbrl,3585.0,False,True,True,True,JCI,-0.11501553113556595,-0.14524066810171898,-0.09961831940969124,41084303249.53789,ok,size_industry,False,True
0001402057-23-000132,1402057,CDW CORP,10-Q,2023-06-30,2023-08-02,2023-08,ChristineLeahy,Christine Leahy,leahy,"Chair, President and Chief Executive Officer",True,False,True,2023-05-03,,early,default (no expiry / replacement cue),False,False,xbrl,5961.0,False,True,True,True,CDW,0.13634127551022324,0.09037177620459502,0.12390369968466997,25175880800.23372,ok,size_industry,False,True
0001421517-23-000148,1421517,"ENERGY RECOVERY, INC.",10-Q,2023-06-30,2023-08-02,2023-08,JoshuaBallard,Joshua Ballard,ballard,Chief Financial Officer,False,True,False,2023-06-07,,early,default (no expiry / replacement cue),False,False,xbrl,3559.0,False,True,True,True,ERII,-0.36353348682995024,-0.3508058795390956,-0.28866375128575783,1715888837.1434822,ok,size_industry,False,True
0001396814-23-000037,1396814,"PACIRA BIOSCIENCES, INC.",10-Q,2023-06-30,2023-08-02,2023-08,GaryPace,Gary Pace,pace,Director,False,False,True,,,replacement,same person adopted a plan in the same filing,False,False,xbrl,2834.0,False,True,False,True,PCRX,0.012631970099367007,-0.10182323437469931,-0.03283945603120886,1703968945.2539444,ok,size_industry,False,True
0001060736-23-000040,1060736,SEAGEN INC.,10-Q,2023-06-30,2023-08-02,2023-08,JeanILiu,Jean I. Liu,liu,Chief Legal Officer,False,False,False,2023-05-15,,early,text: scheduled end after termination,False,False,xbrl,2836.0,False,False,False,False,,,,,,no_price,,,
0000833444-23-000030,833444,JOHNSON CONTROLS INTERNATIONAL PLC,10-Q,2023-06-30,2023-08-02,2023-08,JohnDonofrio,John Donofrio,donofrio,Executive Vice President and General Counsel,False,False,False,2023-05-08,,early,text: scheduled end after termination,False,False,xbrl,3585.0,False,False,False,False,JCI,-0.11501553113556595,-0.14524066810171898,-0.09961831940969124,41084303249.53789,ok,size_industry,False,True
0001060736-23-000040,1060736,SEAGEN INC.,10-Q,2023-06-30,2023-08-02,2023-08,RogerDDanseyMD,"Roger D. Dansey, M.D",dansey,"President, Research and Development and Chief Medical Officer",False,False,False,2023-05-03,,early,text: scheduled end after termination,False,False,xbrl,2836.0,False,False,False,False,,,,,,no_price,,,
0001104659-23-086723,1126328,PRINCIPAL FINANCIAL GROUP INC,10-Q,2023-06-30,2023-08-02,2023-08,r walker,Roberto Walker,walker,Executive Vice President and President,False,False,False,2023-04-03,,early,text: scheduled end after termination,False,False,xbrl,6321.0,False,False,False,False,PFG,-0.042601798635149124,-0.040967725403969424,-0.052832540627848035,16903908773.563248,ok,size_industry,False,True
0001667011-23-000022,1667011,"ARTERIS, INC.",10-Q,2023-06-30,2023-08-03,2023-08,NickHawkins,Nick Hawkins,hawkins,Chief Financial Officer,False,True,False,2023-05-11,,replacement,same person adopted a plan in the same filing,False,False,xbrl,3674.0,False,True,False,True,AIP,0.00551829493292566,-0.06497859273125772,-0.02392119908669177,250712889.21946907,ok,size_industry,False,True
0001070081-23-000050,1070081,"PTC THERAPEUTICS, INC.",10-Q,2023-06-30,2023-08-03,2023-08,MatthewKlein,Matthew Klein,klein,Chief Executive Officer,True,False,False,2023-04-14,,replacement,same person adopted a plan in the same filing,False,False,xbrl,2834.0,False,True,False,True,PTCT,-0.26622485418620584,-0.459130977531845,-0.24930182485869073,3037908401.3265457,ok,size_industry,False,True
0001628280-23-027248,1512673,"BLOCK, INC.",10-Q,2023-06-30,2023-08-03,2023-08,AlyssaHenry,Alyssa Henry,henry,Chief Executive Officer of Square,True,False,False,2023-05-18,,early,text: scheduled end after termination,False,False,xbrl,7372.0,False,True,True,True,XYZ,-0.33892571632282775,-0.37408873748948857,-0.2570128798964585,44871105783.404785,ok,size_industry,False,True
0000891103-23-000099,891103,"MATCH GROUP, INC.",10-Q,2023-06-30,2023-08-03,2023-08,GarySwidler,Gary Swidler,swidler,President and Chief Financial Officer,False,True,False,2023-05-31,,early,default (no expiry / replacement cue),False,False,xbrl,7370.0,False,True,True,True,MTCH,-0.14526868520947456,-0.18207308351487583,-0.11062058756658655,12324797471.01717,ok,size_industry,False,True
