supplier_cik,name,sic,first_link,last_link,ticker,ticker_src
2488,ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),3674.0,2010-02-19,2020-02-04,AMD,company_tickers
3153,ALABAMA POWER CO  (CIK 0000003153),4911.0,2011-02-25,2013-02-28,,
5133,AMERICAN GREETINGS CORP  (CIK 0000005133),2771.0,2010-04-29,2016-05-26,,
6281,ANALOG DEVICES INC  (ADI)  (CIK 0000006281),3674.0,2017-11-22,2017-11-22,ADI,company_tickers
6314,ANAREN  INC  (CIK 0000006314),3663.0,2010-08-13,2013-08-12,ANEN,oplev_hist_xbrl_prefix
7039,TRECORA RESOURCES  (CIK 0000007039),2911.0,2014-03-14,2022-03-10,TREC,oplev_hist_xbrl_prefix
8063,"ASTRONICS CORP  (ATRO, ATROB)  (CIK 0000008063)",3728.0,2014-03-07,2026-02-26,ATRO,company_tickers
9389,BALL CORP  (BALL)  (CIK 0000009389),3411.0,2010-02-25,2011-02-28,BALL,company_tickers
9984,BARNES GROUP INC  (B)  (CIK 0000009984),3490.0,2010-02-22,2024-02-26,,
13547,ENTRX CORP  (CIK 0000013547),1700.0,2010-03-12,2011-03-31,,
14177,BRIDGFORD FOODS CORP  (BRID)  (CIK 0000014177),2013.0,2010-01-28,2026-01-28,BRID,company_tickers
14272,"BRISTOL MYERS SQUIBB CO  (BMY, BMYMP, CELG-RI)  (CIK 0000014272)",2834.0,2021-02-10,2026-02-11,BMY,company_tickers
15357,CHASE GENERAL CORP  (CIK 0000015357),2060.0,2011-09-26,2012-09-14,,
15615,MASTEC INC  (MTZ)  (CIK 0000015615),1623.0,2010-02-25,2026-02-26,MTZ,company_tickers
16160,CAL-MAINE FOODS INC  (CALM)  (CIK 0000016160),200.0,2010-08-02,2020-07-20,CALM,company_tickers
16732,CAMPBELL'S Co  (CPB)  (CIK 0000016732),2000.0,2010-09-29,2026-09-24,CPB,company_tickers
17843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843),3312.0,2016-08-18,2020-09-04,CRS,company_tickers
18396,CDI CORP  (CIK 0000018396),7363.0,2012-03-06,2017-03-08,CDI,oplev_hist_xbrl_prefix
19446,CANTEL MEDICAL CORP  (CIK 0000019446),3841.0,2012-10-15,2016-09-29,CMD,oplev_hist_xbrl_prefix
19745,CHESAPEAKE UTILITIES CORP  (CPK)  (CIK 0000019745),4923.0,2010-03-08,2010-03-08,CPK,company_tickers
19871,CHICAGO RIVET & MACHINE CO  (CVR)  (CIK 0000019871),3540.0,2021-03-19,2022-03-21,CVR,company_tickers
20629,CSS INDUSTRIES INC  (CIK 0000020629),2771.0,2010-06-01,2019-05-31,CSS,oplev_hist_xbrl_prefix
21076,CLOROX CO /DE/  (CLX)  (CIK 0000021076),2842.0,2010-08-26,2026-08-07,CLX,company_tickers
21665,COLGATE PALMOLIVE CO  (CL)  (CIK 0000021665),2844.0,2016-02-18,2026-02-23,CL,company_tickers
22252,COMARCO INC  (CIK 0000022252),3663.0,2012-04-30,2012-04-30,CMRO,oplev_hist_xbrl_prefix
22701,COMMUNICATIONS SYSTEMS INC  (PEGY)  (CIK 0000022701),3661.0,2015-03-12,2015-03-12,SUNE,company_tickers
23111,COMPUTER TASK GROUP INC  (CIK 0000023111),7371.0,2010-02-25,2023-03-15,CTG,oplev_hist_xbrl_prefix
23194,COMSTOCK RESOURCES INC  (CRK)  (CIK 0000023194),1311.0,2018-02-27,2021-02-17,CRK,company_tickers
23197,COMTECH TELECOMMUNICATIONS CORP /DE/  (CMTL)  (CIK 0000023197),3663.0,2018-09-26,2023-10-12,CMTL,company_tickers
23217,CONAGRA BRANDS INC.  (CAG)  (CIK 0000023217),2000.0,2010-07-22,2026-07-15,CAG,company_tickers
23341,CONGOLEUM CORP  (CIK 0000023341),3089.0,2010-03-19,2010-03-19,,
23666,Hillshire Brands Co  (CIK 0000023666),2000.0,2012-09-14,2014-08-22,HSH,oplev_hist_xbrl_prefix
23795,"CONSOLIDATED TOMOKA LAND CO  (CTO, CTO-PA)  (CIK 0000023795)",6500.0,2010-03-12,2014-03-10,CTO,company_tickers
25895,CROWN CRAFTS INC  (CRWS)  (CIK 0000025895),2211.0,2023-06-26,2023-06-26,CRWS,company_tickers
26172,CUMMINS INC  (CMI)  (CIK 0000026172),3510.0,2012-02-21,2026-02-10,CMI,company_tickers
26780,DANA INC  (DAN)  (CIK 0000026780),3714.0,2010-02-24,2020-02-14,DAN,company_tickers
29332,DIXIE GROUP INC  (DXYN)  (CIK 0000029332),2273.0,2012-03-22,2013-03-25,DXYN,company_tickers
29806,CONSTAR INTERNATIONAL INC  (CIK 0000029806),3080.0,2010-03-24,2010-03-24,,
30305,DUCOMMUN INC /DE/  (DCO)  (CIK 0000030305),3728.0,2010-02-22,2025-02-27,DCO,company_tickers
30828,COBRA ELECTRONICS CORP  (CIK 0000030828),3663.0,2010-03-15,2014-03-18,COBR,oplev_hist_xbrl_prefix
31986,EL PASO NATURAL GAS CO  (CIK 0000031986),4922.0,2011-03-01,2012-02-27,,
32621,EMERSON RADIO CORP  (MSN)  (CIK 0000032621),3651.0,2010-07-14,2026-06-26,MSN,company_tickers
33488,ESCALADE INC  (ESCA)  (CIK 0000033488),3949.0,2010-03-05,2022-02-22,ESCA,company_tickers
33769,BOB EVANS FARMS INC  (CIK 0000033769),5812.0,2017-06-15,2017-06-15,BOBE,oplev_hist_xbrl_prefix
34285,RELIABILITY INC  (RLBY)  (CIK 0000034285),3825.0,2020-05-01,2022-03-31,RLBY,company_tickers
36047,"CORELOGIC, INC.  (CIK 0000036047)",7374.0,2017-02-24,2018-02-27,CLGX,oplev_hist_xbrl_prefix
38009,FORD MOTOR CREDIT CO LLC  (CIK 0000038009),6159.0,2021-02-05,2026-02-11,,
39020,FREQUENCY ELECTRONICS INC  (FEIM)  (CIK 0000039020),3825.0,2011-07-29,2026-07-17,FEIM,company_tickers
40704,GENERAL MILLS INC  (GIS)  (CIK 0000040704),2040.0,2010-07-09,2026-07-01,GIS,company_tickers
41719,Glatfelter Corp  (GLT)  (CIK 0000041719),2621.0,2019-02-25,2024-02-28,MAGN,company_tickers
42542,GOODRICH CORP  (CIK 0000042542),3760.0,2010-02-16,2012-02-23,GR,oplev_hist_xbrl_prefix
45876,HARSCO CORP  (NVRI)  (CIK 0000045876),3440.0,2010-02-23,2017-02-24,,
46080,"HASBRO, INC.  (HAS)  (CIK 0000046080)",3944.0,2010-02-24,2026-02-25,HAS,company_tickers
46640,HEINZ H J CO  (CIK 0000046640),2030.0,2010-06-17,2013-07-09,HNZ,oplev_hist_xbrl_prefix
47035,HERLEY INDUSTRIES INC /NEW  (CIK 0000047035),3812.0,2010-10-14,2010-10-14,,
47111,HERSHEY CO  (HSY)  (CIK 0000047111),2060.0,2010-02-19,2026-02-17,HSY,company_tickers
47307,HICKOK INC  (CRAWA)  (CIK 0000047307),3823.0,2013-01-14,2013-12-30,CRAWA,oplev_hist_xbrl_prefix
48039,HollyFrontier Corp  (CIK 0000048039),2911.0,2012-02-29,2017-02-22,HFC,oplev_hist_xbrl_prefix
48465,HORMEL FOODS CORP /DE/  (HRL)  (CIK 0000048465),2011.0,2010-12-21,2025-12-05,HRL,company_tickers
49615,ID SYSTEMS INC  (CIK 0000049615),3669.0,2010-03-31,2019-04-01,IDSY,oplev_hist_xbrl_prefix
50471,PARK CITY GROUP INC  (TRAK)  (CIK 0000050471),7374.0,2018-09-13,2018-09-13,TRAK,company_tickers
50725,GRIFFON CORP  (GFF)  (CIK 0000050725),3442.0,2010-11-18,2025-11-19,GFF,company_tickers
50863,INTEL CORP  (INTC)  (CIK 0000050863),3674.0,2010-02-22,2023-01-27,INTC,company_tickers
54381,KAMAN Corp  (CIK 0000054381),3760.0,2023-02-23,2023-02-23,KAMN,oplev_hist_xbrl_prefix
55067,KELLANOVA  (K)  (CIK 0000055067),2040.0,2010-02-26,2025-02-21,K,oplev_hist_xbrl_prefix
55772,KIMBALL INTERNATIONAL INC  (CIK 0000055772),3672.0,2013-08-26,2013-08-26,KBAL,oplev_hist_xbrl_prefix
55785,KIMBERLY CLARK CORP  (KMB)  (CIK 0000055785),2670.0,2016-02-11,2026-02-12,KMB,company_tickers
56047,KIRBY CORP  (KEX)  (CIK 0000056047),4400.0,2010-02-26,2014-02-24,KEX,company_tickers
56701,KOSS CORP  (KOSS)  (CIK 0000056701),3651.0,2010-09-20,2021-08-20,KOSS,company_tickers
57515,MARZETTI CO  (MZTI)  (CIK 0000057515),2030.0,2010-08-25,2026-08-25,MZTI,company_tickers
57528,"SNYDER'S-LANCE, INC.  (CIK 0000057528)",2052.0,2010-02-23,2018-02-28,LNCE,oplev_hist_xbrl_prefix
57725,LANNETT CO INC  (CIK 0000057725),2834.0,2010-09-24,2019-08-28,LCI,oplev_hist_xbrl_prefix
58592,4Licensing Corp  (CIK 0000058592),6794.0,2015-03-31,2015-03-31,,
59255,VALHI INC /DE/  (VHI)  (CIK 0000059255),2810.0,2016-03-11,2016-03-11,VHI,company_tickers
60519,LOUISIANA-PACIFIC CORP  (LPX)  (CIK 0000060519),2400.0,2010-03-01,2015-03-02,LPX,company_tickers
60714,LSB INDUSTRIES INC  (LXU)  (CIK 0000060714),2810.0,2014-02-27,2014-02-27,LXU,company_tickers
60977,LYDALL INC /DE/  (CIK 0000060977),3714.0,2010-02-26,2020-02-26,LDL,oplev_hist_xbrl_prefix
61478,ADC TELECOMMUNICATIONS INC  (CIK 0000061478),3661.0,2010-11-23,2010-11-23,,
62996,MASCO CORP /DE/  (MAS)  (CIK 0000062996),3430.0,2010-02-16,2026-02-10,MAS,company_tickers
63754,"MCCORMICK & CO INC  (MKC, MKC-V)  (CIK 0000063754)",2090.0,2010-01-28,2015-01-29,MKC,company_tickers
64803,CVS HEALTH Corp  (CVS)  (CIK 0000064803),5912.0,2017-02-09,2018-02-14,CVS,company_tickers
65270,METHODE ELECTRONICS INC  (MEI)  (CIK 0000065270),3678.0,2011-06-30,2022-06-23,MEI,company_tickers
65770,"MICROVISION, INC.  (MVIS)  (CIK 0000065770)",3679.0,2016-03-08,2023-03-02,MVIS,company_tickers
66418,MEXCO ENERGY CORP  (MXC)  (CIK 0000066418),1311.0,2026-06-29,2026-06-29,MXC,company_tickers
67215,DYCOM INDUSTRIES INC  (DY)  (CIK 0000067215),1623.0,2010-09-03,2025-02-28,DY,company_tickers
67472,MOLEX INC  (CIK 0000067472),3678.0,2013-08-08,2013-08-08,MOLX,oplev_hist_xbrl_prefix
67887,"MOOG INC.  (MOG-A, MOG-B)  (CIK 0000067887)",3590.0,2010-12-01,2025-11-26,MOG-A,company_tickers
69499,MYLAN INC.  (CIK 0000069499),2834.0,2011-02-24,2015-03-02,MYL,oplev_hist_xbrl_prefix
70415,GP STRATEGIES CORP  (CIK 0000070415),8200.0,2010-03-04,2011-03-03,GPX,oplev_hist_xbrl_prefix
72162,NL INDUSTRIES INC  (NL)  (CIK 0000072162),2810.0,2013-03-12,2016-03-10,NL,company_tickers
72207,NOBLE ENERGY INC  (CIK 0000072207),1311.0,2012-02-09,2018-02-20,NBL,oplev_hist_xbrl_prefix
72911,NORTEL NETWORKS CORP  (CIK 0000072911),3661.0,2010-03-15,2011-03-04,NRTLQ,oplev_hist_xbrl_prefix
73756,OCEANEERING INTERNATIONAL INC  (OII)  (CIK 0000073756),1389.0,2011-02-25,2020-02-27,OII,company_tickers
73887,Bristow Group Inc  (CIK 0000073887),4522.0,2011-05-20,2011-05-20,BRS,oplev_hist_xbrl_prefix
74046,Oil-Dri Corp of America  (ODC)  (CIK 0000074046),3990.0,2010-10-12,2025-10-09,ODC,company_tickers
74818,ORBIT INTERNATIONAL CORP  (CIK 0000074818),3679.0,2014-03-31,2014-03-31,ORBT,oplev_hist_xbrl_prefix
75288,OXFORD INDUSTRIES INC  (OXM)  (CIK 0000075288),2320.0,2010-03-31,2015-03-31,OXM,company_tickers
