cik,n_ciks,adsh,file_name,file_date,form,root_form,file_type,file_description,period_ending,display_name,sic,doc_ok
33533,1,0000914317-10-001478,form10k-110020_esp.htm,2010-09-09,10-K,10-K,10-K,FORM 10-K,2010-06-30,ESPEY MFG & ELECTRONICS CORP  (ESP)  (CIK 0000033533),3679.0,True
731802,1,0000950123-10-105040,d77592e10vk.htm,2010-11-12,10-K,10-K,10-K,FORM 10-K,2010-09-30,ATMOS ENERGY CORP  (ATO)  (CIK 0000731802),4924.0,True
22872,1,0001193125-10-084447,d10k.htm,2010-04-15,10-K,10-K,10-K,FORM 10-K,2009-12-31,COMPREHENSIVE CARE CORP  (CIK 0000022872),6324.0,True
12208,1,0000012208-10-000013,b10k12312009.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K 12/31/2009,2009-12-31,"BIO RAD LABORATORIES INC  (BIO, BIO-B)  (CIK 0000012208)",3826.0,True
1014041,1,0001193125-10-073394,d10k.htm,2010-03-31,10-K,10-K,10-K,FORM 10-K,2009-12-31,SRI SURGICAL EXPRESS INC  (CIK 0001014041),7200.0,True
317771,1,0001193125-10-044806,dex13.htm,2010-03-01,10-K,10-K,EX-13,ANNUAL REPORT TO STOCKHOLDERS,2010-01-01,TELLABS INC  (CIK 0000317771),3661.0,True
812074,1,0001104659-10-006102,a09-35364_110k.htm,2010-02-10,10-K,10-K,10-K,10-K,2009-12-31,OWENS ILLINOIS INC /DE/  (OI)  (CIK 0000812074),3221.0,True
225648,1,0000950123-10-015135,c55585e10vk.htm,2010-02-22,10-K,10-K,10-K,FORM 10-K,2009-12-31,COVANTA HOLDING CORP  (CIK 0000225648),4991.0,True
1295503,1,0000908834-10-000113,mis_10k.htm,2010-04-15,10-K,10-K,10-K,FOR THE FISCAL YEAR ENDED 12/31/2009,2009-12-31,"MISCOR GROUP, LTD.  (CIK 0001295503)",7600.0,True
901842,1,0000950123-10-027260,c57096e10vk.htm,2010-03-23,10-K,10-K,10-K,FORM 10-K,2009-12-31,BLUE VALLEY BAN CORP  (CIK 0000901842),6022.0,True
1414490,1,0001144204-10-017406,v179522_10k.htm,2010-03-31,10-K,10-K,10-K,,2009-12-31,"Octavian Global Technologies, Inc.  (CIK 0001414490)",7389.0,True
1438943,1,0001393905-10-000379,lgnd_10k.htm,2010-07-14,10-K,10-K,10-K,,2010-03-31,Legend Mining Inc.  (RNGE)  (CIK 0001438943),1000.0,True
1175416,1,0001175416-10-000009,form10k2010.htm,2010-08-27,10-K,10-K,10-K,"ANNUAL REPORT FOR THE FISCAL YEAR ENDED MAY 31, 2010",2010-05-31,STERLING GROUP VENTURES INC  (CIK 0001175416),1400.0,True
824068,1,0000950123-10-024109,c56845e10vk.htm,2010-03-12,10-K,10-K,10-K,FORM 10-K,2009-12-31,ATS MEDICAL INC  (CIK 0000824068),3842.0,True
1123494,1,0001193125-10-053862,d10k.htm,2010-03-11,10-K,10-K,10-K,FORM 10-K,2009-12-31,HARVARD BIOSCIENCE INC  (HBIO)  (CIK 0001123494),3826.0,True
