cik,name,ticker,ticker_src,months
3153,ALABAMA POWER CO  (CIK 0000003153),,,49
5133,AMERICAN GREETINGS CORP  (CIK 0000005133),,,88
6314,ANAREN  INC  (CIK 0000006314),ANEN,oplev_hist_xbrl_prefix,51
7039,TRECORA RESOURCES  (CIK 0000007039),TREC,oplev_hist_xbrl_prefix,111
9984,BARNES GROUP INC  (B)  (CIK 0000009984),,,183
13547,ENTRX CORP  (CIK 0000013547),,,28
15357,CHASE GENERAL CORP  (CIK 0000015357),,,24
18396,CDI CORP  (CIK 0000018396),CDI,oplev_hist_xbrl_prefix,75
19446,CANTEL MEDICAL CORP  (CIK 0000019446),CMD,oplev_hist_xbrl_prefix,59
20629,CSS INDUSTRIES INC  (CIK 0000020629),CSS,oplev_hist_xbrl_prefix,122
23111,COMPUTER TASK GROUP INC  (CIK 0000023111),CTG,oplev_hist_xbrl_prefix,172
23341,CONGOLEUM CORP  (CIK 0000023341),,,15
23666,Hillshire Brands Co  (CIK 0000023666),HSH,oplev_hist_xbrl_prefix,38
29806,CONSTAR INTERNATIONAL INC  (CIK 0000029806),,,15
30828,COBRA ELECTRONICS CORP  (CIK 0000030828),COBR,oplev_hist_xbrl_prefix,51
31986,EL PASO NATURAL GAS CO  (CIK 0000031986),,,26
33769,BOB EVANS FARMS INC  (CIK 0000033769),BOBE,oplev_hist_xbrl_prefix,15
36047,"CORELOGIC, INC.  (CIK 0000036047)",CLGX,oplev_hist_xbrl_prefix,24
38009,FORD MOTOR CREDIT CO LLC  (CIK 0000038009),,,66
45876,HARSCO CORP  (NVRI)  (CIK 0000045876),,,60
46640,HEINZ H J CO  (CIK 0000046640),HNZ,oplev_hist_xbrl_prefix,45
47035,HERLEY INDUSTRIES INC /NEW  (CIK 0000047035),,,15
47307,HICKOK INC  (CRAWA)  (CIK 0000047307),CRAWA,oplev_hist_xbrl_prefix,24
48039,HollyFrontier Corp  (CIK 0000048039),HFC,oplev_hist_xbrl_prefix,47
49615,ID SYSTEMS INC  (CIK 0000049615),IDSY,oplev_hist_xbrl_prefix,99
54381,KAMAN Corp  (CIK 0000054381),KAMN,oplev_hist_xbrl_prefix,12
55067,KELLANOVA  (K)  (CIK 0000055067),K,oplev_hist_xbrl_prefix,194
55772,KIMBALL INTERNATIONAL INC  (CIK 0000055772),KBAL,oplev_hist_xbrl_prefix,12
57528,"SNYDER'S-LANCE, INC.  (CIK 0000057528)",LNCE,oplev_hist_xbrl_prefix,98
57725,LANNETT CO INC  (CIK 0000057725),LCI,oplev_hist_xbrl_prefix,119
58592,4Licensing Corp  (CIK 0000058592),,,14
60977,LYDALL INC /DE/  (CIK 0000060977),LDL,oplev_hist_xbrl_prefix,119
61478,ADC TELECOMMUNICATIONS INC  (CIK 0000061478),,,15
67472,MOLEX INC  (CIK 0000067472),MOLX,oplev_hist_xbrl_prefix,15
69499,MYLAN INC.  (CIK 0000069499),MYL,oplev_hist_xbrl_prefix,64
70415,GP STRATEGIES CORP  (CIK 0000070415),GPX,oplev_hist_xbrl_prefix,15
72207,NOBLE ENERGY INC  (CIK 0000072207),NBL,oplev_hist_xbrl_prefix,84
