form,name,cik,date,adsh
10-K,ADVANCED MICRO DEVICES INC,2488,2009-02-24,0001193125-09-036235
10-K,ADVANCED MICRO DEVICES INC,2488,2010-02-19,0001193125-10-035218
10-K,ADVANCED MICRO DEVICES INC,2488,2011-02-18,0001193125-11-040392
10-K,ADVANCED MICRO DEVICES INC,2488,2012-02-24,0001193125-12-075837
10-K,ADVANCED MICRO DEVICES INC,2488,2013-02-21,0001193125-13-069422
10-K,ADVANCED MICRO DEVICES INC,2488,2014-02-18,0001193125-14-057240
10-K,ADVANCED MICRO DEVICES INC,2488,2015-02-19,0001193125-15-054362
10-K,ADVANCED MICRO DEVICES INC,2488,2016-02-18,0000002488-16-000111
10-K,ADVANCED MICRO DEVICES INC,2488,2017-02-21,0000002488-17-000043
10-K,ADVANCED MICRO DEVICES INC,2488,2018-02-27,0000002488-18-000042
10-K,ADVANCED MICRO DEVICES INC,2488,2019-02-08,0000002488-19-000011
10-K,ADVANCED MICRO DEVICES INC,2488,2020-02-04,0000002488-20-000008
10-K,ADVANCED MICRO DEVICES INC,2488,2021-01-29,0001628280-21-001185
10-K,ADVANCED MICRO DEVICES INC,2488,2022-02-03,0000002488-22-000016
10-K,ADVANCED MICRO DEVICES INC,2488,2023-02-27,0000002488-23-000047
10-K,ADVANCED MICRO DEVICES INC,2488,2024-01-31,0000002488-24-000012
10-K,ADVANCED MICRO DEVICES INC,2488,2025-02-05,0000002488-25-000012
10-K,ADVANCED MICRO DEVICES INC,2488,2026-02-04,0000002488-26-000018
10-K,ALABAMA POWER CO,3153,2009-02-25,0000092122-09-000011
10-K,ALABAMA POWER CO,3153,2010-02-25,0000092122-10-000009
10-K,ALABAMA POWER CO,3153,2011-02-25,0000092122-11-000013
10-K,ALABAMA POWER CO,3153,2012-02-24,0000092122-12-000016
10-K,ALABAMA POWER CO,3153,2013-02-28,0000092122-13-000014
10-K,ALABAMA POWER CO,3153,2014-02-27,0000092122-14-000012
10-K,ALABAMA POWER CO,3153,2015-03-02,0000092122-15-000015
10-K,ALABAMA POWER CO,3153,2016-02-26,0000092122-16-000126
10-K,ALABAMA POWER CO,3153,2017-02-22,0000092122-17-000007
10-K,ALABAMA POWER CO,3153,2018-02-21,0000092122-18-000012
10-K,ALABAMA POWER CO,3153,2019-02-20,0000092122-19-000006
10-K,ALABAMA POWER CO,3153,2020-02-20,0000092122-20-000017
10-K,ALABAMA POWER CO,3153,2021-02-18,0000092122-21-000006
10-K,ALABAMA POWER CO,3153,2022-02-17,0000092122-22-000003
10-K,ALABAMA POWER CO,3153,2023-02-16,0000092122-23-000012
