panel,cost,conv,arm,chosen,IS,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
U56,10,rw,IS-chooser pick,0.08/W,1.1810398860271412,0.1426682198459952,1.1922163635817549,-0.19662952662141897
U56,10,rw,constant band3 / weekly,0.03/W,1.1147228548745216,0.13497498821390908,1.2105529978249203,-0.1763506973949016
U56,10,rw,plain 200d / weekly,0.00/W,1.073445004173304,0.12494754750836923,1.1169417076963275,-0.1862302684737166
U56,10,rw,plain 200d / monthly,0.00/M,1.1174191085470715,0.13717168120315826,1.201590438346593,-0.18207811479908087
U56,10,rw,ungated / weekly,none/W,1.1139785079366693,0.1385606274124287,1.1403609047423904,-0.2245669050549507
U56,10,rw,RULES v2 baseline,-,,0.09534722887472857,1.285072363206482,-0.12054942313126815
U56,10,rw,SPY,-,0.8986374811215905,0.15450717694493266,0.8820107671822842,-0.33717235283398284
U56,10,dg,IS-chooser pick,0.00/M,1.1367053673446528,0.09528990112922187,1.2824710123810177,-0.11871482153159407
U56,10,dg,constant band3 / weekly,0.03/W,1.109265856249101,0.09563830138946261,1.293742502269834,-0.11896565752846
U56,10,dg,plain 200d / weekly,0.00/W,1.0620149002796102,0.09116426112102505,1.2664376858197746,-0.12062092525474688
U56,10,dg,plain 200d / monthly,0.00/M,1.1367053673446528,0.09528990112922187,1.2824710123810177,-0.11871482153159407
U56,10,dg,ungated / weekly,none/W,1.1139785079366693,0.1385606274124287,1.1403609047423904,-0.2245669050549507
U56,10,dg,RULES v2 baseline,-,,0.09534722887472857,1.285072363206482,-0.12054942313126815
U56,10,dg,SPY,-,0.8986374811215905,0.15450717694493266,0.8820107671822842,-0.33717235283398284
U56,25,rw,IS-chooser pick,0.08/W,1.1448828273094902,0.1379582241187176,1.15643182891935,-0.19812126780615513
U56,25,rw,constant band3 / weekly,0.03/W,1.0474000255058156,0.1276456127030312,1.1506166072586395,-0.1780991153231538
U56,25,rw,plain 200d / weekly,0.00/W,0.9576210185455536,0.11206828006480518,1.0123512927677714,-0.18872679260612302
U56,25,rw,plain 200d / monthly,0.00/M,1.0708563876688961,0.13142833187333447,1.1564218828925783,-0.18294622284041429
U56,25,rw,ungated / weekly,none/W,1.1031669741177945,0.13707918552472553,1.1295050514030247,-0.22478632766792705
U56,25,rw,RULES v2 baseline,-,,0.0924133776660172,1.2482435320727505,-0.12092631068492765
U56,25,rw,SPY,-,0.8986374811215905,0.15450717694493266,0.8820107671822842,-0.33717235283398284
U56,25,dg,IS-chooser pick,none/M,1.1074622282152322,0.13877627704838758,1.1538742135666724,-0.22212731172202638
U56,25,dg,constant band3 / weekly,0.03/W,1.0702691552759085,0.09268381255741365,1.2565123436655092,-0.11934895828308234
U56,25,dg,plain 200d / weekly,0.00/W,0.9923403391298128,0.08597345026727599,1.1991156152082971,-0.12129014628171253
U56,25,dg,plain 200d / monthly,0.00/M,1.1072182127287038,0.09273486762786964,1.250766199708865,-0.11915073639163765
U56,25,dg,ungated / weekly,none/W,1.1031669741177945,0.13707918552472553,1.1295050514030247,-0.22478632766792705
U56,25,dg,RULES v2 baseline,-,,0.0924133776660172,1.2482435320727505,-0.12092631068492765
U56,25,dg,SPY,-,0.8986374811215905,0.15450717694493266,0.8820107671822842,-0.33717235283398284
B136,10,rw,IS-chooser pick,none/W,1.1477930796467726,0.13950449235670392,1.1038155359718698,-0.2536484248157903
B136,10,rw,constant band3 / weekly,0.03/W,1.0623316304409824,0.12040365133428121,1.0784117446532762,-0.18494986152901194
B136,10,rw,plain 200d / weekly,0.00/W,1.0494184962714808,0.11970700684197255,1.0658892600654093,-0.20116704846935807
B136,10,rw,plain 200d / monthly,0.00/M,1.0901721849798016,0.12875399938564458,1.1021577111383531,-0.21784582165082433
B136,10,rw,ungated / weekly,none/W,1.1477930796467726,0.13950449235670392,1.1038155359718698,-0.2536484248157903
B136,10,rw,RULES v2 baseline,-,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,10,rw,SPY,-,0.8986643995365173,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,10,dg,IS-chooser pick,none/W,1.1477930796467726,0.13950449235670392,1.1038155359718698,-0.2536484248157903
B136,10,dg,constant band3 / weekly,0.03/W,1.093124006540268,0.07983508528458483,1.1206044691812698,-0.12178128651163989
B136,10,dg,plain 200d / weekly,0.00/W,1.0596867826669079,0.07865528720282744,1.1259641865897,-0.12641310559600516
B136,10,dg,plain 200d / monthly,0.00/M,1.1139553998540774,0.08319914661961825,1.1551063214363844,-0.1229430245948201
B136,10,dg,ungated / weekly,none/W,1.1477930796467726,0.13950449235670392,1.1038155359718698,-0.2536484248157903
B136,10,dg,RULES v2 baseline,-,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,10,dg,SPY,-,0.8986643995365173,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,25,rw,IS-chooser pick,none/W,1.1377889900896685,0.137948850316304,1.0928972818476264,-0.25385209286855037
B136,25,rw,constant band3 / weekly,0.03/W,0.9953636077306175,0.1122403104427756,1.0119916226297014,-0.18711734803701974
B136,25,rw,plain 200d / weekly,0.00/W,0.9415533108597285,0.1063859629431958,0.9583328821387773,-0.20417224684789215
B136,25,rw,plain 200d / monthly,0.00/M,1.043886860504795,0.1227236507589553,1.0559818220136215,-0.21883172601352618
B136,25,rw,ungated / weekly,none/W,1.1377889900896685,0.137948850316304,1.0928972818476264,-0.25385209286855037
B136,25,rw,RULES v2 baseline,-,,0.07643420182382155,1.0740236940215924,-0.12284879701089035
B136,25,rw,SPY,-,0.8986643995365173,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,25,dg,IS-chooser pick,none/W,1.1377889900896685,0.137948850316304,1.0928972818476264,-0.25385209286855037
B136,25,dg,constant band3 / weekly,0.03/W,1.0542550656080367,0.07642418727556155,1.0758770491890106,-0.12222532296246658
B136,25,dg,plain 200d / weekly,0.00/W,0.9934161554547203,0.07310164162084765,1.0514965859050713,-0.12717302984149048
B136,25,dg,plain 200d / monthly,0.00/M,1.084971183758375,0.08047062551896311,1.1199846819311117,-0.12344075292825185
B136,25,dg,ungated / weekly,none/W,1.1377889900896685,0.137948850316304,1.0928972818476264,-0.25385209286855037
B136,25,dg,RULES v2 baseline,-,,0.07643420182382155,1.0740236940215924,-0.12284879701089035
B136,25,dg,SPY,-,0.8986643995365173,0.1545044425578177,0.8820239235972316,-0.3371595330739301
