gate,delta,passed
"G1 fast runner == engine.backtest (U56, N=20, H=126)",1.3877787807814457e-17,True
G2 CROSS-RUN 936/1071/1082/1106 committed W/H126 N=20 triple,3.1831294189377246e-07,True
G3 CROSS-RUN SPY OOS triple (U56),0.00017024209187355144,True
G4 live RULES v2 MaxDD == committed (U56),4.949323437114517e-05,True
G3 CROSS-RUN SPY OOS triple (B136),4.046692606990421e-05,True
G4 live RULES v2 MaxDD == committed (B136),9.854031900083382e-06,True
G5 CROSS-RUN reproduce 1106's 90 book CAGR/MaxDD/turnover triples,3.552713678800501e-15,True
G6 CROSS-RUN 1106's conditional headroom medians at H=5/10/21/126,0.0046084118169522625,True
G7 CROSS-RUN 1106's '25 cells pass 4b FULL and OOS' over its own five H rungs,0.0,True
"G8 every book sits at gross 0.75 (cap INF, no de-grossing)",0.0,True
"G9 MINHEAD == min(DD_HEAD, CAGR_HEAD) at every cell",0.0,True
G10 MINHEAD > 0 <=> both L_DD and L_CAGR pass,0.0,True
