# 2026-09-18 idea 1241 lane B — does-the-record-s-BLOCK-LENGTH-63-have-ANY-argument-other-than-INHERITANCE
# DIAL 1 estimator = PW_SB / PW_CB (headline) / HHJ / VMATCH
# DIAL 2 panel     = U56 / B136 / SMALL / SPY
# control, never chosen on: SERIES {S_RAW, S_PSI, S_DIFF} x WINDOW {FULL, IS}
# inherited block length under test: L = 63 (1101's, 145 of 325 L-statements)
   GATE G11 flat-top kernel: [np.float64(1.0), np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(0.0)] vs [1,1,0.5,0,0] -> PASS
   GATE G3 PW_CB on iid noise: 1.6641 vs <= 3 -> PASS
   GATE G4 PW_CB on AR(1) phi=0.8: 45.3116 vs noise 1.6641 vs strictly larger -> PASS
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

================ ARM C(1) — THE GRID (three panels, 36 cells each) ================
# frozen book: RAW composite [(21, 252), (0, 126), (0, 63)], gate = above 200d MA AND vol20 < 0.6, GROSS=0.75, weekly, 10 bps, t+1, warm-up 260, equal slot weights
# comparison set: N [10, 12, 16, 20, 25, 30] x H [21, 42, 63, 126, 189, 252]; anchor = (N=20, H=126)
   GATE G7 U56 IS/OOS split: IS ends 2016-12-30, OOS starts 2017-01-03 vs >= 2017-01-01 -> PASS

## U56  n_days=4707  n_names=55  window 2009-01-13..2026-09-17  IS 2007 / OOS 2440 rows
   SPY     full  15.13% / 0.8849 / -33.72%  halves 0.9600/0.8236  OOS  15.28% / 0.8747 / -33.72%
   LIVE v2 full   8.62% / 1.2018 / -12.05%  halves 1.2332/1.1773  OOS   9.47% / 1.2781 / -12.05%
   4b bars: DD cap -20.23%  CAGR floor  10.59%  Sharpe H1 0.9600 H2 0.8236 OOS 0.8747
    N    H |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe | IS Sh  IS CAGR | OOS Sh  OOS CAGR  OOS DD | turn | 4a 4b | fail4b
    10   21 |  17.16%   1.1293  -20.08% | 1.2106/1.0669 | 1.1404  16.15% | 1.1249   18.01% -20.08% | 7.33 | n  Y  | -
    10   42 |  16.32%   1.0352  -20.62% | 1.1293/0.9748 | 1.0526  14.78% | 1.0318   17.60% -20.62% | 5.24 | n  n  | DD
    10   63 |  19.56%   1.1909  -27.69% | 1.2892/1.1333 | 1.1870  16.92% | 1.2060   21.78% -27.69% | 4.16 | n  n  | DD
    10  126 |  17.06%   1.1059  -20.77% | 1.2331/1.0014 | 1.1239  16.30% | 1.0955   17.68% -20.77% | 2.91 | n  n  | DD
    10  189 |  16.07%   1.0036  -30.36% | 1.2251/0.8770 | 1.0905  14.38% | 0.9730   17.48% -30.36% | 2.29 | n  n  | DD
    10  252 |  15.75%   1.0489  -23.30% | 1.0265/1.0757 | 0.9314  12.57% | 1.1370   18.43% -23.30% | 2.02 | n  n  | DD
    12   21 |  16.76%   1.1622  -19.48% | 1.2548/1.0952 | 1.2066  15.99% | 1.1365   17.41% -19.48% | 6.83 | n  Y  | -
    12   42 |  15.66%   1.0435  -22.83% | 1.1386/0.9843 | 1.0595  14.04% | 1.0424   17.01% -22.83% | 5.18 | n  n  | DD
    12   63 |  17.91%   1.1499  -27.38% | 1.2711/1.0741 | 1.2057  16.54% | 1.1242   19.05% -27.38% | 4.11 | n  n  | DD
    12  126 |  17.66%   1.1699  -20.17% | 1.2777/1.0879 | 1.1697  16.29% | 1.1747   18.80% -20.17% | 2.92 | n  Y  | -
    12  189 |  16.78%   1.0849  -23.93% | 1.2466/0.9883 | 1.1068  14.58% | 1.0861   18.62% -23.93% | 2.30 | n  n  | DD
    12  252 |  16.80%   1.1488  -21.75% | 1.1086/1.1902 | 1.0009  13.27% | 1.2596   19.79% -21.75% | 2.01 | n  n  | DD
    16   21 |  15.13%   1.1232  -19.54% | 1.1544/1.1083 | 1.0815  13.17% | 1.1585   16.76% -19.54% | 6.20 | n  Y  | -
    16   42 |  15.02%   1.0689  -23.54% | 1.1329/1.0347 | 1.0474  12.97% | 1.0926   16.73% -23.54% | 4.72 | n  n  | DD
    16   63 |  16.76%   1.1678  -26.48% | 1.2923/1.0824 | 1.2121  15.68% | 1.1452   17.66% -26.48% | 3.89 | n  n  | DD
    16  126 |  16.93%   1.1773  -20.23% | 1.2871/1.1036 | 1.1782  15.19% | 1.1846   18.37% -20.23% | 2.91 | n  n  | DD
    16  189 |  17.07%   1.1604  -22.22% | 1.3006/1.0736 | 1.1972  15.40% | 1.1483   18.46% -22.22% | 2.32 | n  n  | DD
    16  252 |  15.81%   1.1293  -21.26% | 1.1550/1.1217 | 1.0550  13.18% | 1.1878   18.02% -21.26% | 2.05 | n  n  | DD
    20   21 |  14.18%   1.1083  -20.19% | 1.1883/1.0548 | 1.1178  13.00% | 1.1079   15.16% -20.19% | 5.78 | n  Y  | -
    20   42 |  14.13%   1.0640  -22.83% | 1.1493/1.0116 | 1.0385  12.20% | 1.0898   15.74% -22.83% | 4.47 | n  n  | DD
