leg,window,population,rung_set,decomposition,target,n,n_fam,spearman,iid_p,cl_lo,cl_hi,cl_excl0
cost,FIXED,ALL39,COARSE,MECHPRED,D_star/turn_yr,39,14,0.5138227586198758,0.00055,0.11741541582414962,0.7703199770817987,True
cost,FIXED,ALL39,COARSE,DRAGFREE,D_star (bps/yr),39,14,-0.04695241735501448,0.7744,-0.23705293672430142,0.2610962443897642,False
cost,FIXED,ALL39,COARSE,DIVTURN,cost_surv(COARSE) x turn_yr,29,13,0.14510566605537636,0.4434,-0.45078449970853846,0.6519135389866973,False
cost,FIXED,ALL39,COARSE,PARTIAL,cost_surv(COARSE) | D_star,39,14,0.7674482131120668,,0.3939676483096703,0.9013770304217356,True
cost,FIXED,ALL39,CONT,RAW,cost_surv(CONT),39,14,0.5158641680700938,0.0005,0.11237443359272276,0.7706896533918024,True
cost,FIXED,ALL39,CONT,MECHPRED,D_star/turn_yr,39,14,0.5138227586198758,0.00055,0.11741541582414962,0.7703199770817987,True
cost,FIXED,ALL39,CONT,DRAGFREE,D_star (bps/yr),39,14,-0.04695241735501448,0.7744,-0.23705293672430142,0.2610962443897642,False
cost,FIXED,ALL39,CONT,DIVTURN,cost_surv(CONT) x turn_yr,29,13,-0.3876847290640394,0.038,-0.6965514597207976,0.18290734497905808,False
cost,FIXED,ALL39,CONT,PARTIAL,cost_surv(CONT) | D_star,39,14,0.82154994120806,,0.5209346564830744,0.9309830496079842,True
cost,FIXED,PASS0,R11,RAW,cost_surv(R11),29,13,0.6387715287016149,0.0002,0.2661127395526532,0.8518311340078081,True
cost,FIXED,PASS0,R11,MECHPRED,D_star/turn_yr,29,13,0.6576354679802956,0.0,0.29957965245480483,0.8525955961555995,True
cost,FIXED,PASS0,R11,DRAGFREE,D_star (bps/yr),29,13,-0.3482758620689655,0.06365,-0.6654392677577092,0.23121388015158312,False
cost,FIXED,PASS0,R11,DIVTURN,cost_surv(R11) x turn_yr,29,13,-0.40344827586206894,0.0316,-0.7067941014392201,0.1457199492671877,False
cost,FIXED,PASS0,R11,PARTIAL,cost_surv(R11) | D_star,29,13,0.9164008224153033,,0.7206806470208672,0.9756752208597216,True
cost,FIXED,PASS0,FINE,RAW,cost_surv(FINE),29,13,0.6604217914916324,5e-05,0.2886436035872557,0.8512258077813282,True
cost,FIXED,PASS0,FINE,MECHPRED,D_star/turn_yr,29,13,0.6576354679802956,0.0,0.29957965245480483,0.8525955961555995,True
cost,FIXED,PASS0,FINE,DRAGFREE,D_star (bps/yr),29,13,-0.3482758620689655,0.06365,-0.6654392677577092,0.23121388015158312,False
cost,FIXED,PASS0,FINE,DIVTURN,cost_surv(FINE) x turn_yr,29,13,-0.3901477832512315,0.03705,-0.7048613554744245,0.15237279290183156,False
cost,FIXED,PASS0,FINE,PARTIAL,cost_surv(FINE) | D_star,29,13,0.9188168080594261,,0.7129680282661196,0.9738848141230724,True
cost,FIXED,PASS0,COARSE,RAW,cost_surv(COARSE),29,13,0.6520956462550425,0.00015,0.2842772954526064,0.8501042758422493,True
cost,FIXED,PASS0,COARSE,MECHPRED,D_star/turn_yr,29,13,0.6576354679802956,0.0,0.29957965245480483,0.8525955961555995,True
cost,FIXED,PASS0,COARSE,DRAGFREE,D_star (bps/yr),29,13,-0.3482758620689655,0.06365,-0.6654392677577092,0.23121388015158312,False
cost,FIXED,PASS0,COARSE,DIVTURN,cost_surv(COARSE) x turn_yr,29,13,0.14510566605537636,0.4434,-0.45078449970853846,0.6519135389866973,False
cost,FIXED,PASS0,COARSE,PARTIAL,cost_surv(COARSE) | D_star,29,13,0.8485869368704786,,0.5891051342118506,0.9395916319046864,True
cost,FIXED,PASS0,CONT,RAW,cost_surv(CONT),29,13,0.6620689655172414,0.0,0.28900612265477016,0.8479830366180312,True
cost,FIXED,PASS0,CONT,MECHPRED,D_star/turn_yr,29,13,0.6576354679802956,0.0,0.29957965245480483,0.8525955961555995,True
cost,FIXED,PASS0,CONT,DRAGFREE,D_star (bps/yr),29,13,-0.3482758620689655,0.06365,-0.6654392677577092,0.23121388015158312,False
cost,FIXED,PASS0,CONT,DIVTURN,cost_surv(CONT) x turn_yr,29,13,-0.3876847290640394,0.038,-0.6965514597207976,0.18290734497905808,False
cost,FIXED,PASS0,CONT,PARTIAL,cost_surv(CONT) | D_star,29,13,0.9172368558527307,,0.7145704137811559,0.974162008226987,True
