kind,date,script,tier,width_R1,nominal,evidence,idea,width,width_raw
PRICED,2026-09-07,2026-09-07_back-fill-the-153-UNATTRIB-band-rows_C,R1,19.700382969137195,,names,"[MAB] 391 both KEEP paths, 27 cells x 3 rungs (reproduction of idea 387's leg C, gated)",19.700382969137195,19.700382969137195
PRICED,2026-09-07,2026-09-07_back-fill-the-153-UNATTRIB-band-rows_C,R1,19.700382969137195,,names,"[POOLED] 391 rule-8 walk-forward, dial chosen on <=2016 IS Sharpe @10 bps, 2017-2026 read once, 6 cells",19.700382969137195,19.700382969137195
PRICED,2026-09-07,2026-09-07_census-how-many-band-rows-are-CONCENTRATION-changes_C,R1,16.67616580310881,,names,"[POOLED] 359 KEEP paths, all 126 cells x 3 rungs",16.67616580310881,16.67616580310881
PRICED,2026-09-07,2026-09-07_census-how-many-band-rows-are-CONCENTRATION-changes_C,R1,16.67616580310881,,names,"[MAB] 359 by-product (NOT proposed, queued as idea 360): U56 MAB-EWALL b=0.12, weekly, g=0.75",16.67616580310881,16.67616580310881
PRICED,2026-09-07,2026-09-07_is-the-sign-test-worth-anything-on-the-small-panel_B,R2,,53.0,n,"129 rule-8 walk-forward: S1 (idea 94 selector) vs S2 (same + IS-only sign screen), 6 cells x 12 grid points",36.38355048859935,53.0
PRICED,2026-09-07,2026-09-07_is-the-sign-test-worth-anything-on-the-small-panel_B,R2,,53.0,n,"129 best small-panel cell TOP20/ddctl-8/.5/high @10bps (the nearest 4b miss, NOT a candidate)",36.38355048859935,53.0
PRICED,2026-09-07,2026-09-07_is-every-4b-KEEP-a-10bps-artefact_C,R1,34.24048209056093,,names,"323 PREMISE CORRECTION: RULES v2, the LIVE book, is not a 4b pass and never was",34.24048209056093,34.24048209056093
PRICED,2026-09-07,2026-09-07_is-every-4b-KEEP-a-10bps-artefact_C,R1,34.24048209056093,,names,"323 the one cost-robust cell: U56/BAND12/W at 25 bps (PARK, not proposed)",34.24048209056093,34.24048209056093
PRICED,2026-09-07,2026-09-07_position-count-cost-and-liquidity_cloud,R3,,56.0,row-text:panel(u56),"45 the LAG worry FALSIFIED (1-day -> 1-week execution, U56@10bps)",38.442996742671006,56.0
PRICED,2026-09-07,2026-09-07_is-the-DD-cap-unreachable-on-SMALL439-by-construction_cloud,R2,,30.0,n,326 best small-panel cell n=40 g=1.00 (not a candidate),29.52931596091205,30.0
PRICED,2026-09-06,2026-09-06_does-the-banded-slow-filter-survive-on-the-large-cap-panels_cloud,R3,,56.0,row-text:panel(u56),"[MAB] 291 best cell U56/RESPREAD/MA b=0.12 weekly (4b PASS, PARKed not proposed)",38.442996742671006,56.0
PRICED,2026-09-06,2026-09-06_is-the-soft-200d-tilt-inside-the-score-doing-the-gate-s-job_cloud,R2,,10.0,n,289 headline book U56/dg/n=20 at t=0.50: OFF vs MA vs V1,9.921824104234528,10.0
PRICED,2026-09-06,2026-09-06_is-the-soft-200d-tilt-inside-the-score-doing-the-gate-s-job_cloud,R2,,10.0,n,"289 U56/MA/dg n=20 (4b passer at ALL five tilts, NOT proposed)",9.921824104234528,10.0
PRICED,2026-09-03,2026-09-03_dual-momentum-classes,R0,,,,dual-momentum-classes K=1 monthly,,
PRICED,2026-09-03,2026-09-03_dual-momentum-classes,R0,,,,dual-momentum-classes K=1 weekly,,
PRICED,2026-09-03,2026-09-03_dual-momentum-classes,R0,,,,dual-momentum-classes K=2 monthly,,
PRICED,2026-09-03,2026-09-03_dual-momentum-classes,R0,,,,dual-momentum-classes K=2 weekly,,
PRICED,2026-09-03,2026-09-03_inverse-vol-weights,R0,,,,inv-vol 75% gross,,
PRICED,2026-09-03,2026-09-03_inverse-vol-weights,R0,,,,inv-vol 100% gross,,
PRICED,2026-09-03,2026-09-03_inverse-vol-weights,R0,,,,equal-weight 100% gross (diagnostic),,
PRICED,2026-09-03,2026-09-03_vol-target,R0,,,,vol-target 10%,,
PRICED,2026-09-03,2026-09-03_vol-target,R0,,,,vol-target 14%,,
PRICED,2026-09-03,2026-09-03_broad-momentum-top10,R3,,10.0,row-text:size,"broad-top10 100% gross (N=10,w=10%)",9.921824104234528,10.0
PRICED,2026-09-03,2026-09-03_broad-momentum-top10,R3,,20.0,row-text:size,"broad-top20 100% gross (N=20,w=5%)",19.686210640608035,20.0
PRICED,2026-09-03,2026-09-03_broad-momentum-top10,R3,,10.0,row-text:size,"broad-top10 75% gross (N=10,w=7.5%)",9.921824104234528,10.0
PRICED,2026-09-03,2026-09-03_broad-momentum-top10,R0,,,,"RULES v1 LIVE (standard universe) — reference, not a new idea",,
PRICED,2026-09-03,2026-09-03_macro-trend-ensemble,R0,,,,macro-trend-ensemble A (MA votes),,
PRICED,2026-09-03,2026-09-03_macro-trend-ensemble,R0,,,,macro-trend-ensemble B (momentum votes),,
PRICED,2026-09-03,2026-09-03_full-exposure-v1,R0,,,,A full-exposure 100% gross,,
PRICED,2026-09-03,2026-09-03_full-exposure-v1,R0,,,,B full-exposure + SPY-200d half,,
PRICED,2026-09-03,2026-09-03_full-exposure-v1,R0,,,,C full-exposure + SPY-200d cash,,
PRICED,2026-09-03,2026-09-03_full-exposure-v1,R0,,,,D full-exposure no per-name 200d,,
PRICED,2026-09-03,2026-09-03_full-exposure-v1,R0,,,,"D2 no 200d gate, tilt kept (diagnostic)",,
PRICED,2026-09-03,2026-09-03_core-plus-trend-sleeve,R0,,,,core-plus-sleeve A (60% SPY>200d + 40% sleeve),,
PRICED,2026-09-03,2026-09-03_core-plus-trend-sleeve,R0,,,,core-plus-sleeve B (60% QQQ>200d + 40% sleeve),,
PRICED,2026-09-03,2026-09-03_core-plus-trend-sleeve,R0,,,,core-plus-sleeve C (50% SPY>200d + 50% sleeve),,
PRICED,2026-09-03,2026-09-03_core-plus-trend-sleeve,R0,,,,core-plus-sleeve D (60% SPY no filter + 40% sleeve),,
PRICED,2026-09-03,2026-09-03_qqq-trend-only,R0,,,,"qqq-trend-only A (QQQ/SHY, 200d, weekly)",,
PRICED,2026-09-03,2026-09-03_qqq-trend-only,R0,,,,"qqq-trend-only B (A + 12-1 mom>0, weekly)",,
PRICED,2026-09-03,2026-09-03_qqq-trend-only,R0,,,,"qqq-trend-only C (50/50 QQQ+SPY core, weekly)",,
PRICED,2026-09-03,2026-09-03_qqq-trend-only,R0,,,,"qqq-trend-only D (QQQ/SHY, 200d, monthly)",,
PRICED,2026-09-03,2026-09-03_composite-vs-equal-weight,R0,,,,A equal-weight all eligible 75% gross,,
PRICED,2026-09-03,2026-09-03_composite-vs-equal-weight,R0,,,,B equal-weight all eligible 100% gross,,
PRICED,2026-09-03,2026-09-03_composite-vs-equal-weight,R3,,5.0,row-text:size,C v1 top-5 by score 75% (= baseline),4.955483170466884,5.0
PRICED,2026-09-03,2026-09-03_composite-vs-equal-weight,R0,,,,D BOTTOM-5 by score 75%,,
PRICED,2026-09-03,2026-09-03_composite-vs-equal-weight,R3,,5.0,row-text:size,E top-5 by 12-1 momentum only 75%,4.955483170466884,5.0
PRICED,2026-09-03,2026-09-03_composite-vs-equal-weight,R3,,5.0,row-text:size,"C2 top-5 by composite, no vol-scaling (diagnostic)",4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,3.0,row-text:size,no-vol-scaling ON  n=3 gross=75%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,3.0,row-text:size,no-vol-scaling ON  n=3 gross=100%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,5.0,row-text:size,no-vol-scaling ON  n=5 gross=75% (= baseline),4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,5.0,row-text:size,no-vol-scaling ON  n=5 gross=100%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,8.0,row-text:size,no-vol-scaling ON  n=8 gross=75%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,8.0,row-text:size,no-vol-scaling ON  n=8 gross=100%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,3.0,row-text:size,no-vol-scaling OFF n=3 gross=75%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,3.0,row-text:size,no-vol-scaling OFF n=3 gross=100% (walk-forward pick),2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,5.0,row-text:size,no-vol-scaling OFF n=5 gross=75%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,5.0,row-text:size,no-vol-scaling OFF n=5 gross=100%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,8.0,row-text:size,no-vol-scaling OFF n=8 gross=75% (nearest miss),7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R3,,8.0,row-text:size,no-vol-scaling OFF n=8 gross=100%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_no-vol-scaling,R0,,,,SPY reference on corrected trading-day index,,
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 NONE    n=3,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 DD      n=3 D=6%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 DD      n=3 D=8%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 DD      n=3 D=12%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 BREADTH n=3 B=30%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 BREADTH n=3 B=40%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,3.0,row-text:size,40 BREADTH n=3 B=50%,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 NONE    n=5,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 DD      n=5 D=6%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 DD      n=5 D=8%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 DD      n=5 D=12%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 BREADTH n=5 B=30%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 BREADTH n=5 B=40%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,5.0,row-text:size,40 BREADTH n=5 B=50%,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 NONE    n=8,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 DD      n=8 D=6%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 DD      n=8 D=8%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 DD      n=8 D=12%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 BREADTH n=8 B=30%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 BREADTH n=8 B=40%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_vol-scaler-replacement_B,R3,,8.0,row-text:size,40 BREADTH n=8 B=50%,7.937459283387622,8.0
PRICED,2026-09-04,2026-09-04_position-count,R3,,2.0,row-text:size,2 ON  FIXEDW n=2,1.9710459645313065,2.0
PRICED,2026-09-04,2026-09-04_position-count,R3,,3.0,row-text:size,2 ON  FIXEDW n=3,2.95656894679696,3.0
PRICED,2026-09-04,2026-09-04_position-count,R3,,4.0,row-text:size,2 ON  FIXEDW n=4,3.942091929062613,4.0
PRICED,2026-09-04,2026-09-04_position-count,R3,,5.0,row-text:size,2 ON  FIXEDW n=5,4.955483170466884,5.0
PRICED,2026-09-04,2026-09-04_position-count,R3,,6.0,row-text:size,2 ON  FIXEDW n=6,5.946579804560262,6.0
