source,unit,figure,value,unit_kind,claimset,convention,assume_g0.50,assume_g0.75,assume_g1.00,span
LEADERBOARD,65,turnover 27.0x,27.0,x,STRICT,AT100,54.0,36.0,27.0,2.0
LEADERBOARD,158,-15.1x/yr,-15.1,x,STRICT,AT100,-30.2,-20.133333333333333,-15.1,0.5
LEADERBOARD,172,1.93x turnover,1.93,x,STRICT,AT100,3.86,2.5733333333333333,1.93,2.0
LEADERBOARD,175,drag `dSharpe/10bp,10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,1406,3.9x turnover,3.9,x,STRICT,AT100,7.8,5.2,3.9,2.0
LEADERBOARD,1445,1.39x turnover,1.39,x,STRICT,AT100,2.78,1.8533333333333333,1.39,2.0
LEADERBOARD,1446,1.36x turnover,1.36,x,STRICT,AT100,2.72,1.8133333333333335,1.36,2.0
LEADERBOARD,1507,9.2x/yr,9.2,x,STRICT,AT100,18.4,12.266666666666666,9.2,2.0
LEADERBOARD,1626,turnover (33.3x,33.3,x,STRICT,AT100,66.6,44.4,33.3,2.0
LEADERBOARD,1669,turnover 12.5x,12.5,x,STRICT,AT100,25.0,16.666666666666668,12.5,2.0
LEADERBOARD,1685,turnover 1.39x,1.39,x,STRICT,AT100,2.78,1.8533333333333333,1.39,2.0
LEADERBOARD,1687,2.4x/yr,2.4,x,STRICT,AT100,4.8,3.1999999999999997,2.4,2.0
LEADERBOARD,1687,turnover vs the incumbent's 1.4x,1.4,x,STRICT,AT100,2.8,1.8666666666666665,1.4,2.0
LEADERBOARD,1706,turnover **20-357x,20.0,x,STRICT,AT100,40.0,26.666666666666668,20.0,2.0
LEADERBOARD,1708,-357x/yr,-357.0,x,STRICT,AT100,-714.0,-476.0,-357.0,0.5
LEADERBOARD,1806,turnover 9.3x,9.3,x,STRICT,AT100,18.6,12.4,9.3,2.0
LEADERBOARD,1806,19.8x/yr,19.8,x,STRICT,AT100,39.6,26.400000000000002,19.8,2.0
LEADERBOARD,1871,turnover arm (23.2x,23.2,x,STRICT,AT100,46.4,30.933333333333334,23.2,2.0
LEADERBOARD,1888,+210 bp/yr,210.0,bp/yr,STRICT,AT100,420.0,280.0,210.0,2.0
LEADERBOARD,1888,+2 bp/yr,2.0,bp/yr,STRICT,AT100,4.0,2.6666666666666665,2.0,2.0
LEADERBOARD,1899,14.3x turnover,14.3,x,STRICT,AT100,28.6,19.066666666666666,14.3,2.0
LEADERBOARD,1974,turnover **4.28x,4.28,x,STRICT,AT100,8.56,5.706666666666667,4.28,2.0
LEADERBOARD,2052,7.9x/yr,7.9,x,STRICT,AT100,15.8,10.533333333333333,7.9,2.0
LEADERBOARD,2160,turnover 13.1x,13.1,x,STRICT,AT100,26.2,17.466666666666665,13.1,2.0
LEADERBOARD,2160,turnover above its 10.2x,10.2,x,STRICT,AT100,20.4,13.6,10.2,2.0
LEADERBOARD,2185,turnover 7.7x,7.7,x,STRICT,AT100,15.4,10.266666666666667,7.7,2.0
LEADERBOARD,2206,turnover monotone 12.2x,12.2,x,STRICT,AT100,24.4,16.266666666666666,12.2,2.0
LEADERBOARD,2206,0.9x/yr,0.9,x,STRICT,AT100,1.8,1.2,0.9,2.0
LEADERBOARD,2209,turnover 3.1x,3.1,x,STRICT,AT100,6.2,4.133333333333334,3.1,2.0
LEADERBOARD,2240,-4.82x/yr,-4.82,x,STRICT,AT100,-9.64,-6.426666666666667,-4.82,0.5
LEADERBOARD,2384,turnover B136: V1C 23.7x,136.0,x,STRICT,AT100,272.0,181.33333333333334,136.0,2.0
LEADERBOARD,2436,1.82x/yr,1.82,x,STRICT,AT100,3.64,2.4266666666666667,1.82,2.0
LEADERBOARD,2437,turnover (U56/BAND3 4.68x,56.0,x,STRICT,AT100,112.0,74.66666666666667,56.0,2.0
LEADERBOARD,2437,3.06x/yr,3.06,x,STRICT,AT100,6.12,4.08,3.06,2.0
LEADERBOARD,2439,4.68x/yr,4.68,x,STRICT,AT100,9.36,6.239999999999999,4.68,2.0
LEADERBOARD,2451,TURNOVER (200d 10.8x,200.0,x,STRICT,AT100,400.0,266.6666666666667,200.0,2.0
LEADERBOARD,2452,4.3x turnover,4.3,x,STRICT,AT100,8.6,5.733333333333333,4.3,2.0
LEADERBOARD,2456,turnover **1.9x,1.9,x,STRICT,AT100,3.8,2.533333333333333,1.9,2.0
LEADERBOARD,2456,turnover falls 6.4x,6.4,x,STRICT,AT100,12.8,8.533333333333333,6.4,2.0
LEADERBOARD,2468,1.9x turnover,1.9,x,STRICT,AT100,3.8,2.533333333333333,1.9,2.0
LEADERBOARD,2504,turnover over RANDH (12.9x,12.9,x,STRICT,AT100,25.8,17.2,12.9,2.0
LEADERBOARD,2504,9.1x/yr,9.1,x,STRICT,AT100,18.2,12.133333333333333,9.1,2.0
LEADERBOARD,2506,60.2x/yr,60.2,x,STRICT,AT100,120.4,80.26666666666667,60.2,2.0
LEADERBOARD,2513,turnover ratio ≥ 2x,2.0,x,STRICT,AT100,4.0,2.6666666666666665,2.0,2.0
LEADERBOARD,2527,12.05x/yr,12.05,x,STRICT,AT100,24.1,16.066666666666666,12.05,2.0
LEADERBOARD,2531,turnover ratio 2.28x,2.28,x,STRICT,AT100,4.56,3.0399999999999996,2.28,2.0
LEADERBOARD,2548,turnover (8.2x,8.2,x,STRICT,AT100,16.4,10.933333333333332,8.2,2.0
LEADERBOARD,2548,-30x/yr,-30.0,x,STRICT,AT100,-60.0,-40.0,-30.0,0.5
LEADERBOARD,2554,3.99x turnover,3.99,x,STRICT,AT100,7.98,5.32,3.99,2.0
LEADERBOARD,2563,turnover 2.36x,2.36,x,STRICT,AT100,4.72,3.1466666666666665,2.36,2.0
LEADERBOARD,2608,Turnover 1.77x,1.77,x,STRICT,AT100,3.54,2.36,1.77,2.0
LEADERBOARD,2620,14.4x/yr,14.4,x,STRICT,AT100,28.8,19.2,14.4,2.0
LEADERBOARD,2641,turnover 1.44x,1.44,x,STRICT,AT100,2.88,1.92,1.44,2.0
LEADERBOARD,2648,turnover 13.78x,13.78,x,STRICT,AT100,27.56,18.37333333333333,13.78,2.0
LEADERBOARD,2649,turnover 13.78x,13.78,x,STRICT,AT100,27.56,18.37333333333333,13.78,2.0
LEADERBOARD,2685,0.87x/yr,0.87,x,STRICT,AT100,1.74,1.16,0.87,2.0
LEADERBOARD,2687,32.2x/yr,32.2,x,STRICT,AT100,64.4,42.93333333333334,32.2,2.0
