tape,panel,partition,frac,stretch,n_days,spy_down,n_4a,width,lo,hi,span,contiguous,n_gaps
T_OWN,U56,ALIGNED,1,0,4445,False,0,11,0.525,0.775,11.0,True,0
T_OWN,U56,ALIGNED,2,0,2222,False,0,6,0.575,0.7,6.0,True,0
T_OWN,U56,ALIGNED,2,1,2222,False,0,12,0.5,0.775,12.0,True,0
T_OWN,U56,ALIGNED,3,0,1481,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,3,1,1481,False,11,15,0.425,0.775,15.0,True,0
T_OWN,U56,ALIGNED,3,2,1481,False,0,9,0.475,0.675,9.0,True,0
T_OWN,U56,ALIGNED,4,0,1111,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,4,1,1111,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,4,2,1111,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,4,3,1111,False,0,6,0.425,0.55,6.0,True,0
T_OWN,U56,ALIGNED,6,0,740,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,6,1,740,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,6,2,740,False,3,4,0.35,0.425,4.0,True,0
T_OWN,U56,ALIGNED,6,3,740,False,11,0,,,,True,0
T_OWN,U56,ALIGNED,6,4,740,False,0,0,,,,True,0
T_OWN,U56,ALIGNED,6,5,740,False,0,3,0.475,0.525,3.0,True,0
T_OWN,U56,OFFSET,1,0,4445,False,0,11,0.525,0.775,11.0,True,0
T_OWN,U56,OFFSET,2,0,2222,False,0,6,0.575,0.7,6.0,True,0
T_OWN,U56,OFFSET,2,1,2222,False,0,12,0.5,0.775,12.0,True,0
T_OWN,U56,OFFSET,2,2,2222,False,11,12,0.5,0.775,12.0,True,0
T_OWN,U56,OFFSET,2,3,2222,False,0,14,0.45,0.775,14.0,True,0
T_OWN,U56,OFFSET,3,0,1481,False,0,0,,,,True,0
T_OWN,U56,OFFSET,3,1,1481,False,11,15,0.425,0.775,15.0,True,0
T_OWN,U56,OFFSET,3,2,1481,False,0,9,0.475,0.675,9.0,True,0
T_OWN,U56,OFFSET,3,3,1481,False,0,2,0.55,0.575,2.0,True,0
T_OWN,U56,OFFSET,3,4,1481,False,0,13,0.475,0.775,13.0,True,0
T_OWN,U56,OFFSET,3,5,1481,False,0,0,,,,True,0
T_OWN,U56,OFFSET,3,6,1481,False,0,11,0.525,0.775,11.0,True,0
T_OWN,U56,OFFSET,4,0,1111,False,0,0,,,,True,0
T_OWN,U56,OFFSET,4,1,1111,False,0,0,,,,True,0
T_OWN,U56,OFFSET,4,2,1111,False,0,0,,,,True,0
T_OWN,U56,OFFSET,4,3,1111,False,0,6,0.425,0.55,6.0,True,0
T_OWN,U56,OFFSET,4,4,1111,False,0,0,,,,True,0
T_OWN,U56,OFFSET,4,5,1111,False,0,0,,,,True,0
T_OWN,U56,OFFSET,4,6,1111,False,0,14,0.45,0.775,14.0,True,0
T_OWN,U56,OFFSET,4,7,1111,False,6,0,,,,True,0
T_OWN,U56,OFFSET,4,8,1111,False,0,13,0.475,0.775,13.0,True,0
T_OWN,U56,OFFSET,4,9,1111,False,0,14,0.475,0.8,14.0,True,0
T_OWN,U56,OFFSET,6,0,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,1,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,2,740,False,3,4,0.35,0.425,4.0,True,0
T_OWN,U56,OFFSET,6,3,740,False,11,0,,,,True,0
T_OWN,U56,OFFSET,6,4,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,5,740,False,0,3,0.475,0.525,3.0,True,0
T_OWN,U56,OFFSET,6,6,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,7,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,8,740,False,0,1,0.425,0.425,1.0,True,0
T_OWN,U56,OFFSET,6,9,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,10,740,False,7,18,0.375,0.8,18.0,True,0
T_OWN,U56,OFFSET,6,11,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,12,740,False,3,1,0.425,0.425,1.0,True,0
T_OWN,U56,OFFSET,6,13,740,False,0,0,,,,True,0
T_OWN,U56,OFFSET,6,14,740,False,0,17,0.375,0.775,17.0,True,0
T_OWN,U56,OFFSET,6,15,740,False,6,2,0.5,0.525,2.0,True,0
T_OWN,B136,ALIGNED,1,0,4443,False,0,10,0.5,0.725,10.0,True,0
T_OWN,B136,ALIGNED,2,0,2221,False,0,9,0.475,0.675,9.0,True,0
T_OWN,B136,ALIGNED,2,1,2221,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,3,0,1481,False,0,9,0.475,0.675,9.0,True,0
T_OWN,B136,ALIGNED,3,1,1481,False,0,9,0.525,0.725,9.0,True,0
T_OWN,B136,ALIGNED,3,2,1481,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,4,0,1110,False,8,7,0.525,0.675,7.0,True,0
T_OWN,B136,ALIGNED,4,1,1110,False,0,1,0.4,0.4,1.0,True,0
T_OWN,B136,ALIGNED,4,2,1110,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,4,3,1110,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,6,0,740,False,0,4,0.6,0.675,4.0,True,0
T_OWN,B136,ALIGNED,6,1,740,False,10,0,,,,True,0
T_OWN,B136,ALIGNED,6,2,740,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,6,3,740,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,6,4,740,False,0,0,,,,True,0
T_OWN,B136,ALIGNED,6,5,740,False,0,0,,,,True,0
T_OWN,B136,OFFSET,1,0,4443,False,0,10,0.5,0.725,10.0,True,0
T_OWN,B136,OFFSET,2,0,2221,False,0,9,0.475,0.675,9.0,True,0
T_OWN,B136,OFFSET,2,1,2221,False,0,0,,,,True,0
T_OWN,B136,OFFSET,2,2,2221,False,10,11,0.475,0.725,11.0,True,0
T_OWN,B136,OFFSET,2,3,2221,False,0,0,,,,True,0
T_OWN,B136,OFFSET,3,0,1481,False,0,9,0.475,0.675,9.0,True,0
T_OWN,B136,OFFSET,3,1,1481,False,0,9,0.525,0.725,9.0,True,0
T_OWN,B136,OFFSET,3,2,1481,False,0,0,,,,True,0
T_OWN,B136,OFFSET,3,3,1481,False,0,0,,,,True,0
T_OWN,B136,OFFSET,3,4,1481,False,0,0,,,,True,0
T_OWN,B136,OFFSET,3,5,1481,False,0,0,,,,True,0
T_OWN,B136,OFFSET,3,6,1481,False,0,0,,,,True,0
T_OWN,B136,OFFSET,4,0,1110,False,8,7,0.525,0.675,7.0,True,0
T_OWN,B136,OFFSET,4,1,1110,False,0,1,0.4,0.4,1.0,True,0
T_OWN,B136,OFFSET,4,2,1110,False,0,0,,,,True,0
T_OWN,B136,OFFSET,4,3,1110,False,0,0,,,,True,0
T_OWN,B136,OFFSET,4,4,1110,False,7,5,0.45,0.55,5.0,True,0
T_OWN,B136,OFFSET,4,5,1110,False,0,2,0.425,0.45,2.0,True,0
T_OWN,B136,OFFSET,4,6,1110,False,0,0,,,,True,0
T_OWN,B136,OFFSET,4,7,1110,False,5,0,,,,True,0
T_OWN,B136,OFFSET,4,8,1110,False,10,0,,,,True,0
T_OWN,B136,OFFSET,4,9,1110,False,0,0,,,,True,0
T_OWN,B136,OFFSET,6,0,740,False,0,4,0.6,0.675,4.0,True,0
T_OWN,B136,OFFSET,6,1,740,False,10,0,,,,True,0
T_OWN,B136,OFFSET,6,2,740,False,0,0,,,,True,0
T_OWN,B136,OFFSET,6,3,740,False,0,0,,,,True,0
