file,kind,maxdd_pp,contrast_pp
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-14.51,-2.459999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-14.47,-2.42
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.48,-0.4299999999999997
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-19.13,-7.079999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-20.43,-8.379999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-19.13,-7.079999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-18.57,-6.52
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-19.34,-7.289999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-20.14,-8.09
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-20.14,-8.09
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-20.17,-8.120000000000001
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.24,-0.1899999999999995
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.09,-0.03999999999999915
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-15.32,-3.2699999999999996
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-16.52,-4.469999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-15.49,-3.4399999999999995
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.7,-21.650000000000002
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-32.8,-20.749999999999996
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.05,0.0
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-17.65,-5.599999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-15.54,-3.4899999999999984
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-19.6,-7.550000000000001
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-12.09,-0.03999999999999915
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-20.6,-8.55
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-19.7,-7.649999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-18.31,-6.259999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-18.31,-6.259999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-43.51,-31.459999999999997
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-33.72,-21.669999999999998
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-21.7,-9.649999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-19.1,-7.050000000000001
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-16.7,-4.649999999999999
LEADERBOARD.md,CAGR/Sharpe/MaxDD triple,-18.6,-6.550000000000001
