load_prices: network unavailable (ModuleNotFoundError); using prices.csv

========================================================================================================================================================================================================
UNIVERSE universe.json(56): 56 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
SPY  CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS Sharpe 0.884
4b bars: Sharpe > 0.957 (H1) / 0.837 (H2) / 0.884 (OOS), MaxDD <= 20.23%, CAGR >= 10.68%
========================================================================================================================================================================================================
ENGINE-EQUIVALENCE (budget=inf vs engine.backtest, cost-free): max|diff| = 0.000e+00 (EXACT)

FULL GRID universe.json(56) — 240 points, ALL reported (80 arms x 3 costs)
        book         arm  cost  CAGR  Sharpe  MaxDD    H1    H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD     TO  gross   m_DD  m_CAGR binds      z   p4a   p4b  p4b_oos     f4b
   C2/CAND20 g0.55/B0.10     5 0.096   1.138 -0.129 1.118 1.162     0.109       1.229     -0.129  6.811  0.518  0.074  -0.011  CAGR -1.127  True False     True    CAGR
   C2/CAND20 g0.55/B0.20     5 0.097   1.135 -0.137 1.132 1.144     0.109       1.210     -0.137  7.074  0.525  0.066  -0.010  CAGR -1.015  True False     True    CAGR
   C2/CAND20 g0.55/B0.30     5 0.097   1.135 -0.136 1.133 1.142     0.109       1.209     -0.136  7.085  0.526  0.066  -0.010  CAGR -1.012  True False     True    CAGR
   C2/CAND20  g0.55/Binf     5 0.097   1.135 -0.136 1.133 1.142     0.109       1.209     -0.136  7.085  0.526  0.066  -0.010  CAGR -1.012  True False     True    CAGR
   C2/CAND20 g0.65/B0.10     5 0.112   1.137 -0.148 1.116 1.160     0.128       1.229     -0.148  7.761  0.605  0.054   0.005  CAGR  0.480 False  True     True       -
   C2/CAND20 g0.65/B0.20     5 0.114   1.135 -0.161 1.131 1.145     0.129       1.211     -0.161  8.333  0.620  0.041   0.008  CAGR  0.754 False  True     True       -
   C2/CAND20 g0.65/B0.30     5 0.114   1.135 -0.159 1.133 1.142     0.129       1.209     -0.159  8.358  0.621  0.043   0.008  CAGR  0.760 False  True     True       -
   C2/CAND20  g0.65/Binf     5 0.114   1.135 -0.159 1.133 1.142     0.129       1.209     -0.159  8.359  0.621  0.043   0.008  CAGR  0.761 False  True     True       -
   C2/CAND20 g0.75/B0.10     5 0.127   1.136 -0.167 1.109 1.165     0.146       1.234     -0.167  8.482  0.683  0.035   0.020  CAGR  1.991 False  True     True       -
   C2/CAND20 g0.75/B0.20     5 0.132   1.136 -0.184 1.129 1.148     0.150       1.214     -0.184  9.577  0.715  0.019   0.025    DD  1.851 False  True     True       -
   C2/CAND20 g0.75/B0.30     5 0.132   1.135 -0.183 1.132 1.144     0.149       1.210     -0.183  9.624  0.717  0.019   0.025    DD  1.942 False  True     True       -
   C2/CAND20  g0.75/Binf     5 0.132   1.135 -0.183 1.133 1.143     0.149       1.209     -0.183  9.633  0.717  0.020   0.025    DD  1.966 False  True     True       -
   C2/CAND20 g0.85/B0.10     5 0.141   1.136 -0.181 1.109 1.166     0.163       1.236     -0.181  9.059  0.756  0.021   0.034    DD  2.098 False  True     True       -
