gate,detail,passed
G6_rulesv2_replay,U56 W 10bps CAGR 8.6189% Sharpe 1.2010 MaxDD -12.0549% (RULES.md: 8.66% / 1.2056 / -12.05%),True
G3_exposure_match,U56/V1/W/m=0.45 gross dev 0.7494 anc 0.7494,True
G3_exposure_match,U56/V1/W/m=0.60 gross dev 0.7495 anc 0.7495,True
G3_exposure_match,U56/V1/W/m=0.80 gross dev 0.7499 anc 0.7499,True
G3_exposure_match,U56/V1/W/m=1.00 gross dev 0.7500 anc 0.7500,True
G3_exposure_match,U56/V1/W/m=1.50 gross dev 0.7500 anc 0.7500,True
G3_exposure_match,U56/V1/M/m=0.45 gross dev 0.7498 anc 0.7498,True
G3_exposure_match,U56/V1/M/m=0.60 gross dev 0.7497 anc 0.7497,True
G3_exposure_match,U56/V1/M/m=0.80 gross dev 0.7504 anc 0.7504,True
G3_exposure_match,U56/V1/M/m=1.00 gross dev 0.7504 anc 0.7504,True
G3_exposure_match,U56/V1/M/m=1.50 gross dev 0.7504 anc 0.7504,True
G3_exposure_match,U56/BASE20/W/m=0.45 gross dev 0.7117 anc 0.7117,True
G3_exposure_match,U56/BASE20/W/m=0.60 gross dev 0.7196 anc 0.7196,True
G3_exposure_match,U56/BASE20/W/m=0.80 gross dev 0.7231 anc 0.7231,True
G3_exposure_match,U56/BASE20/W/m=1.00 gross dev 0.7244 anc 0.7244,True
G3_exposure_match,U56/BASE20/W/m=1.50 gross dev 0.7255 anc 0.7255,True
G3_exposure_match,U56/BASE20/M/m=0.45 gross dev 0.7141 anc 0.7141,True
G3_exposure_match,U56/BASE20/M/m=0.60 gross dev 0.7215 anc 0.7215,True
G3_exposure_match,U56/BASE20/M/m=0.80 gross dev 0.7250 anc 0.7250,True
G3_exposure_match,U56/BASE20/M/m=1.00 gross dev 0.7256 anc 0.7256,True
G3_exposure_match,U56/BASE20/M/m=1.50 gross dev 0.7267 anc 0.7267,True
G3_exposure_match,B136/V1/W/m=0.45 gross dev 0.7498 anc 0.7498,True
G3_exposure_match,B136/V1/W/m=0.60 gross dev 0.7498 anc 0.7498,True
G3_exposure_match,B136/V1/W/m=0.80 gross dev 0.7502 anc 0.7502,True
G3_exposure_match,B136/V1/W/m=1.00 gross dev 0.7502 anc 0.7502,True
G3_exposure_match,B136/V1/W/m=1.50 gross dev 0.7502 anc 0.7502,True
G3_exposure_match,B136/V1/M/m=0.45 gross dev 0.7510 anc 0.7510,True
G3_exposure_match,B136/V1/M/m=0.60 gross dev 0.7510 anc 0.7510,True
G3_exposure_match,B136/V1/M/m=0.80 gross dev 0.7510 anc 0.7510,True
G3_exposure_match,B136/V1/M/m=1.00 gross dev 0.7510 anc 0.7510,True
G3_exposure_match,B136/V1/M/m=1.50 gross dev 0.7510 anc 0.7510,True
G3_exposure_match,B136/BASE20/W/m=0.45 gross dev 0.7392 anc 0.7392,True
G3_exposure_match,B136/BASE20/W/m=0.60 gross dev 0.7418 anc 0.7418,True
G3_exposure_match,B136/BASE20/W/m=0.80 gross dev 0.7438 anc 0.7438,True
G3_exposure_match,B136/BASE20/W/m=1.00 gross dev 0.7447 anc 0.7447,True
