load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

========================================================================================================================================================================================================
UNIVERSE u56: 56 names, 2008-01-02 -> 2026-09-03
========================================================================================================================================================================================================
Eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01 | G* = 0.75
SPY  CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS Sharpe 0.884
4b bars: Sharpe > 0.957/0.837 halves, > 0.884 OOS, MaxDD <= 20.23%, CAGR >= 10.68%
Eligible names/day: mean 37.5, days with < 20 eligible: 11.0%  (this is the channel through which the literal CAND20 de-grosses)

HARNESS CHECK (gm=off control vs engine.backtest, cost-free)
  CAND20  max |harness - engine| = 0.000e+00
  EWall   max |harness - engine| = 1.388e-17
  worst = 1.388e-17  (EXACT)

FULL GRID u56 - 184 points, ALL reported (46 arms x 4 costs)
                            arm  cost   CAGR  Sharpe  MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD     TO  gross  bind   m_DD  m_CAGR    p4a    p4b                f4b
0    CAND20/budget-pro0.1/gmOFF     0  0.144   1.158 -0.211  1.175  1.157     0.164       1.226     -0.211  5.086  0.718 0.870 -0.009   0.037  False  False                 DD
1    CAND20/budget-pro0.1/gmOFF     5  0.141   1.138 -0.211  1.152  1.138     0.161       1.207     -0.211  5.086  0.718 0.870 -0.009   0.034  False  False                 DD
2    CAND20/budget-pro0.1/gmOFF    10  0.138   1.117 -0.211  1.128  1.119     0.158       1.187     -0.211  5.086  0.718 0.870 -0.009   0.031  False  False                 DD
3    CAND20/budget-pro0.1/gmOFF    25  0.129   1.055 -0.212  1.059  1.062     0.149       1.129     -0.212  5.086  0.718 0.870 -0.010   0.022  False  False                 DD
4     CAND20/budget-pro0.1/gmON     0  0.153   1.174 -0.223  1.195  1.173     0.176       1.236     -0.223  5.058  0.750 0.894 -0.021   0.046  False  False                 DD
5     CAND20/budget-pro0.1/gmON     5  0.150   1.154 -0.223  1.172  1.156     0.174       1.218     -0.223  5.058  0.750 0.894 -0.021   0.043  False  False                 DD
6     CAND20/budget-pro0.1/gmON    10  0.147   1.134 -0.223  1.150  1.138     0.171       1.200     -0.223  5.058  0.750 0.894 -0.021   0.040  False  False                 DD
7     CAND20/budget-pro0.1/gmON    25  0.139   1.075 -0.224  1.082  1.085     0.162       1.145     -0.224  5.058  0.750 0.894 -0.021   0.032  False  False                 DD
8    CAND20/budget-pro0.2/gmOFF     0  0.138   1.154 -0.188  1.156  1.160     0.157       1.226     -0.188  8.362  0.718 0.432  0.014   0.031  False   True                  -
9    CAND20/budget-pro0.2/gmOFF     5  0.133   1.118 -0.188  1.118  1.127     0.152       1.193     -0.188  8.362  0.718 0.432  0.014   0.027  False   True                  -
10   CAND20/budget-pro0.2/gmOFF    10  0.129   1.083 -0.188  1.079  1.094     0.147       1.160     -0.188  8.362  0.718 0.432  0.014   0.022  False   True                  -
11   CAND20/budget-pro0.2/gmOFF    25  0.115   0.977 -0.189  0.963  0.996     0.133       1.060     -0.189  8.362  0.718 0.432  0.013   0.008  False   True                  -
12    CAND20/budget-pro0.2/gmON     0  0.146   1.164 -0.201  1.158  1.181     0.168       1.239     -0.201  8.581  0.750 0.508  0.001   0.040  False   True                  -
13    CAND20/budget-pro0.2/gmON     5  0.142   1.130 -0.201  1.119  1.149     0.164       1.208     -0.201  8.581  0.750 0.508  0.001   0.035  False   True                  -
14    CAND20/budget-pro0.2/gmON    10  0.137   1.095 -0.202  1.081  1.118     0.159       1.176     -0.202  8.581  0.750 0.508  0.001   0.030  False   True                  -
15    CAND20/budget-pro0.2/gmON    25  0.122   0.992 -0.202  0.965  1.023     0.144       1.080     -0.202  8.581  0.750 0.508 -0.000   0.015  False  False                 DD
16   CAND20/budget-pro0.4/gmOFF     0  0.136   1.161 -0.182  1.177  1.154     0.152       1.222     -0.182  9.578  0.717 0.022  0.020   0.030  False   True                  -
17   CAND20/budget-pro0.4/gmOFF     5  0.131   1.120 -0.183  1.133  1.116     0.147       1.183     -0.183  9.578  0.717 0.022  0.020   0.024  False   True                  -
18   CAND20/budget-pro0.4/gmOFF    10  0.126   1.079 -0.183  1.088  1.077     0.142       1.144     -0.183  9.578  0.717 0.022  0.019   0.019  False   True                  -
19   CAND20/budget-pro0.4/gmOFF    25  0.110   0.955 -0.184  0.954  0.961     0.125       1.028     -0.184  9.578  0.717 0.022  0.018   0.003  False  False                 H1
20    CAND20/budget-pro0.4/gmON     0  0.141   1.148 -0.190  1.156  1.150     0.159       1.213     -0.190 10.474  0.750 0.085  0.013   0.034  False   True                  -
21    CAND20/budget-pro0.4/gmON     5  0.135   1.105 -0.190  1.109  1.110     0.153       1.173     -0.190 10.474  0.750 0.085  0.012   0.028  False   True                  -
22    CAND20/budget-pro0.4/gmON    10  0.129   1.062 -0.191  1.062  1.070     0.147       1.132     -0.191 10.474  0.750 0.085  0.012   0.022  False   True                  -
23    CAND20/budget-pro0.4/gmON    25  0.111   0.932 -0.192  0.921  0.948     0.129       1.011     -0.192 10.474  0.750 0.085  0.010   0.005  False  False                 H1
24   CAND20/budget-top0.1/gmOFF     0  0.159   1.147 -0.229  1.185  1.130     0.179       1.189     -0.229  5.173  0.815 0.910 -0.026   0.052  False  False                 DD
25   CAND20/budget-top0.1/gmOFF     5  0.156   1.128 -0.229  1.164  1.113     0.176       1.172     -0.229  5.173  0.815 0.910 -0.026   0.049  False  False                 DD
26   CAND20/budget-top0.1/gmOFF    10  0.153   1.109 -0.229  1.142  1.096     0.172       1.154     -0.229  5.173  0.815 0.910 -0.027   0.046  False  False                 DD
27   CAND20/budget-top0.1/gmOFF    25  0.144   1.053 -0.229  1.079  1.044     0.163       1.101     -0.229  5.173  0.815 0.910 -0.027   0.038  False  False                 DD
28    CAND20/budget-top0.1/gmON     0  0.148   1.079 -0.301  1.271  0.856     0.111       0.939     -0.301  7.373  0.750 0.947 -0.099   0.041  False  False                 DD
29    CAND20/budget-top0.1/gmON     5  0.144   1.052 -0.303  1.247  0.826     0.107       0.908     -0.303  7.373  0.750 0.947 -0.101   0.037  False  False              H2,DD
30    CAND20/budget-top0.1/gmON    10  0.139   1.025 -0.304  1.222  0.796     0.102       0.877     -0.304  7.373  0.750 0.947 -0.102   0.033  False  False          H2,OOS,DD
31    CAND20/budget-top0.1/gmON    25  0.127   0.944 -0.309  1.148  0.704     0.090       0.783     -0.309  7.373  0.750 0.947 -0.106   0.020  False  False          H2,OOS,DD
32   CAND20/budget-top0.2/gmOFF     0  0.146   1.151 -0.210  1.163  1.153     0.166       1.212     -0.210  8.473  0.747 0.458 -0.008   0.040  False  False                 DD
33   CAND20/budget-top0.2/gmOFF     5  0.142   1.118 -0.211  1.125  1.122     0.161       1.181     -0.211  8.473  0.747 0.458 -0.008   0.035  False  False                 DD
34   CAND20/budget-top0.2/gmOFF    10  0.137   1.084 -0.211  1.088  1.092     0.156       1.150     -0.211  8.473  0.747 0.458 -0.009   0.030  False  False                 DD
35   CAND20/budget-top0.2/gmOFF    25  0.122   0.983 -0.212  0.975  0.999     0.142       1.056     -0.212  8.473  0.747 0.458 -0.010   0.016  False  False                 DD
