uni,q,book,arm,ad,stateful
universe.json(56),0.05,TOP10,abs12-dg,0.07500000000000001,False
universe.json(56),0.05,TOP10,abs12-rw,0.125,False
universe.json(56),0.05,TOP10,band3-dg,0.0,False
universe.json(56),0.05,TOP10,band3-rw,0.0,False
universe.json(56),0.05,TOP10,ddctl-8/.5/high,0.0,True
universe.json(56),0.05,TOP10,ddctl-8/.5/recover,0.0,True
universe.json(56),0.05,TOP10,ebud-0.10,0.025000000000000022,True
universe.json(56),0.05,TOP10,ebud-0.20,0.050000000000000044,True
universe.json(56),0.05,TOP10,g200-dg,0.0,False
universe.json(56),0.05,TOP10,g200-rw,0.0,False
universe.json(56),0.05,TOP10,stop15,0.0,True
universe.json(56),0.05,TOP10,stop25,0.0,True
universe.json(56),0.05,TOP10,v1gate-dg,0.0,False
universe.json(56),0.05,TOP10,v1gate-rw,0.0,False
universe.json(56),0.05,TOP10,vol60-dg,0.0,False
universe.json(56),0.05,TOP10,vol60-rw,0.0,False
universe.json(56),0.05,TOP20,abs12-dg,0.050000000000000044,False
universe.json(56),0.05,TOP20,abs12-rw,0.0,False
universe.json(56),0.05,TOP20,band3-dg,0.0,False
universe.json(56),0.05,TOP20,band3-rw,0.0,False
universe.json(56),0.05,TOP20,ddctl-8/.5/high,0.0,True
universe.json(56),0.05,TOP20,ddctl-8/.5/recover,0.0,True
universe.json(56),0.05,TOP20,ebud-0.10,0.0,True
universe.json(56),0.05,TOP20,ebud-0.20,0.175,True
universe.json(56),0.05,TOP20,g200-dg,0.0,False
universe.json(56),0.05,TOP20,g200-rw,0.0,False
universe.json(56),0.05,TOP20,stop15,0.025,True
universe.json(56),0.05,TOP20,stop25,0.0,True
universe.json(56),0.05,TOP20,v1gate-dg,0.0,False
universe.json(56),0.05,TOP20,v1gate-rw,0.0,False
universe.json(56),0.05,TOP20,vol60-dg,0.0,False
universe.json(56),0.05,TOP20,vol60-rw,0.0,False
universe.json(56),0.05,TOP3,abs12-dg,0.0,False
universe.json(56),0.05,TOP3,abs12-rw,0.025000000000000022,False
universe.json(56),0.05,TOP3,band3-dg,0.09999999999999998,False
universe.json(56),0.05,TOP3,band3-rw,0.04999999999999999,False
universe.json(56),0.05,TOP3,ddctl-8/.5/high,0.0,True
universe.json(56),0.05,TOP3,ddctl-8/.5/recover,0.0,True
universe.json(56),0.05,TOP3,ebud-0.10,0.050000000000000044,True
universe.json(56),0.05,TOP3,ebud-0.20,0.050000000000000044,True
universe.json(56),0.05,TOP3,g200-dg,0.0,False
