panel,arm,cost,ceiling,ceiling_tag,claimset,nonmono,insolvent,chooser,IS_empty,IS_lo,IS_hi,g_pick,levered_pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,pass4b,pass4a,turn_yr,leg_L1_H1,leg_L2_H2,leg_L3_OOS,leg_L4_DDcap,leg_L5_CAGRfloor
U56,BAND03,0.0,1.0,PROTO,REPRO,False,False,IS_MID,True,,,,,,,,,,,,,,,,,
U56,BAND03,0.0,1.0,PROTO,REPRO,False,False,IS_SHARPE,True,,,,,,,,,,,,,,,,,
U56,BAND03,0.0,1.25,LEV125,REPRO,False,False,IS_MID,False,1.01,1.25,1.13,True,0.14671333240266438,1.300466320434403,-0.17848565047800735,1.4273512711408303,1.1616337691132457,True,False,2.682765398063417,True,True,True,True,True
U56,BAND03,0.0,1.25,LEV125,REPRO,False,False,IS_SHARPE,False,1.01,1.25,1.25,True,0.16267483129135885,1.3000487144426185,-0.1964711699293098,1.4262395535685066,1.161968443467248,True,False,2.971798073935622,True,True,True,True,True
U56,BAND03,0.0,1.5,LEV150,REPRO,False,False,IS_MID,False,1.01,1.29,1.15,True,0.14936929247273567,1.3003971799333416,-0.1814962541701287,1.4271669004601149,1.1616894557592865,True,False,2.7305908454758736,True,True,True,True,True
U56,BAND03,0.0,1.5,LEV150,REPRO,False,False,IS_SHARPE,False,1.01,1.29,1.29,True,0.16800872274282908,1.2999080266924623,-0.20242464964940898,1.4258660331645912,1.162080296020951,False,False,3.0694381186877195,True,True,True,False,True
U56,BAND03,0.0,2.0,LEV200,REPRO,False,False,IS_MID,False,1.01,1.29,1.15,True,0.14936929247273567,1.3003971799333416,-0.1814962541701287,1.4271669004601149,1.1616894557592865,True,False,2.7305908454758736,True,True,True,True,True
U56,BAND03,0.0,2.0,LEV200,REPRO,False,False,IS_SHARPE,False,1.01,1.29,1.29,True,0.16800872274282908,1.2999080266924623,-0.20242464964940898,1.4258660331645912,1.162080296020951,False,False,3.0694381186877195,True,True,True,False,True
U56,BAND03,0.0,3.0,LEV300,REPRO,False,False,IS_MID,False,1.01,1.29,1.15,True,0.14936929247273567,1.3003971799333416,-0.1814962541701287,1.4271669004601149,1.1616894557592865,True,False,2.7305908454758736,True,True,True,True,True
U56,BAND03,0.0,3.0,LEV300,REPRO,False,False,IS_SHARPE,False,1.01,1.29,1.29,True,0.16800872274282908,1.2999080266924623,-0.20242464964940898,1.4258660331645912,1.162080296020951,False,False,3.0694381186877195,True,True,True,False,True
U56,BAND03,10.0,1.0,PROTO,REPRO,False,False,IS_MID,True,,,,,,,,,,,,,,,,,
U56,BAND03,10.0,1.0,PROTO,REPRO,False,False,IS_SHARPE,True,,,,,,,,,,,,,,,,,
