panel,ladder,mode,K,K_cand,chosen,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,N,RAW,6,6,N=40,0.13443489553141097,1.1346869565732272,-0.2245552108552068,1.266294739283014,1.0427178666609016,0.14163875971720574,1.1212046598635055,-0.22455521085520647,False,False,False
U56,N,DEDUP_P_MAX,6,6,N=40,0.13443489553141097,1.1346869565732272,-0.2245552108552068,1.266294739283014,1.0427178666609016,0.14163875971720574,1.1212046598635055,-0.22455521085520647,False,False,False
U56,N,DEDUP_P_MEAN,6,6,N=40,0.13443489553141097,1.1346869565732272,-0.2245552108552068,1.266294739283014,1.0427178666609016,0.14163875971720574,1.1212046598635055,-0.22455521085520647,False,False,False
U56,N,DEDUP_P_MEDIAN,6,6,N=40,0.13443489553141097,1.1346869565732272,-0.2245552108552068,1.266294739283014,1.0427178666609016,0.14163875971720574,1.1212046598635055,-0.22455521085520647,False,False,False
U56,N,DEDUP_P_MIN,6,2,N=15,0.1712513442147694,1.171073124862731,-0.2014457489579955,1.259559340954203,1.1154781647693055,0.18981196763901864,1.19530470786359,-0.20144574895799494,False,True,True
U56,N,DEDUP_PANEL,6,4,N=40,0.13443489553141097,1.1346869565732272,-0.2245552108552068,1.266294739283014,1.0427178666609016,0.14163875971720574,1.1212046598635055,-0.22455521085520647,False,False,False
B136,N,RAW,6,6,N=5,0.1872779889378513,0.9689798274656515,-0.2812388100874458,1.3074296361205184,0.7109124693456492,0.14711932339670653,0.7546439359925252,-0.2812388100874462,False,False,False
B136,N,DEDUP_P_MAX,6,6,N=5,0.1872779889378513,0.9689798274656515,-0.2812388100874458,1.3074296361205184,0.7109124693456492,0.14711932339670653,0.7546439359925252,-0.2812388100874462,False,False,False
B136,N,DEDUP_P_MEAN,6,6,N=5,0.1872779889378513,0.9689798274656515,-0.2812388100874458,1.3074296361205184,0.7109124693456492,0.14711932339670653,0.7546439359925252,-0.2812388100874462,False,False,False
B136,N,DEDUP_P_MEDIAN,6,6,N=5,0.1872779889378513,0.9689798274656515,-0.2812388100874458,1.3074296361205184,0.7109124693456492,0.14711932339670653,0.7546439359925252,-0.2812388100874462,False,False,False
B136,N,DEDUP_P_MIN,6,2,N=20,0.16184809643572629,1.0715348935832014,-0.20740302267849475,1.2901570913907343,0.8994538327030833,0.1628665539757932,1.024015074035567,-0.20740302267849475,False,False,False
B136,N,DEDUP_PANEL,6,3,N=10,0.18530225114346233,1.0665533143779662,-0.20203288162979294,1.3780429811739299,0.8362003587033098,0.16787343178113612,0.923493018629746,-0.20203288162979294,False,True,False
SMALL,N,RAW,6,6,N=40,0.07337933258862828,0.510883364197917,-0.3611659367125417,0.7129609757729953,0.3674730574962897,0.06171328607596971,0.4303406149303921,-0.3611659367125418,False,False,False
SMALL,N,DEDUP_P_MAX,6,6,N=40,0.07337933258862828,0.510883364197917,-0.3611659367125417,0.7129609757729953,0.3674730574962897,0.06171328607596971,0.4303406149303921,-0.3611659367125418,False,False,False
SMALL,N,DEDUP_P_MEAN,6,6,N=40,0.07337933258862828,0.510883364197917,-0.3611659367125417,0.7129609757729953,0.3674730574962897,0.06171328607596971,0.4303406149303921,-0.3611659367125418,False,False,False
SMALL,N,DEDUP_P_MEDIAN,6,6,N=40,0.07337933258862828,0.510883364197917,-0.3611659367125417,0.7129609757729953,0.3674730574962897,0.06171328607596971,0.4303406149303921,-0.3611659367125418,False,False,False
SMALL,N,DEDUP_P_MIN,6,2,N=15,0.08418218895957041,0.5189338252609249,-0.39206257008104306,0.7524202797906945,0.34219142776348793,0.07487124483857088,0.46182909573435893,-0.3920625700810426,False,False,False
SMALL,N,DEDUP_PANEL,6,6,N=40,0.07337933258862828,0.510883364197917,-0.3611659367125417,0.7129609757729953,0.3674730574962897,0.06171328607596971,0.4303406149303921,-0.3611659367125418,False,False,False
U56,H,RAW,4,4,H=252,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,0.17447054166912612,1.1968670347321877,-0.21843527860630396,False,False,False
U56,H,DEDUP_P_MAX,4,4,H=252,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,0.17447054166912612,1.1968670347321877,-0.21843527860630396,False,False,False
U56,H,DEDUP_P_MEAN,4,4,H=252,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,0.17447054166912612,1.1968670347321877,-0.21843527860630396,False,False,False
U56,H,DEDUP_P_MEDIAN,4,4,H=252,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,0.17447054166912612,1.1968670347321877,-0.21843527860630396,False,False,False
U56,H,DEDUP_P_MIN,4,2,H=252,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,0.17447054166912612,1.1968670347321877,-0.21843527860630396,False,False,False
U56,H,DEDUP_PANEL,4,2,H=252,0.15961142526911276,1.1670107370849376,-0.21843527860630396,1.2249777263979964,1.1306292548299925,0.17447054166912612,1.1968670347321877,-0.21843527860630396,False,False,False
