panel,cad,unit,kind,thr,widest,n_pass,n_rungs
small,D,RANKN,abs x/yr,0.25,220,10,11
small,D,RANKN,abs x/yr,0.5,220,10,11
small,D,RANKN,abs x/yr,1.0,220,10,11
small,D,RANKN,abs x/yr,2.0,220,10,11
small,D,RANKN,rel frac,0.01,220,10,11
small,D,RANKN,rel frac,0.05,220,10,11
small,D,RANKN,rel frac,0.1,220,10,11
small,D,RANKN,rel frac,0.25,220,10,11
small,D,RANKN,rel frac,0.5,220,10,11
small,D,RANKN,bps/yr@10,1.0,220,10,11
small,D,RANKN,bps/yr@10,5.0,220,10,11
small,D,RANKN,bps/yr@10,10.0,220,10,11
small,D,RANKN,bps/yr@10,25.0,220,10,11
small,W,RANKN,abs x/yr,0.01,220,10,11
small,W,RANKN,abs x/yr,0.05,220,10,11
small,W,RANKN,abs x/yr,0.1,220,10,11
small,W,RANKN,abs x/yr,0.25,220,10,11
small,W,RANKN,abs x/yr,0.5,220,10,11
small,W,RANKN,abs x/yr,1.0,220,10,11
small,W,RANKN,abs x/yr,2.0,220,10,11
small,W,RANKN,rel frac,0.01,220,10,11
small,W,RANKN,rel frac,0.05,220,10,11
small,W,RANKN,rel frac,0.1,220,10,11
small,W,RANKN,rel frac,0.25,220,10,11
small,W,RANKN,rel frac,0.5,140,9,11
small,W,RANKN,bps/yr@10,1.0,220,10,11
small,W,RANKN,bps/yr@10,5.0,220,10,11
small,W,RANKN,bps/yr@10,10.0,220,10,11
small,W,RANKN,bps/yr@10,25.0,220,10,11
u56,D,COVER,abs x/yr,0.01,c0.99,12,13
u56,D,COVER,abs x/yr,0.05,c0.99,12,13
u56,D,COVER,abs x/yr,0.1,c0.99,12,13
u56,D,COVER,abs x/yr,0.25,c0.99,12,13
u56,D,COVER,abs x/yr,0.5,c0.99,12,13
u56,D,COVER,abs x/yr,1.0,c0.95,10,13
u56,D,COVER,abs x/yr,2.0,c0.95,10,13
u56,D,COVER,rel frac,0.01,c0.99,12,13
u56,D,COVER,rel frac,0.05,c0.99,12,13
u56,D,COVER,rel frac,0.1,c0.99,12,13
u56,D,COVER,rel frac,0.25,c0.99,12,13
u56,D,COVER,rel frac,0.5,c0.95,10,13
u56,D,COVER,bps/yr@10,1.0,c0.99,12,13
u56,D,COVER,bps/yr@10,5.0,c0.99,12,13
u56,D,COVER,bps/yr@10,10.0,c0.95,10,13
u56,D,COVER,bps/yr@10,25.0,c0.95,10,13
u56,W,COVER,abs x/yr,0.01,c0.99,12,13
u56,W,COVER,abs x/yr,0.05,c0.99,12,13
u56,W,COVER,abs x/yr,0.1,c0.99,12,13
u56,W,COVER,abs x/yr,0.25,c0.99,12,13
u56,W,COVER,abs x/yr,0.5,c0.95,10,13
u56,W,COVER,abs x/yr,1.0,c0.90,9,13
u56,W,COVER,abs x/yr,2.0,c0.80,8,13
u56,W,COVER,rel frac,0.01,c0.99,12,13
u56,W,COVER,rel frac,0.05,c0.99,12,13
u56,W,COVER,rel frac,0.1,c0.99,12,13
u56,W,COVER,rel frac,0.25,c0.95,10,13
u56,W,COVER,rel frac,0.5,c0.80,8,13
u56,W,COVER,bps/yr@10,1.0,c0.99,12,13
u56,W,COVER,bps/yr@10,5.0,c0.95,10,13
u56,W,COVER,bps/yr@10,10.0,c0.90,9,13
u56,W,COVER,bps/yr@10,25.0,c0.65,7,13
broad,D,COVER,abs x/yr,0.01,c0.99,12,13
broad,D,COVER,abs x/yr,0.05,c0.99,12,13
broad,D,COVER,abs x/yr,0.1,c0.99,12,13
broad,D,COVER,abs x/yr,0.25,c0.99,12,13
broad,D,COVER,abs x/yr,0.5,c0.98,11,13
broad,D,COVER,abs x/yr,1.0,c0.98,11,13
broad,D,COVER,abs x/yr,2.0,c0.95,10,13
broad,D,COVER,rel frac,0.01,c0.99,12,13
broad,D,COVER,rel frac,0.05,c0.99,12,13
broad,D,COVER,rel frac,0.1,c0.99,12,13
broad,D,COVER,rel frac,0.25,c0.98,11,13
broad,D,COVER,rel frac,0.5,c0.90,9,13
broad,D,COVER,bps/yr@10,1.0,c0.99,12,13
broad,D,COVER,bps/yr@10,5.0,c0.98,11,13
broad,D,COVER,bps/yr@10,10.0,c0.98,11,13
broad,D,COVER,bps/yr@10,25.0,c0.90,9,13
broad,W,COVER,abs x/yr,0.01,c0.99,12,13
broad,W,COVER,abs x/yr,0.05,c0.99,12,13
broad,W,COVER,abs x/yr,0.1,c0.99,12,13
broad,W,COVER,abs x/yr,0.25,c0.98,11,13
broad,W,COVER,abs x/yr,0.5,c0.95,10,13
broad,W,COVER,abs x/yr,1.0,c0.90,9,13
broad,W,COVER,abs x/yr,2.0,c0.65,7,13
broad,W,COVER,rel frac,0.01,c0.99,12,13
broad,W,COVER,rel frac,0.05,c0.99,12,13
broad,W,COVER,rel frac,0.1,c0.99,12,13
broad,W,COVER,rel frac,0.25,c0.98,11,13
broad,W,COVER,rel frac,0.5,c0.80,8,13
broad,W,COVER,bps/yr@10,1.0,c0.99,12,13
broad,W,COVER,bps/yr@10,5.0,c0.95,10,13
broad,W,COVER,bps/yr@10,10.0,c0.90,9,13
broad,W,COVER,bps/yr@10,25.0,c0.65,7,13
small,D,COVER,abs x/yr,0.01,c1.00,13,13
small,D,COVER,abs x/yr,0.05,c0.99,12,13
small,D,COVER,abs x/yr,0.1,c0.99,12,13
small,D,COVER,abs x/yr,0.25,c0.99,12,13
small,D,COVER,abs x/yr,0.5,c0.98,11,13
small,D,COVER,abs x/yr,1.0,c0.95,10,13
small,D,COVER,abs x/yr,2.0,c0.90,9,13
small,D,COVER,rel frac,0.01,c0.99,12,13
small,D,COVER,rel frac,0.05,c0.99,12,13
small,D,COVER,rel frac,0.1,c0.99,12,13
small,D,COVER,rel frac,0.25,c0.95,10,13
small,D,COVER,rel frac,0.5,c0.80,8,13
small,D,COVER,bps/yr@10,1.0,c0.99,12,13
small,D,COVER,bps/yr@10,5.0,c0.98,11,13
small,D,COVER,bps/yr@10,10.0,c0.95,10,13
small,D,COVER,bps/yr@10,25.0,c0.90,9,13
small,W,COVER,abs x/yr,0.01,c0.99,12,13
small,W,COVER,abs x/yr,0.05,c0.99,12,13
small,W,COVER,abs x/yr,0.1,c0.99,12,13
small,W,COVER,abs x/yr,0.25,c0.98,11,13
small,W,COVER,abs x/yr,0.5,c0.95,10,13
small,W,COVER,abs x/yr,1.0,c0.90,9,13
small,W,COVER,abs x/yr,2.0,c0.65,7,13
small,W,COVER,rel frac,0.01,c0.99,12,13
small,W,COVER,rel frac,0.05,c0.99,12,13
small,W,COVER,rel frac,0.1,c0.98,11,13
small,W,COVER,rel frac,0.25,c0.90,9,13
small,W,COVER,rel frac,0.5,c0.50,6,13
small,W,COVER,bps/yr@10,1.0,c0.99,12,13
small,W,COVER,bps/yr@10,5.0,c0.95,10,13
small,W,COVER,bps/yr@10,10.0,c0.90,9,13
small,W,COVER,bps/yr@10,25.0,c0.65,7,13
