f1,f2,col,cls,n,max_abs,max_rel,med_abs,med_rel,med_level,near,drift
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,CAGR,CAGR,204,0.0,0.0,0.0,0.0,0.10278591576557514,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,H1,SHARPE,204,0.0,0.0,0.0,0.0,1.0530543431521218,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,H2,SHARPE,204,0.0,0.0,0.0,0.0,0.8482636595214773,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,IS_CAGR,CAGR,204,0.0,0.0,0.0,0.0,0.0943487002792459,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,IS_MaxDD,DD,204,0.0,0.0,0.0,0.0,0.12461273397370226,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,IS_Sharpe,SHARPE,204,0.0,0.0,0.0,0.0,0.9514531574843046,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,MaxDD,DD,204,0.0,0.0,0.0,0.0,0.1993084491098833,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,OOS_CAGR,CAGR,204,0.0,0.0,0.0,0.0,0.1042098582180172,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,OOS_MaxDD,DD,204,0.0,0.0,0.0,0.0,0.1991246375533238,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,OOS_Sharpe,SHARPE,204,0.0,0.0,0.0,0.0,0.925346356901373,True,False
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-05_cagr-floor-calibration_B.grid.csv,Sharpe,SHARPE,204,0.0,0.0,0.0,0.0,0.9682368482270607,True,False
