leg,panel,form,cadence,cash_bps,IS_lo,IS_hi,IS_pts,gstar,OOS_lo,OOS_hi,OOS_pts,gstar_in_OOS,book,pick_form,pick_gross,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,Sharpe_x,H1_x,H2_x,IS_Sharpe_x,OOS_Sharpe_x
WF-A,B136,EWall,M,0.0,0.6,0.6,1.0,0.6000000000000001,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,M,150.0,0.55,0.6,2.0,0.55,0.55,0.55,1.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,M,300.0,0.5,0.6,3.0,0.55,0.5,0.6,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,W,0.0,0.55,0.6,2.0,0.55,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,W,150.0,0.55,0.6,2.0,0.55,0.55,0.55,1.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,W,300.0,0.5,0.6,3.0,0.55,0.5,0.55,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,M,0.0,0.95,1.0,2.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,M,150.0,0.9,1.0,3.0,0.9500000000000001,0.95,1.0,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,M,300.0,0.8,1.0,5.0,0.9,0.9,1.0,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,W,0.0,,,0.0,,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,W,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,W,300.0,0.95,1.0,2.0,1.0,0.95,1.0,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,M,0.0,0.7,0.9,5.0,0.8,0.65,0.65,1.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,M,150.0,0.65,0.9,6.0,0.8,0.6,0.65,2.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,M,300.0,0.6,0.9,7.0,0.75,0.55,0.65,3.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,W,0.0,0.7,0.85,4.0,0.75,0.7,0.75,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,W,150.0,0.7,0.85,4.0,0.75,0.65,0.75,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,W,300.0,0.65,0.85,5.0,0.75,0.6,0.75,4.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,M,0.0,0.45,0.8,8.0,0.6000000000000001,0.5,0.55,2.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,M,150.0,0.4,0.8,9.0,0.6000000000000001,0.5,0.55,2.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,M,300.0,0.35,0.8,10.0,0.55,0.45,0.55,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,W,0.0,0.55,0.75,5.0,0.65,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,W,150.0,0.5,0.75,6.0,0.6000000000000001,0.55,0.6,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,W,300.0,0.45,0.75,7.0,0.6000000000000001,0.5,0.6,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,M,0.0,0.4,0.6,5.0,0.5,0.45,0.5,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,M,150.0,0.35,0.6,6.0,0.45,0.4,0.5,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,M,300.0,0.35,0.65,7.0,0.5,0.35,0.5,4.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,W,0.0,0.45,0.6,4.0,0.5,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,W,150.0,0.4,0.65,6.0,0.5,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,W,300.0,0.35,0.65,7.0,0.5,0.45,0.5,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,M,0.0,0.45,0.8,8.0,0.6000000000000001,0.5,0.55,2.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,M,150.0,0.4,0.8,9.0,0.6000000000000001,0.45,0.55,3.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,M,300.0,0.35,0.8,10.0,0.55,0.45,0.55,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,W,0.0,0.55,0.75,5.0,0.65,,,0.0,False,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,W,150.0,0.5,0.75,6.0,0.6000000000000001,0.55,0.6,2.0,True,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,W,300.0,0.45,0.75,7.0,0.6000000000000001,0.5,0.6,3.0,True,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,M,0.0,,,0.0,,,,0.0,False,,,,,,,,,,,,,,,,,,,
