panel,gate,value,ok
U56,G1 runner==engine.backtest at tol=0 (returns),0.0,True
U56,G2 runner==engine.backtest at tol=0 (turnover),0.0,True
U56,G3 tol=99 trades once only (sum turnover),0.0,True
U56,G4 cost axis is an identity (25bps vs derived),3.469446951953614e-18,True
U56,G5 never levered (max gross of target),0.7366071428571428,True
U56,"G6 KEEPEXIT != LAZY-ALL at same (c,tol)",0.0035558383261190298,True
U56,G7 sample years,17.650793650793652,True
U56,G8 names priced,56.0,True
B136,G1 runner==engine.backtest at tol=0 (returns),0.0,True
B136,G2 runner==engine.backtest at tol=0 (turnover),0.0,True
B136,G3 tol=99 trades once only (sum turnover),0.0,True
B136,G4 cost axis is an identity (25bps vs derived),1.734723475976807e-18,True
B136,G5 never levered (max gross of target),0.713709677419355,True
B136,"G6 KEEPEXIT != LAZY-ALL at same (c,tol)",0.0026228332494447892,True
B136,G7 sample years,17.650793650793652,True
B136,G8 names priced,136.0,True
