panel,arm,conv,f,cad,which,be,n_ok,contiguous,holes,censored
u56,S3,g1.00,0.0,W,4b,,0,,,False
u56,S3,g1.00,0.0,M,4b,,0,,,False
u56,S3,g1.00,0.0,D,4b,,0,,,False
u56,S3,g1.00,0.25,W,4b,25.5,52,True,0.0,False
u56,S3,g1.00,0.25,M,4b,30.0,61,True,0.0,True
u56,S3,g1.00,0.25,D,4b,10.5,22,True,0.0,False
u56,S3,g1.00,0.5,W,4b,16.0,33,True,0.0,False
u56,S3,g1.00,0.5,M,4b,30.0,61,True,0.0,True
u56,S3,g1.00,0.5,D,4b,6.5,14,True,0.0,False
u56,S3,g1.00,0.75,W,4b,,0,,,False
u56,S3,g1.00,0.75,M,4b,,0,,,False
u56,S3,g1.00,0.75,D,4b,,0,,,False
u56,S3,g1.00,1.0,W,4b,,0,,,False
u56,S3,g1.00,1.0,M,4b,,0,,,False
u56,S3,g1.00,1.0,D,4b,,0,,,False
u56,S3,natural,0.0,W,4b,24.5,50,True,0.0,False
u56,S3,natural,0.0,M,4b,30.0,61,True,0.0,True
u56,S3,natural,0.0,D,4b,9.0,19,True,0.0,False
u56,S3,natural,0.25,W,4b,5.0,11,True,0.0,False
u56,S3,natural,0.25,M,4b,30.0,61,True,0.0,True
u56,S3,natural,0.25,D,4b,1.5,4,True,0.0,False
u56,S3,natural,0.5,W,4b,,0,,,False
u56,S3,natural,0.5,M,4b,,0,,,False
u56,S3,natural,0.5,D,4b,,0,,,False
u56,S3,natural,0.75,W,4b,,0,,,False
u56,S3,natural,0.75,M,4b,,0,,,False
u56,S3,natural,0.75,D,4b,,0,,,False
u56,S3,natural,1.0,W,4b,,0,,,False
u56,S3,natural,1.0,M,4b,,0,,,False
u56,S3,natural,1.0,D,4b,,0,,,False
u56,S4,g1.00,0.0,W,4b,,0,,,False
u56,S4,g1.00,0.0,M,4b,,0,,,False
u56,S4,g1.00,0.0,D,4b,,0,,,False
u56,S4,g1.00,0.25,W,4b,23.0,47,True,0.0,False
u56,S4,g1.00,0.25,M,4b,30.0,61,True,0.0,True
u56,S4,g1.00,0.25,D,4b,9.5,20,True,0.0,False
u56,S4,g1.00,0.5,W,4b,17.5,36,True,0.0,False
u56,S4,g1.00,0.5,M,4b,30.0,61,True,0.0,True
u56,S4,g1.00,0.5,D,4b,7.5,16,True,0.0,False
u56,S4,g1.00,0.75,W,4b,,0,,,False
u56,S4,g1.00,0.75,M,4b,,0,,,False
u56,S4,g1.00,0.75,D,4b,,0,,,False
u56,S4,g1.00,1.0,W,4b,,0,,,False
u56,S4,g1.00,1.0,M,4b,,0,,,False
u56,S4,g1.00,1.0,D,4b,,0,,,False
u56,S4,natural,0.0,W,4b,24.5,50,True,0.0,False
u56,S4,natural,0.0,M,4b,30.0,61,True,0.0,True
u56,S4,natural,0.0,D,4b,9.0,19,True,0.0,False
u56,S4,natural,0.25,W,4b,5.0,11,True,0.0,False
u56,S4,natural,0.25,M,4b,30.0,61,True,0.0,True
