gate,value,target,pass_
G3-U56,0.000e+00,"b=1.0 E+R == H0 control, < 1e-15",True
G2-U56,2.220e-16,|sum(w) - gross| < 1e-12,True
G8-U56,"0.1514 (1366: 0.1448, dev 0.0066)","1366's H=126 failing-share, |dev| < 0.02",True
G1,CAGR 0.1580 Sharpe 1.1537 MaxDD -0.1913 |dSharpe| 3.72e-05,"1350 anchor, |dSharpe| < 0.005",True
G7,0.000e+00,determinism < 1e-15,True
G3-B136,0.000e+00,"b=1.0 E+R == H0 control, < 1e-15",True
G2-B136,2.220e-16,|sum(w) - gross| < 1e-12,True
G8-B136,"0.1520 (1366: 0.1557, dev 0.0037)","1366's H=126 failing-share, |dev| < 0.02",True
G3-SMALL,0.000e+00,"b=1.0 E+R == H0 control, < 1e-15",True
G2-SMALL,1.110e-16,|sum(w) - gross| < 1e-12,True
G8-SMALL,"0.3009 (1366: 0.3061, dev 0.0052)","1366's H=126 failing-share, |dev| < 0.02",True
G4,42 rows (36 buffer + 6 control),42 published,True
G5,"b, panel",exactly 2 tuned parameters (MODE is a published control),True
G6,2017-01-01,chooser reads only rows < 2017-01-01,True
