stat,tau,chosen,n_gated,OOS_Sharpe,d_vs_donothing,t,wins,losses
mean,0.0,False,63,0.9410154301449227,-0.020592208096449065,-1.4337283678010517,22,37
mean,0.001962,False,56,0.9411130463643526,-0.02049459187701927,-1.4267132881862523,22,30
mean,0.030993,False,50,0.9443700246842249,-0.01723761355714681,-1.213545766069121,22,26
mean,0.041622,True,45,0.9423999061490264,-0.01920773209234532,-1.3748007293234423,20,24
mean,0.048033,False,44,0.9423999061490264,-0.01920773209234532,-1.3748007293234423,20,24
mean,0.074629,False,38,0.9497110999617079,-0.01189653827966392,-0.9333011262362323,18,20
mean,0.092552,False,31,0.9511657022354899,-0.010441936005881928,-1.050905471081586,15,16
mean,0.109854,False,25,0.9528837800780333,-0.00872385816333856,-1.0003169132932606,11,14
mean,0.123907,False,19,0.9521985654764819,-0.009409072764890008,-1.1668713002835303,8,11
mean,0.144234,False,13,0.9577537190923723,-0.003853919148999625,-0.646356846996019,5,8
mean,0.194237,False,7,0.9636167444322068,0.002009106190834804,0.4538321536755392,4,3
ctl,0.0,False,59,0.9410154301449227,-0.020592208096449065,-1.4337283678010517,22,37
ctl,0.000739,False,56,0.9410481454520739,-0.02055949278929775,-1.4313765450301554,22,34
ctl,0.001351,False,50,0.9419570307425414,-0.019650607498830432,-1.368473646214919,22,28
ctl,0.028366,False,44,0.9515385549042645,-0.010069083337107187,-0.7631060711756967,22,22
ctl,0.041622,False,38,0.9531769389223961,-0.008430699318975592,-0.649800833220187,19,19
ctl,0.043018,False,38,0.9531769389223961,-0.008430699318975592,-0.649800833220187,19,19
ctl,0.054658,False,31,0.9539841301838403,-0.007623508057531461,-0.6113778541002897,17,14
ctl,0.067954,False,25,0.9547333246300098,-0.0068743136113621605,-0.6468949934923341,15,10
ctl,0.08715,False,19,0.9623479461242962,0.0007403078829242223,0.08005432021113444,14,5
ctl,0.137331,False,13,0.9650927530856309,0.0034851148442589888,0.44687201168810825,10,3
ctl,0.179236,False,7,0.9580796783134379,-0.00352795992793419,-0.49398816259831085,4,3
