file,col,n,n_pass,n_defined,defined_on_fail,cond4b,outcome_set
2026-09-04_52w-high-proximity_C.grid.csv,point,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,kind,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,signal,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,n,28,3,24,22,False,
2026-09-04_52w-high-proximity_C.grid.csv,CAGR,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,Vol,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,Sharpe,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,MaxDD,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,H1,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,H2,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,IS_Sharpe,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,IS_MaxDD,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,OOS_CAGR,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,OOS_Sharpe,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,OOS_MaxDD,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,turn,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,flips,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,gross,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,p4a,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,f4b,28,3,28,25,False,
2026-09-04_52w-high-proximity_C.grid.csv,universe,28,3,28,25,False,
2026-09-04_crypto-sleeve_C.grid.csv,point,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,book,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,fund,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,gate,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,cap,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,CAGR,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,Vol,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,Sharpe,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,MaxDD,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,H1,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,H2,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,OOS_CAGR,78,19,78,59,False,
2026-09-04_crypto-sleeve_C.grid.csv,OOS_Sharpe,78,19,78,59,False,
