band,floor_def,file,label,kind,row,m,real,lo,med,hi,width,excess,inside,pub_verdict,dispersion,floor,applicable,unreadable,below_floor
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,0,28,0.2142857142857142,0.4474789915966386,0.6666666666666666,0.8669632925472747,0.41948430095063605,-0.45238095238095244,False,BELOW,1.3050622696242011,3.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,1,28,0.2142857142857142,0.4684873949579832,0.6666666666666666,0.8523627075351213,0.38387531257713814,-0.45238095238095244,False,BELOW,1.1942787502399854,3.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,2,28,0.2142857142857142,0.434472049689441,0.6666666666666666,0.834259259259259,0.39978720956981806,-0.45238095238095244,False,BELOW,1.2437824297727673,3.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,3,28,0.2142857142857142,0.434472049689441,0.6521739130434783,0.8214285714285714,0.3869565217391304,-0.4378881987577641,False,BELOW,1.3543478260869566,3.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,4,28,0.1785714285714285,0.3071428571428571,0.5119047619047619,0.7518709677419354,0.4447281105990783,-0.33333333333333337,False,BELOW,1.3835985663082435,5.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,5,28,0.1785714285714285,0.2913690476190476,0.5358974358974359,0.7199092741935483,0.42854022657450075,-0.3573260073260074,False,BELOW,1.4998907930107523,4.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,6,28,0.1785714285714285,0.2913690476190476,0.5358974358974359,0.7250278086763067,0.4336587610572591,-0.3573260073260074,False,BELOW,1.5178056637004067,4.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,7,28,0.1785714285714285,0.3038363171355499,0.5217391304347826,0.7188125,0.41497618286445004,-0.3431677018633541,False,BELOW,1.2910370133560667,4.0,True,False,False
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,8,28,0.0,0.0,0.0,0.0608455882352941,0.0608455882352941,0.0,True,INSIDE,1.0,,True,True,True
5-95,FEAS,2026-09-11_does-the-DRAWDOWN-vs-RETURN-survival-gap-hold-against-a-PER-FAMILY-null_C.bands.csv,714/share,SHARE,9,28,0.0,0.0,0.0,0.0627083333333333,0.0627083333333333,0.0,True,INSIDE,1.0,,True,True,True
