# 2026-09-15_is-the-CAGR-FLOOR-as-CONVENTION-SENSITIVE-as-the-DD-CAP-once-CENTRED_cloud
# pandas 3.0.5 numpy 2.4.6
# idea 879, cloud lane, idea 2 of 2.  PROTOCOL: 10 bps, next-day, no shorting/leverage.
# tuned params: margin band [0.5, 1.0, 2.0] pp x offset grid ['MONTHLY', 'WEEKLY']; costs [10.0, 25.0] and lags [1, 2] always reported.
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
PANEL U56: 56 names x 4704 days, 2008-01-02..2026-09-14  window 2009-01-13..  SPY CAGR 15.13% MaxDD -33.72%  -> 4b bars: CAGR floor 10.59%, DD cap -20.23%
PANEL B136: 136 names x 4703 days, 2008-01-02..2026-09-11  window 2009-01-13..  SPY CAGR 15.16% MaxDD -33.72%  -> 4b bars: CAGR floor 10.61%, DD cap -20.23%
SURVIVORSHIP: both panels are current-constituent lists; LEVELS are optimistic. The reported quantity is a within-book margin against its own calendar spread.

G1 engine   max|fast_run - engine.backtest| = 2.082e-17   bar 1e-9   PASS

====================================================================================================
STAGE A  SWEEP GROSS AND FIND WHERE EACH BOOK FORM CROSSES THE 4b CAGR FLOOR
====================================================================================================
ladder: 130 books (2 panels x 5 forms x 13 grosses)   (30s)

every ladder point (CAGR and DD margins in pp; m_CAGR > 0 clears the floor):
panel   form  gross  realised_gross   CAGR  Sharpe   MaxDD  m_CAGR     m_DD   m_H1   m_H2  m_OOS
  U56   MADG 0.3000          0.2142 0.0351  1.2030 -0.0489 -7.0780  15.3406 0.2905 0.3372 0.3885
  U56   MADG 0.4000          0.2854 0.0470  1.2038 -0.0647 -5.8954  13.7588 0.2914 0.3378 0.3891
  U56   MADG 0.5000          0.3565 0.0588  1.2046 -0.0803 -4.7072  12.2003 0.2923 0.3385 0.3898
  U56   MADG 0.6000          0.4276 0.0708  1.2053 -0.0957 -3.5136  10.6648 0.2931 0.3391 0.3904
  U56   MADG 0.7000          0.4986 0.0828  1.2060 -0.1108 -2.3146   9.1518 0.2940 0.3397 0.3910
  U56   MADG 0.8000          0.5695 0.0948  1.2067 -0.1257 -1.1103   7.6611 0.2948 0.3402 0.3915
  U56   MADG 0.9000          0.6403 0.1069  1.2074 -0.1404  0.0990   6.1922 0.2956 0.3408 0.3921
  U56   MADG 1.0000          0.7110 0.1190  1.2081 -0.1549  1.3133   4.7449 0.2964 0.3414 0.3927
  U56   MADG 1.1000          0.7817 0.1312  1.2087 -0.1691  2.5324   3.3186 0.2971 0.3419 0.3932
  U56   MADG 1.2000          0.8523 0.1435  1.2094 -0.1832  3.7562   1.9131 0.2979 0.3425 0.3937
  U56   MADG 1.3000          0.9228 0.1558  1.2100 -0.1970  4.9846   0.5281 0.2986 0.3430 0.3942
  U56   MADG 1.4000          0.9932 0.1681  1.2106 -0.2107  6.2173  -0.8367 0.2993 0.3435 0.3947
  U56   MADG 1.5000          1.0636 0.1805  1.2113 -0.2241  7.4543  -2.1818 0.3000 0.3440 0.3952
  U56  TOP20 0.3000          0.2884 0.0578  1.1971 -0.0824 -4.8121  11.9901 0.2508 0.3704 0.4041
  U56  TOP20 0.4000          0.3842 0.0774  1.1983 -0.1085 -2.8562   9.3773 0.2522 0.3713 0.4051
  U56  TOP20 0.5000          0.4798 0.0971  1.1995 -0.1340 -0.8862   6.8283 0.2537 0.3723 0.4060
  U56  TOP20 0.6000          0.5753 0.1169  1.2007 -0.1589  1.0974   4.3414 0.2551 0.3732 0.4070
  U56  TOP20 0.7000          0.6706 0.1369  1.2018 -0.1832  3.0941   1.9147 0.2564 0.3740 0.4079
  U56  TOP20 0.8000          0.7657 0.1569  1.2029 -0.2068  5.1033  -0.4533 0.2578 0.3749 0.4087
  U56  TOP20 0.9000          0.8607 0.1772  1.2040 -0.2299  7.1245  -2.7642 0.2591 0.3757 0.4096
  U56  TOP20 1.0000          0.9555 0.1975  1.2050 -0.2525  9.1570  -5.0195 0.2604 0.3766 0.4104
  U56  TOP20 1.1000          1.0502 0.2179  1.2060 -0.2745 11.2003  -7.2209 0.2617 0.3773 0.4112
