src,unit,cset,token,q,d_quoted,K,n_bars,bar,step_pp,d_res,extra,load_bearing
LEADERBOARD.md,40,C_STRICT,1.2,1.2,1,500.0,0,,0.1996007984031936,1.0,0.0,
LEADERBOARD.md,41,C_STRICT,76.4,76.4,1,6.0,1,10.46,14.285714285714286,-1.0,2.0,0.0
LEADERBOARD.md,43,C_STRICT,99.6,99.6,1,,0,,,,,
LEADERBOARD.md,44,C_STRICT,1.2,1.2,1,,1,12.73,,,,
LEADERBOARD.md,56,C_STRICT,4,4.0,0,47.0,0,,2.0833333333333335,-0.0,0.0,
LEADERBOARD.md,120,C_STRICT,00,0.0,0,,1,0.02,,,,
LEADERBOARD.md,123,C_STRICT,09,9.0,0,,1,0.975,,,,
LEADERBOARD.md,127,C_STRICT,45.8,45.8,1,44.0,0,,2.2222222222222223,-0.0,1.0,
LEADERBOARD.md,1946,C_STRICT,0.86,0.86,2,2.0,0,,33.333333333333336,-1.0,3.0,
LEADERBOARD.md,2039,C_STRICT,0.25,0.25,2,20.0,0,,4.761904761904762,-0.0,2.0,
LEADERBOARD.md,2166,C_STRICT,0.944,0.944,3,,0,,,,,
LEADERBOARD.md,2287,C_STRICT,54.5,54.5,1,200.0,0,,0.4975124378109453,1.0,0.0,
LEADERBOARD.md,2288,C_STRICT,54.5,54.5,1,25.0,4,25.0,3.8461538461538463,-0.0,1.0,0.0
LEADERBOARD.md,2289,C_STRICT,35,35.0,0,,1,25.0,,,,
LEADERBOARD.md,2304,C_STRICT,11,11.0,0,,0,,,,,
LEADERBOARD.md,2450,C_STRICT,70.5,70.5,1,200.0,0,,0.4975124378109453,1.0,0.0,
LEADERBOARD.md,2669,C_STRICT,3,3.0,0,24.0,0,,4.0,-0.0,0.0,
LEADERBOARD.md,2675,C_STRICT,100,100.0,0,200.0,0,,0.4975124378109453,1.0,0.0,
LEADERBOARD.md,2677,C_STRICT,100,100.0,0,,0,,,,,
LEADERBOARD.md,2678,C_STRICT,99,99.0,0,,1,1.0,,,,
LEADERBOARD.md,2724,C_STRICT,45,45.0,0,,0,,,,,
LEADERBOARD.md,2778,C_STRICT,100,100.0,0,,0,,,,,
LEADERBOARD.md,2779,C_STRICT,1.0,1.0,1,,1,4.0,,,,
LEADERBOARD.md,2954,C_STRICT,58,58.0,0,100.0,0,,0.9900990099009901,1.0,0.0,
LEADERBOARD.md,2974,C_STRICT,06,6.0,0,,2,0.14,,,,
LEADERBOARD.md,2976,C_STRICT,0.999,0.999,3,162.0,1,0.2708,0.6134969325153374,1.0,2.0,0.0
