panel,rank,label,peak,trough,rec,days,depth
U56,1,E1_2020-03-23,2020-02-19,2020-03-23,2020-08-10,23,-0.33717289200673783
U56,2,E2_2022-10-12,2022-01-03,2022-10-12,2023-12-13,195,-0.24496397555877558
U56,3,E3_2018-12-24,2018-09-20,2018-12-24,2019-04-12,65,-0.1934891526272724
U56,4,E4_2025-04-08,2025-02-19,2025-04-08,2025-06-26,34,-0.18755228269936985
U56,5,E5_2018-02-08,2018-01-26,2018-02-08,2018-08-06,9,-0.1010184439188091
U56,6,E6_2020-09-23,2020-09-02,2020-09-23,2020-11-11,14,-0.0944039799533044
U56,7,E7_2026-03-30,2026-01-27,2026-03-30,2026-04-14,43,-0.08884966829933205
U56,8,E8_2024-08-05,2024-07-16,2024-08-05,2024-09-19,14,-0.08405625908508785
U56,9,E9_2019-06-03,2019-05-03,2019-06-03,2019-06-20,20,-0.06618335618289384
U56,10,E10_2019-08-05,2019-07-26,2019-08-05,2019-10-25,6,-0.06022954227234811
U56,11,E11_2024-04-19,2024-03-27,2024-04-19,2024-05-14,16,-0.053538902576361846
U56,12,E12_2021-10-04,2021-09-02,2021-10-04,2021-10-20,21,-0.0511413470366906
U56,13,E13_2025-11-20,2025-10-29,2025-11-20,2025-12-10,16,-0.0507136205065285
U56,14,E14_2026-06-10,2026-06-02,2026-06-10,2026-08-03,6,-0.044946517916280126
U56,15,E15_2025-01-10,2024-12-06,2025-01-10,2025-01-22,22,-0.041733786676741325
U56,16,E16_2021-12-01,2021-11-18,2021-12-01,2021-12-10,8,-0.040938345337494964
U56,17,E17_2021-03-04,2021-02-12,2021-03-04,2021-03-11,13,-0.04059683594334984
U56,18,E18_2021-05-12,2021-05-07,2021-05-12,2021-06-04,3,-0.039586023591711705
U56,19,E19_2021-01-29,2021-01-25,2021-01-29,2021-02-04,4,-0.03725350713783204
U56,20,E20_2020-01-31,2020-01-17,2020-01-31,2020-02-05,9,-0.030787682415291395
U56,21,E21_2026-09-16,2026-08-13,2026-09-16,2026-09-18,23,-0.03063454517406272
U56,22,E22_2021-12-20,2021-12-10,2021-12-20,2021-12-23,6,-0.030083538448711367
U56,23,E23_2025-10-10,2025-10-08,2025-10-10,2025-10-24,2,-0.029846645911077108
U56,24,E24_2021-07-19,2021-07-12,2021-07-19,2021-07-23,5,-0.02770665180936338
U56,25,E25_2024-10-31,2024-10-18,2024-10-31,2024-11-06,9,-0.02728402380912498
U56,26,E26_2017-04-13,2017-03-01,2017-04-13,2017-05-02,31,-0.026101097683464802
U56,27,E27_2025-12-17,2025-12-11,2025-12-17,2025-12-23,4,-0.025784801420555503
U56,28,E28_2026-01-20,2026-01-12,2026-01-20,2026-01-27,5,-0.02528904450883407
