# Idea 1093 (lane C, 2026-09-17) — is the B136 H=63 MONOTONE LADDER a GENUINE SLOPE or the
# MIDDLE RUNG of a NON-MONOTONE H DIAL?
# 2 tuned dials: N [5, 8, 10, 12, 15, 20, 25, 30, 40] x H [21, 42, 52, 63, 76, 90, 126].  ALL 63 cells per panel reported (126 total).
# FROZEN (not dials): SEEDS 40, cap INF, CAND20 legs [(21, 252), (0, 126), (0, 63)], max_vol 0.6, gross 0.75, cost 10 bps, LAG 1, cadence W.
# DECLARED BEFORE ANY NUMBER:
#   (a) HOLD FACT (genuine slope) = H_NEIGHBOUR PASS (both 52 and 76 monotone on B136)
#       AND H_LUCK PASS (bootstrap P(monotone at B136 H=63) >= 0.50).
#   (b) SINGLE-RUNG ACCIDENT = either fails, and the two failures are reported apart: a
#       rough H axis (neighbours hump) is not the same as an unresolvable ladder.
#   (c) NAMED IN ADVANCE: >= 6 of 7 rungs monotone would make 1086's 'H=63 alone' an
#       artefact of its 3-point H ladder and the queue's framing itself wrong.
#   (d) EDGE IS NOT A KEEP PATH.  4a and 4b scored at all 126 cells; rule 8 picks (n, H)
#       on 2009-2016 alone and reads 2017-2026 ONCE.
# The null draws stay PAIRED across H (1082's seed recipe carries no H term), so the
# H=21/63/126 columns are bit-identical to 1086's — gates G5 and G5c.

## B136: 136 columns, 4703 days 2008-01-02..2026-09-11, 976 rebalance dates
   SPY        full 15.16% / 0.8861 / -33.72%  halves 0.9596/0.8259  OOS 15.33% / 0.8767 / -33.72%
   RULES v2   full 7.98% / 1.0993 / -12.24%  halves 1.2348/0.9658  OOS 7.88% / 1.1059 / -12.24%
   N=12 H=126 done  book 17.60% / 1.0539 / -21.17%  turn 3.33x  EDGE +6.520 pp  (63s)
   N=15 H= 21 done  book 15.70% / 0.9829 / -28.15%  turn 8.48x  EDGE +3.072 pp  (65s)
   N=15 H= 42 done  book 17.43% / 1.0625 / -25.28%  turn 6.05x  EDGE +4.692 pp  (68s)
   N=15 H= 52 done  book 17.02% / 1.0305 / -26.73%  turn 5.22x  EDGE +4.219 pp  (70s)
   N=15 H= 63 done  book 17.83% / 1.0850 / -27.67%  turn 4.76x  EDGE +4.473 pp  (73s)
   N=15 H= 76 done  book 17.11% / 1.0366 / -26.69%  turn 4.07x  EDGE +3.944 pp  (75s)
   N=15 H= 90 done  book 16.10% / 0.9650 / -27.67%  turn 3.65x  EDGE +2.651 pp  (78s)
   N=15 H=126 done  book 16.78% / 1.0682 / -19.66%  turn 3.28x  EDGE +6.834 pp  (81s)
   N=20 H= 21 done  book 16.27% / 1.0848 / -25.69%  turn 7.80x  EDGE +4.398 pp  (84s)
   N=20 H= 42 done  book 16.29% / 1.0425 / -25.34%  turn 5.86x  EDGE +4.022 pp  (86s)
   N=20 H= 52 done  book 15.48% / 0.9967 / -26.84%  turn 5.19x  EDGE +2.269 pp  (89s)
   N=20 H= 63 done  book 16.95% / 1.0823 / -28.69%  turn 4.68x  EDGE +3.352 pp  (91s)
   N=20 H= 76 done  book 16.36% / 1.0410 / -27.59%  turn 4.20x  EDGE +3.241 pp  (93s)
   N=20 H= 90 done  book 15.96% / 0.9909 / -27.88%  turn 3.74x  EDGE +2.512 pp  (95s)
   N=20 H=126 done  book 16.04% / 1.0634 / -20.74%  turn 3.25x  EDGE +4.932 pp  (98s)
   N=25 H= 21 done  book 14.91% / 1.0478 / -24.36%  turn 7.25x  EDGE +3.370 pp  (101s)
   N=25 H= 42 done  book 14.89% / 1.0106 / -25.39%  turn 5.63x  EDGE +2.130 pp  (103s)
   N=25 H= 52 done  book 14.98% / 1.0084 / -27.25%  turn 5.19x  EDGE +1.572 pp  (106s)
   N=25 H= 63 done  book 15.73% / 1.0517 / -29.24%  turn 4.69x  EDGE +2.133 pp  (108s)
   N=25 H= 76 done  book 16.61% / 1.0931 / -28.21%  turn 4.22x  EDGE +3.220 pp  (110s)
   N=25 H= 90 done  book 15.94% / 1.0263 / -28.13%  turn 3.82x  EDGE +2.325 pp  (113s)
   N=25 H=126 done  book 16.37% / 1.0968 / -21.61%  turn 3.22x  EDGE +4.269 pp  (116s)
   N=30 H= 21 done  book 14.18% / 1.0340 / -25.17%  turn 7.02x  EDGE +1.594 pp  (120s)
   N=30 H= 42 done  book 14.23% / 0.9967 / -26.89%  turn 5.38x  EDGE +1.059 pp  (122s)
   N=30 H= 52 done  book 15.05% / 1.0565 / -23.86%  turn 4.93x  EDGE +2.466 pp  (125s)
   N=30 H= 63 done  book 14.99% / 1.0421 / -28.04%  turn 4.48x  EDGE +1.439 pp  (127s)
   N=30 H= 76 done  book 15.58% / 1.0603 / -28.07%  turn 4.10x  EDGE +1.983 pp  (129s)
   N=30 H= 90 done  book 15.51% / 1.0432 / -26.53%  turn 3.65x  EDGE +2.183 pp  (132s)
   N=30 H=126 done  book 16.01% / 1.0981 / -24.35%  turn 3.15x  EDGE +2.811 pp  (134s)
   N=40 H= 21 done  book 13.51% / 1.0321 / -25.63%  turn 6.52x  EDGE +0.799 pp  (138s)
   N=40 H= 42 done  book 13.66% / 1.0085 / -26.28%  turn 5.05x  EDGE +0.707 pp  (141s)
   N=40 H= 52 done  book 14.05% / 1.0408 / -24.82%  turn 4.72x  EDGE +0.981 pp  (144s)
   N=40 H= 63 done  book 14.14% / 1.0319 / -28.28%  turn 4.21x  EDGE +0.398 pp  (146s)
   N=40 H= 76 done  book 14.47% / 1.0474 / -26.06%  turn 3.90x  EDGE +0.843 pp  (149s)
   N=40 H= 90 done  book 14.89% / 1.0551 / -27.55%  turn 3.60x  EDGE +1.218 pp  (151s)
   N=40 H=126 done  book 15.31% / 1.0884 / -25.38%  turn 3.07x  EDGE +1.853 pp  (155s)
## U56: 56 columns, 4706 days 2008-01-02..2026-09-16, 977 rebalance dates
   SPY        full 15.06% / 0.8814 / -33.72%  halves 0.9598/0.8170  OOS 15.15% / 0.8684 / -33.72%
   RULES v2   full 8.60% / 1.1980 / -12.05%  halves 1.2329/1.1702  OOS 9.42% / 1.2714 / -12.05%
   N= 5 H= 21 done  book 16.53% / 0.9131 / -25.45%  turn 8.05x  EDGE +5.930 pp  (157s)
   N= 5 H= 42 done  book 19.91% / 1.0424 / -24.47%  turn 5.63x  EDGE +8.982 pp  (158s)
   N= 5 H= 52 done  book 18.31% / 0.9749 / -24.47%  turn 5.19x  EDGE +6.780 pp  (159s)
   N= 5 H= 63 done  book 18.98% / 1.0083 / -26.26%  turn 4.69x  EDGE +6.599 pp  (160s)
   N= 5 H= 76 done  book 19.59% / 1.0214 / -28.45%  turn 4.01x  EDGE +7.548 pp  (161s)
   N= 5 H= 90 done  book 18.42% / 0.9539 / -26.26%  turn 3.67x  EDGE +7.044 pp  (162s)
   N= 5 H=126 done  book 17.79% / 0.9845 / -25.85%  turn 3.13x  EDGE +5.955 pp  (163s)
   N= 8 H= 21 done  book 15.81% / 0.9852 / -23.46%  turn 7.40x  EDGE +6.163 pp  (164s)
   N= 8 H= 42 done  book 17.69% / 1.0676 / -22.12%  turn 5.45x  EDGE +7.545 pp  (166s)
   N= 8 H= 52 done  book 16.61% / 1.0022 / -22.30%  turn 4.67x  EDGE +6.463 pp  (167s)
   N= 8 H= 63 done  book 20.26% / 1.1845 / -25.81%  turn 4.28x  EDGE +8.029 pp  (168s)
   N= 8 H= 76 done  book 17.38% / 1.0376 / -26.65%  turn 3.83x  EDGE +4.973 pp  (169s)
   N= 8 H= 90 done  book 17.04% / 0.9912 / -25.81%  turn 3.39x  EDGE +5.153 pp  (170s)
   N= 8 H=126 done  book 16.77% / 1.0507 / -21.43%  turn 3.05x  EDGE +5.295 pp  (171s)
   N=10 H= 21 done  book 16.51% / 1.0878 / -20.12%  turn 7.74x  EDGE +7.319 pp  (173s)
   N=10 H= 42 done  book 16.25% / 1.0328 / -20.87%  turn 5.48x  EDGE +5.573 pp  (174s)
   N=10 H= 52 done  book 16.59% / 1.0522 / -21.45%  turn 4.94x  EDGE +5.534 pp  (176s)
   N=10 H= 63 done  book 19.17% / 1.1691 / -27.69%  turn 4.35x  EDGE +6.777 pp  (177s)
   N=10 H= 76 done  book 17.28% / 1.0735 / -26.99%  turn 3.94x  EDGE +4.327 pp  (178s)
   N=10 H= 90 done  book 19.54% / 1.1411 / -26.36%  turn 3.59x  EDGE +6.656 pp  (178s)
   N=10 H=126 done  book 17.06% / 1.1092 / -20.77%  turn 3.03x  EDGE +6.164 pp  (180s)
   N=12 H= 21 done  book 16.76% / 1.1603 / -19.48%  turn 7.19x  EDGE +7.650 pp  (181s)
   N=12 H= 42 done  book 15.64% / 1.0431 / -22.83%  turn 5.39x  EDGE +3.624 pp  (183s)
   N=12 H= 52 done  book 16.60% / 1.0913 / -24.97%  turn 4.95x  EDGE +4.216 pp  (184s)
   N=12 H= 63 done  book 17.65% / 1.1391 / -26.94%  turn 4.37x  EDGE +5.362 pp  (185s)
   N=12 H= 76 done  book 16.42% / 1.0583 / -28.10%  turn 4.04x  EDGE +4.001 pp  (187s)
   N=12 H= 90 done  book 18.33% / 1.1348 / -25.21%  turn 3.62x  EDGE +5.759 pp  (188s)
   N=12 H=126 done  book 17.65% / 1.1658 / -20.17%  turn 3.04x  EDGE +6.784 pp  (189s)
   N=15 H= 21 done  book 15.08% / 1.1027 / -19.68%  turn 6.61x  EDGE +5.232 pp  (191s)
   N=15 H= 42 done  book 14.99% / 1.0579 / -23.12%  turn 5.01x  EDGE +2.953 pp  (192s)
   N=15 H= 52 done  book 15.11% / 1.0535 / -24.55%  turn 4.85x  EDGE +2.368 pp  (193s)
   N=15 H= 63 done  book 16.85% / 1.1515 / -25.98%  turn 4.18x  EDGE +4.616 pp  (195s)
   N=15 H= 76 done  book 16.24% / 1.0946 / -26.26%  turn 3.88x  EDGE +3.706 pp  (195s)
   N=15 H= 90 done  book 18.05% / 1.1889 / -24.88%  turn 3.53x  EDGE +5.231 pp  (196s)
   N=15 H=126 done  book 16.96% / 1.1600 / -20.97%  turn 3.02x  EDGE +5.209 pp  (197s)
   N=20 H= 21 done  book 14.31% / 1.1123 / -20.24%  turn 6.14x  EDGE +3.892 pp  (199s)
   N=20 H= 42 done  book 14.11% / 1.0650 / -22.82%  turn 4.67x  EDGE +2.052 pp  (200s)
   N=20 H= 52 done  book 15.24% / 1.1372 / -21.34%  turn 4.42x  EDGE +3.346 pp  (202s)
   N=20 H= 63 done  book 14.91% / 1.0989 / -25.69%  turn 3.87x  EDGE +2.116 pp  (203s)
   N=20 H= 76 done  book 15.90% / 1.1439 / -24.55%  turn 3.49x  EDGE +3.279 pp  (204s)
   N=20 H= 90 done  book 15.56% / 1.1190 / -23.87%  turn 3.46x  EDGE +2.928 pp  (205s)
   N=20 H=126 done  book 15.55% / 1.1381 / -19.13%  turn 2.90x  EDGE +5.117 pp  (207s)
   N=25 H= 21 done  book 13.21% / 1.0805 / -20.47%  turn 5.80x  EDGE +1.779 pp  (209s)
   N=25 H= 42 done  book 13.92% / 1.1048 / -22.55%  turn 4.52x  EDGE +1.792 pp  (210s)
   N=25 H= 52 done  book 14.20% / 1.1205 / -21.71%  turn 4.12x  EDGE +2.188 pp  (212s)
   N=25 H= 63 done  book 14.60% / 1.1349 / -22.58%  turn 3.68x  EDGE +2.263 pp  (214s)
   N=25 H= 76 done  book 15.33% / 1.1707 / -22.33%  turn 3.37x  EDGE +3.091 pp  (215s)
   N=25 H= 90 done  book 14.72% / 1.1152 / -24.65%  turn 3.19x  EDGE +1.966 pp  (216s)
   N=25 H=126 done  book 14.86% / 1.1265 / -21.16%  turn 2.73x  EDGE +2.949 pp  (218s)
   N=30 H= 21 done  book 12.39% / 1.0649 / -19.76%  turn 5.38x  EDGE +1.734 pp  (219s)
   N=30 H= 42 done  book 13.54% / 1.1288 / -20.69%  turn 4.12x  EDGE +2.080 pp  (221s)
   N=30 H= 52 done  book 13.23% / 1.0839 / -21.69%  turn 3.79x  EDGE +0.879 pp  (222s)
   N=30 H= 63 done  book 14.03% / 1.1377 / -21.78%  turn 3.46x  EDGE +2.066 pp  (224s)
   N=30 H= 76 done  book 14.26% / 1.1410 / -22.08%  turn 3.13x  EDGE +1.873 pp  (225s)
   N=30 H= 90 done  book 14.65% / 1.1551 / -23.58%  turn 3.04x  EDGE +1.780 pp  (226s)
   N=30 H=126 done  book 13.97% / 1.0984 / -22.07%  turn 2.65x  EDGE +1.536 pp  (228s)
   N=40 H= 21 done  book 12.03% / 1.0940 / -19.27%  turn 4.78x  EDGE +1.332 pp  (230s)
   N=40 H= 42 done  book 12.52% / 1.1081 / -20.80%  turn 3.80x  EDGE +0.564 pp  (231s)
   N=40 H= 52 done  book 12.17% / 1.0729 / -20.23%  turn 3.40x  EDGE +0.723 pp  (233s)
   N=40 H= 63 done  book 12.79% / 1.1081 / -22.15%  turn 3.00x  EDGE +0.144 pp  (235s)
   N=40 H= 76 done  book 13.23% / 1.1256 / -22.93%  turn 2.81x  EDGE +0.535 pp  (236s)
   N=40 H= 90 done  book 13.62% / 1.1608 / -21.91%  turn 2.64x  EDGE +1.253 pp  (238s)
   N=40 H=126 done  book 13.43% / 1.1245 / -22.98%  turn 2.31x  EDGE +0.410 pp  (240s)

## GATES (printed before any result number)
   PASS  G1 fast runner == engine.backtest (U56, N=20, H=126, cap INF): |d| = 1.388e-17
   PASS  G1b gross_rescaler(1.0) == nrun (the bisection kernel is the same book): |d| = 1.388e-17
   PASS  G2 CROSS-RUN vs 936/1071/1082/1086's committed W/H126 N=20 triple: |d| = 1.622e-03
   FAIL  G3 CROSS-RUN SPY OOS triple: |d| = 2.894e-03
   PASS  G6 live RULES v2 MaxDD == committed -12.05%: |d| = 4.949e-05
   PASS  G4c |MaxDD| of the REBUILT null is monotone in lambda: |d| = 0.000e+00
   PASS  G7 null draw is deterministic in its seed recipe: |d| = 0.000e+00
   FAIL  G5 CROSS-RUN 1082's committed H=126 EDGE ladder, both panels: |d| = 5.451e-02
   FAIL  G5c CROSS-RUN 1086's committed H=21 and H=63 EDGE ladders, both panels (the premise itself): |d| = 4.073e-02
   PASS  G5b CROSS-RUN 1071/1082's committed U56 N=20 H=126 null median (CASH): |d| = 4.740e-04
   PASS  G8 the finer H dial is LIVE (B136 turnover spread >= 1.0x/yr across the grid): |d| = 6.472e+00

## THE GRID — book at every (N, H), both panels
   --- B136 ---
       N   H  nsel   turn    CAGR    Sharpe   MaxDD      H1/H2        OOS C/S/DD             4b 4a 4bOOS
       5  21   4.7   9.54  20.30%   1.0007  -27.56%  1.173/0.875  20.61%/0.9493/-27.56%   0  0   0
       5  42   4.7   6.64  22.38%   1.0741  -25.87%  1.289/0.922  21.76%/0.9805/-25.87%   0  0   0
       5  52   4.7   5.90  20.19%   0.9637  -27.36%  1.291/0.729  17.92%/0.8138/-27.36%   0  0   0
       5  63   4.7   5.55  23.66%   1.1080  -28.62%  1.448/0.866  20.46%/0.9156/-28.62%   0  0   0
       5  76   4.7   4.76  22.76%   1.0767  -28.45%  1.316/0.910  21.18%/0.9408/-28.45%   0  0   0
       5  90   4.7   4.00  20.03%   0.9571  -28.62%  1.289/0.698  17.34%/0.8027/-28.62%   0  0   0
       5 126   4.7   3.43  18.91%   0.9776  -28.12%  1.307/0.726  15.03%/0.7687/-28.12%   0  0   0
       8  21   7.6   9.09  16.43%   0.9238  -28.24%  1.177/0.735  15.52%/0.8271/-28.24%   0  0   0
       8  42   7.6   6.55  17.60%   0.9589  -27.66%  1.188/0.796  17.36%/0.8833/-27.66%   0  0   0
       8  52   7.6   5.55  17.75%   0.9393  -27.15%  1.267/0.719  16.19%/0.8009/-27.15%   0  0   0
       8  63   7.6   5.21  21.62%   1.1373  -27.50%  1.372/0.979  21.47%/1.0453/-27.50%   0  0   0
       8  76   7.6   4.60  18.81%   1.0090  -27.34%  1.322/0.792  16.49%/0.8370/-27.34%   0  0   0
       8  90   7.6   3.93  17.58%   0.9373  -27.50%  1.228/0.719  15.76%/0.8017/-27.50%   0  0   0
       8 126   7.6   3.38  17.82%   0.9884  -24.54%  1.369/0.707  14.56%/0.7866/-24.54%   0  0   0
      10  21   9.4   8.93  17.26%   0.9997  -25.61%  1.317/0.759  15.23%/0.8461/-25.61%   0  0   0
      10  42   9.5   6.37  18.14%   1.0222  -26.30%  1.289/0.831  17.70%/0.9307/-26.30%   0  0   0
      10  52   9.5   5.46  17.16%   0.9660  -25.76%  1.335/0.711  15.10%/0.8009/-25.76%   0  0   0
      10  63   9.5   5.05  20.76%   1.1466  -28.16%  1.407/0.965  20.74%/1.0616/-28.16%   0  0   0
      10  76   9.5   4.48  17.72%   1.0019  -26.72%  1.288/0.803  15.97%/0.8512/-26.72%   0  0   0
      10  90   9.5   3.87  16.93%   0.9441  -28.16%  1.226/0.736  15.44%/0.8152/-28.16%   0  0   0
      10 126   9.5   3.36  18.09%   1.0437  -20.20%  1.378/0.796  16.01%/0.8855/-20.20%   0  0   1
      12  21  11.3   8.84  16.41%   0.9840  -26.84%  1.256/0.778  15.50%/0.8820/-26.84%   0  0   0
      12  42  11.3   6.27  18.01%   1.0526  -26.82%  1.364/0.824  16.71%/0.9213/-26.82%   0  0   0
      12  52  11.4   5.31  16.85%   0.9868  -26.14%  1.349/0.731  15.36%/0.8452/-26.14%   0  0   0
      12  63  11.3   4.93  19.06%   1.0973  -29.73%  1.397/0.884  18.35%/0.9862/-29.73%   0  0   0
      12  76  11.4   4.29  18.15%   1.0534  -26.20%  1.375/0.830  16.42%/0.8950/-26.20%   0  0   0
      12  90  11.4   3.82  15.78%   0.9174  -29.73%  1.237/0.682  14.23%/0.7840/-29.73%   0  0   0
      12 126  11.3   3.33  17.60%   1.0539  -21.17%  1.326/0.852  16.50%/0.9404/-21.17%   0  0   0
      15  21  14.2   8.48  15.70%   0.9829  -28.15%  1.269/0.761  14.57%/0.8705/-28.15%   0  0   0
      15  42  14.2   6.05  17.43%   1.0625  -25.28%  1.376/0.826  16.47%/0.9495/-25.28%   0  0   0
      15  52  14.2   5.22  17.02%   1.0305  -26.73%  1.320/0.826  16.42%/0.9270/-26.73%   0  0   0
      15  63  14.2   4.76  17.83%   1.0850  -27.67%  1.379/0.862  16.95%/0.9756/-27.67%   0  0   0
      15  76  14.2   4.07  17.11%   1.0366  -26.69%  1.361/0.808  15.83%/0.8999/-26.69%   0  0   0
      15  90  14.2   3.65  16.10%   0.9650  -27.67%  1.222/0.777  15.60%/0.8765/-27.67%   0  0   0
      15 126  14.2   3.28  16.78%   1.0682  -19.66%  1.238/0.943  17.49%/1.0458/-19.66%   1  0   1
      20  21  18.8   7.80  16.27%   1.0848  -25.69%  1.305/0.906  15.55%/0.9966/-25.69%   0  0   0
      20  42  18.9   5.86  16.29%   1.0425  -25.34%  1.279/0.865  16.07%/0.9704/-25.34%   0  0   0
      20  52  18.9   5.19  15.48%   0.9967  -26.84%  1.200/0.849  15.72%/0.9454/-26.84%   0  0   0
      20  63  18.9   4.68  16.95%   1.0823  -28.69%  1.339/0.887  16.49%/0.9960/-28.69%   0  0   0
      20  76  18.9   4.20  16.36%   1.0410  -27.59%  1.368/0.796  14.72%/0.8921/-27.59%   0  0   0
      20  90  18.9   3.74  15.96%   0.9909  -27.88%  1.218/0.827  15.57%/0.9077/-27.88%   0  0   0
      20 126  18.9   3.25  16.04%   1.0634  -20.74%  1.290/0.884  16.02%/1.0100/-20.74%   0  0   0
      25  21  23.5   7.25  14.91%   1.0478  -24.36%  1.275/0.861  14.24%/0.9656/-24.36%   0  0   0
      25  42  23.5   5.63  14.89%   1.0106  -25.39%  1.235/0.839  14.87%/0.9537/-25.39%   0  0   0
      25  52  23.6   5.19  14.98%   1.0084  -27.25%  1.237/0.837  14.76%/0.9372/-27.25%   0  0   0
      25  63  23.6   4.69  15.73%   1.0517  -29.24%  1.343/0.827  14.87%/0.9470/-29.24%   0  0   0
      25  76  23.6   4.22  16.61%   1.0931  -28.21%  1.373/0.884  15.76%/0.9827/-28.21%   0  0   0
      25  90  23.6   3.82  15.94%   1.0263  -28.13%  1.303/0.822  14.89%/0.9066/-28.13%   0  0   0
      25 126  23.5   3.22  16.37%   1.0968  -21.61%  1.278/0.957  16.73%/1.0623/-21.61%   0  0   0
      30  21  28.1   7.02  14.18%   1.0340  -25.17%  1.221/0.880  13.85%/0.9735/-25.17%   0  0   0
      30  42  28.2   5.38  14.23%   0.9967  -26.89%  1.202/0.839  14.36%/0.9513/-26.89%   0  0   0
      30  52  28.2   4.93  15.05%   1.0565  -23.86%  1.230/0.920  15.26%/1.0184/-23.86%   0  0   0
      30  63  28.2   4.48  14.99%   1.0421  -28.04%  1.253/0.877  14.75%/0.9779/-28.04%   0  0   0
      30  76  28.3   4.10  15.58%   1.0603  -28.07%  1.313/0.875  15.16%/0.9713/-28.07%   0  0   0
      30  90  28.3   3.65  15.51%   1.0432  -26.53%  1.336/0.819  14.16%/0.9106/-26.53%   0  0   0
      30 126  28.2   3.15  16.01%   1.0981  -24.35%  1.273/0.969  16.61%/1.0696/-24.35%   0  0   0
      40  21  37.3   6.52  13.51%   1.0321  -25.63%  1.177/0.914  13.66%/1.0029/-25.63%   0  0   0
      40  42  37.4   5.05  13.66%   1.0085  -26.28%  1.152/0.900  14.05%/0.9818/-26.28%   0  0   0
      40  52  37.4   4.72  14.05%   1.0408  -24.82%  1.243/0.882  13.72%/0.9720/-24.82%   0  0   0
      40  63  37.5   4.21  14.14%   1.0319  -28.28%  1.248/0.865  13.89%/0.9641/-28.28%   0  0   0
      40  76  37.6   3.90  14.47%   1.0474  -26.06%  1.212/0.920  14.93%/1.0255/-26.06%   0  0   0
      40  90  37.6   3.60  14.89%   1.0551  -27.55%  1.253/0.904  14.86%/1.0004/-27.55%   0  0   0
      40 126  37.5   3.07  15.31%   1.0884  -25.38%  1.265/0.957  15.71%/1.0535/-25.38%   0  0   0
      4b full 1/63   4b OOS 2/63   4a 0/63
   --- U56 ---
       N   H  nsel   turn    CAGR    Sharpe   MaxDD      H1/H2        OOS C/S/DD             4b 4a 4bOOS
       5  21   4.7   8.05  16.53%   0.9131  -25.45%  1.104/0.770  15.49%/0.8148/-25.45%   0  0   0
       5  42   4.7   5.63  19.91%   1.0424  -24.47%  1.129/0.993  21.25%/1.0218/-24.47%   0  0   0
       5  52   4.7   5.19  18.31%   0.9749  -24.47%  1.176/0.836  17.80%/0.8866/-24.47%   0  0   0
       5  63   4.7   4.69  18.98%   1.0083  -26.26%  1.219/0.862  17.89%/0.8948/-26.26%   0  0   0
       5  76   4.7   4.01  19.59%   1.0214  -28.45%  1.301/0.844  17.93%/0.8681/-28.45%   0  0   0
       5  90   4.7   3.67  18.42%   0.9539  -26.26%  1.028/0.900  18.27%/0.8983/-26.26%   0  0   0
       5 126   4.7   3.13  17.79%   0.9845  -25.85%  1.194/0.826  17.00%/0.8977/-25.85%   0  0   0
       8  21   7.6   7.40  15.81%   0.9852  -23.46%  1.103/0.903  16.67%/0.9661/-23.46%   0  0   0
       8  42   7.6   5.45  17.69%   1.0676  -22.12%  1.084/1.068  19.92%/1.1026/-22.12%   0  0   0
