
[panel] u56 = universe.json(56): 56 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY full CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    IS-window SPY bars (what the screens see): halves 0.838/1.060 MaxDD -22.06% CAGR 14.96%
[a0] engine-equivalence, 3 ungated books: max|diff| = 0.000e+00 (EXACT)

[panel] broad = universe_broad.json(136): 136 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY full CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    IS-window SPY bars (what the screens see): halves 0.838/1.060 MaxDD -22.06% CAGR 14.96%
[a0] engine-equivalence, 3 ungated books: max|diff| = 0.000e+00 (EXACT)

[panel] small = prices_small(439, SPY held out): 439 cols, 2010-01-04..2026-09-04, eval from 2011-01-13
    SPY full CAGR 14.13% Sharpe 0.862 MaxDD -33.72% halves 0.891/0.858 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    IS-window SPY bars (what the screens see): halves 0.934/0.715 MaxDD -18.61% CAGR 12.02%
[a0] engine-equivalence, 3 ungated books: max|diff| = 0.000e+00 (EXACT)

[a] reproduction of idea 129's grid: 306 of 306 rows matched, max|diff| CAGR 9.71e-17 Sharpe 2.22e-16 MaxDD 9.71e-17 IS_Sharpe 2.22e-16 IS_CAGR 9.89e-17 IS_MaxDD 8.33e-17 OOS_CAGR 9.71e-17 OOS_Sharpe 2.22e-16 OOS_MaxDD 8.33e-17 gross 5.55e-17  EXACT

[GRID] 306 arm-rows, ALL reported
panel  book   cost                arm  CAGR  Sharpe  MaxDD    H1     H2  IS_Sharpe  IS_Calmar  IS_CAGR  IS_MaxDD  OOS_CAGR  OOS_Sharpe  OOS_MaxDD  gross     TO  adm_S1  adm_S2  pass4a  pass4b            fail4b
  u56   V1u 10.000            control 0.063   0.663 -0.157 0.682  0.650      0.596      0.403    0.053    -0.130     0.072       0.714     -0.157  0.750 23.236   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000            g200-dg 0.062   0.652 -0.141 0.664  0.645      0.576      0.370    0.050    -0.136     0.071       0.710     -0.141  0.726 22.850   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000            g200-rw 0.066   0.680 -0.138 0.641  0.717      0.553      0.376    0.049    -0.131     0.081       0.774     -0.138  0.750 23.621   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000           band3-dg 0.062   0.656 -0.146 0.661  0.656      0.573      0.384    0.050    -0.131     0.072       0.719     -0.146  0.733 22.788   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000           band3-rw 0.066   0.677 -0.136 0.633  0.718      0.543      0.364    0.048    -0.130     0.081       0.775     -0.136  0.750 22.956   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000           abs12-dg 0.062   0.657 -0.136 0.631  0.683      0.539      0.344    0.046    -0.134     0.074       0.745     -0.136  0.711 22.303   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000           abs12-rw 0.064   0.661 -0.146 0.631  0.690      0.543      0.330    0.048    -0.146     0.077       0.749     -0.146  0.750 23.001   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000           vol60-dg 0.063   0.663 -0.157 0.682  0.650      0.596      0.403    0.053    -0.130     0.072       0.714     -0.157  0.750 23.236   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000           vol60-rw 0.063   0.663 -0.157 0.682  0.650      0.596      0.403    0.053    -0.130     0.072       0.714     -0.157  0.750 23.236   False   False   False   False    H1,H2,OOS,CAGR
  u56   V1u 10.000          v1gate-dg 0.062   0.652 -0.141 0.664  0.645      0.576      0.370    0.050    -0.136     0.071       0.710     -0.141  0.726 22.850   False   False   False   False    H1,H2,OOS,CAGR
