file,n_fail,R0_ASBUILT_named,R0_ASBUILT_any,R1_ALPHABET_named,R1_ALPHABET_any,R2_LEGCOLS_named,R2_LEGCOLS_any,R3_STATS_INFILE_named,R3_STATS_INFILE_any,R4_STATS_PANEL_named,R4_STATS_PANEL_any
2026-09-07_is-the-0-bps-to-10-bps-cliff-the-real-killer_cloud.census.csv,156495,0,0,0,0,0,0,0,0,0,0
2026-09-10_is-the-CORRELATION-CUT-a-pre-registrable-SLEEVE-ADMISSION-test_C.grid.csv,73810,0,0,0,0,0,0,0,0,73649,73810
2026-09-07_does-the-ceiling-invert-BECAUSE-of-de-grossing_cloud.census.csv,59561,0,0,0,0,0,0,0,0,0,0
2026-09-15_is-the-ZERO-COST-pass-to-BASE-RATE-inversion-a-CADENCE-fact_B.draws.csv,52109,0,0,0,0,0,0,0,0,51399,51399
2026-09-15_does-the-ZERO-COST-pass-to-BASE-RATE-inversion-hold-on-MONTHLY-4b-passes_B.draws.csv,32356,0,0,0,0,0,0,0,0,31993,31993
2026-09-15_is-the-U56-EW-INDEX-s-PLUS-0.2006-EDGE-over-SPY-a-COMPOSITION-fact_C.grid.csv,30771,0,0,0,0,0,0,0,0,27465,27465
2026-09-15_does-any-4b-pass-in-the-record-survive-a-ZERO-COST-BASE-RATE-clause_B.draws.csv,24142,0,0,0,0,0,0,0,0,23637,23637
2026-09-08_is-the-failing-bar-a-published-column_cloud.census.csv.gz,22239,0,0,0,0,0,0,0,0,0,0
2026-09-10_is-the-INTERCEPT-of-the-width-law-a-DEFENSIVE-SLEEVE-statistic_C.grid.csv,15589,0,0,0,0,15589,15589,15589,15589,15589,15589
2026-09-06_is-the-null-key-result-one-draw-or-a-distribution_cloud.draws.csv.gz,7418,7418,7418,7418,7418,7418,7418,7418,7418,7418,7418
2026-09-12_does-the-DE-GROSSING-TO-CASH-channel-have-a-CEILING-on-the-ENTRY-DATE-pass-share_cloud.census.csv.gz,6812,0,0,0,0,0,0,5942,5942,6373,6373
2026-09-15_is-the-CAGR-FLOOR-as-CONVENTION-SENSITIVE-as-the-DD-CAP-once-CENTRED_cloud.cells.csv,6472,0,0,0,0,6472,6472,6472,6472,6472,6472
2026-09-06_back-fill-the-phase-spread-over-every-cadence-claim_cloud.keep.csv,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220
