gate,what,value,pass_
G1,fast runner == engine.backtest (U56 W/H126/N20),1.3877787807814457e-17,True
G2,CROSS-RUN committed U56 W/H126/N=20 triple,3.1831294189377246e-07,True
G3,SPY OOS triple,0.00017024209187355144,True
G4,CROSS-RUN 1098/1102 committed U56 n=12 triple,4.9747072470490705e-05,True
G4b,CROSS-RUN 1098/1102 committed B136 n=15 triple,2.131920825099165e-05,True
G5,live RULES v2 MaxDD -12.05% on U56,4.949323437114517e-05,True
G6,determinism (same cell twice),0.0,True
G7,cadence_mask == engine.rebalance_mask on D/W/M/Q,0.0,True
G8,"reproduce 1110's committed grid (54 rows, 5 cols each)",0.0,True
G9,reproduce 1102/1110's 32 committed peaks and gaps,2.220446049250313e-16,True
G10,every ladder x statistic has a live spread,0.0017882751492677151,True
