panel,gross,window,win_start,win_end,n_days,peak,trough,recovery,recovered,trough_year,MaxDD,decline_days,recovery_days,binds_2022
U56,0.5,FULL,2009-01-13,2026-09-11,4443,2020-02-19,2020-03-12,2020-08-04,True,2020,-0.08117565778748204,17,100,False
U56,0.5,POST20,2020-07-01,2026-09-11,1557,2025-02-19,2025-04-08,2025-09-08,True,2025,-0.048634608776492505,35,104,False
U56,0.5,BEAR22a,2020-07-01,2023-12-29,881,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.045779857594867135,336,58,True
U56,0.5,BEAR22b,2021-01-04,2024-12-31,1005,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.04577985759486425,336,58,True
U56,0.5,BEAR22c,2021-06-01,2024-06-28,775,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.04577985759486425,336,58,True
U56,0.75,FULL,2009-01-13,2026-09-11,4443,2020-02-19,2020-03-12,2020-08-04,True,2020,-0.12054943679771146,17,100,False
U56,0.75,POST20,2020-07-01,2026-09-11,1557,2025-02-19,2025-04-08,2025-09-08,True,2025,-0.07224167604895704,35,104,False
U56,0.75,BEAR22a,2020-07-01,2023-12-29,881,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.06852336689094607,336,58,True
U56,0.75,BEAR22b,2021-01-04,2024-12-31,1005,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.06852336689094596,336,58,True
U56,0.75,BEAR22c,2021-06-01,2024-06-28,775,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.06852336689094618,336,58,True
U56,1.0,FULL,2009-01-13,2026-09-11,4443,2020-02-19,2020-03-12,2020-08-04,True,2020,-0.15910990262743974,17,100,False
U56,1.0,POST20,2020-07-01,2026-09-11,1557,2025-02-19,2025-04-08,2025-09-08,True,2025,-0.09538640959659372,35,104,False
U56,1.0,BEAR22a,2020-07-01,2023-12-29,881,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.0911520605250471,336,58,True
U56,1.0,BEAR22b,2021-01-04,2024-12-31,1005,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.09115206052504632,336,58,True
U56,1.0,BEAR22c,2021-06-01,2024-06-28,775,2021-11-08,2023-03-10,2023-06-02,True,2023,-0.09115206052504787,336,58,True
B136,0.5,FULL,2009-01-13,2026-09-11,4443,2020-02-19,2020-03-12,2020-09-02,True,2020,-0.08242086768618762,17,121,False
B136,0.5,POST20,2020-07-01,2026-09-11,1557,2021-12-29,2023-03-13,2023-12-19,True,2023,-0.06253221110910212,302,195,True
B136,0.5,BEAR22a,2020-07-01,2023-12-29,881,2021-12-29,2023-03-13,2023-12-19,True,2023,-0.06253221110910212,302,195,True
B136,0.5,BEAR22b,2021-01-04,2024-12-31,1005,2021-12-29,2023-03-13,2023-12-19,True,2023,-0.06253221110910245,302,195,True
B136,0.5,BEAR22c,2021-06-01,2024-06-28,775,2021-12-29,2023-03-13,2023-12-19,True,2023,-0.06253221110910179,302,195,True
B136,0.75,FULL,2009-01-13,2026-09-11,4443,2020-02-19,2020-03-12,2020-11-11,True,2020,-0.12240985403190008,17,170,False
B136,0.75,POST20,2020-07-01,2026-09-11,1557,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.09282730117254612,302,199,True
B136,0.75,BEAR22a,2020-07-01,2023-12-29,881,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.09282730117254612,302,199,True
B136,0.75,BEAR22b,2021-01-04,2024-12-31,1005,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.09282730117254556,302,199,True
B136,0.75,BEAR22c,2021-06-01,2024-06-28,775,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.092827301172546,302,199,True
B136,1.0,FULL,2009-01-13,2026-09-11,4443,2020-02-19,2020-03-12,2020-11-13,True,2020,-0.16157983013208965,17,172,False
B136,1.0,POST20,2020-07-01,2026-09-11,1557,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.12248095591523434,302,199,True
B136,1.0,BEAR22a,2020-07-01,2023-12-29,881,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.12248095591523434,302,199,True
B136,1.0,BEAR22b,2021-01-04,2024-12-31,1005,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.12248095591523278,302,199,True
B136,1.0,BEAR22c,2021-06-01,2024-06-28,775,2021-12-29,2023-03-13,2023-12-26,True,2023,-0.12248095591523178,302,199,True
SMALL,0.5,FULL,2011-01-13,2026-09-11,3938,2018-08-31,2020-03-12,2020-12-04,True,2020,-0.09429166952760648,384,186,False
SMALL,0.5,POST20,2020-07-01,2026-09-11,1557,2021-11-12,2023-10-27,2024-12-04,True,2023,-0.08025488401301617,492,277,False
SMALL,0.5,BEAR22a,2020-07-01,2023-12-29,881,2021-11-12,2023-10-27,2023-12-29,False,2023,-0.08025488401301617,492,43,False
SMALL,0.5,BEAR22b,2021-01-04,2024-12-31,1005,2021-11-12,2023-10-27,2024-12-04,True,2023,-0.08025488401301795,492,277,False
SMALL,0.5,BEAR22c,2021-06-01,2024-06-28,775,2021-11-12,2023-10-27,2024-06-28,False,2023,-0.08025488401301839,492,167,False
SMALL,0.75,FULL,2011-01-13,2026-09-11,3938,2018-08-31,2020-03-12,2020-12-04,True,2020,-0.13891550797734797,384,186,False
SMALL,0.75,POST20,2020-07-01,2026-09-11,1557,2021-11-12,2023-10-27,2026-01-22,True,2023,-0.1187361920651736,492,559,False
SMALL,0.75,BEAR22a,2020-07-01,2023-12-29,881,2021-11-12,2023-10-27,2023-12-29,False,2023,-0.1187361920651736,492,43,False
SMALL,0.75,BEAR22b,2021-01-04,2024-12-31,1005,2021-11-12,2023-10-27,2024-12-31,False,2023,-0.1187361920651735,492,295,False
SMALL,0.75,BEAR22c,2021-06-01,2024-06-28,775,2021-11-12,2023-10-27,2024-06-28,False,2023,-0.11873619206517227,492,167,False
SMALL,1.0,FULL,2011-01-13,2026-09-11,3938,2018-08-31,2020-03-12,2020-12-04,True,2020,-0.18190590999569844,384,186,False
SMALL,1.0,POST20,2020-07-01,2026-09-11,1557,2021-11-12,2023-10-27,2026-02-06,True,2023,-0.156128225140986,492,570,False
SMALL,1.0,BEAR22a,2020-07-01,2023-12-29,881,2021-11-12,2023-10-27,2023-12-29,False,2023,-0.156128225140986,492,43,False
SMALL,1.0,BEAR22b,2021-01-04,2024-12-31,1005,2021-11-12,2023-10-27,2024-12-31,False,2023,-0.15612822514098612,492,295,False
SMALL,1.0,BEAR22c,2021-06-01,2024-06-28,775,2021-11-12,2023-10-27,2024-06-28,False,2023,-0.15612822514098512,492,167,False
