cell,book,n,n_hp,p_pass,p_fail,delta
DISJOINT/H756/NONE,K1,24,8,0.125,0.3125,-0.1875
DISJOINT/H756/NONE,K2,24,6,0.0,0.2222222222222222,-0.2222222222222222
DISJOINT/H756/NONE,K3,24,6,0.5,0.16666666666666666,0.33333333333333337
DISJOINT/H756/NONE,K4,24,9,0.4444444444444444,0.8666666666666667,-0.4222222222222223
DISJOINT/H756/NONE,K5,24,7,0.42857142857142855,0.8235294117647058,-0.3949579831932773
DISJOINT/H756/NONE,K6,24,9,0.4444444444444444,0.3333333333333333,0.1111111111111111
DISJOINT/H756/NONE,K7,24,20,0.0,0.0,0.0
DISJOINT/H756/NONE,K8,24,8,1.0,0.5,0.5
DISJOINT/H756/NONE,R1,24,6,0.0,0.7222222222222222,-0.7222222222222222
DISJOINT/H756/NONE,R2,24,5,0.0,0.2631578947368421,-0.2631578947368421
DISJOINT/H756/NONE,R3,24,13,0.3076923076923077,0.2727272727272727,0.034965034965035
DISJOINT/H756/NONE,R4,24,10,0.0,0.14285714285714285,-0.14285714285714285
DISJOINT/H756/OTHER3,K1,3,2,0.0,0.0,0.0
DISJOINT/H756/OTHER3,K2,3,2,0.0,0.0,0.0
DISJOINT/H756/OTHER3,K3,9,6,0.5,0.6666666666666666,-0.16666666666666663
DISJOINT/H756/OTHER3,K4,12,5,0.6,0.8571428571428571,-0.2571428571428571
DISJOINT/H756/OTHER3,K5,7,1,1.0,0.8333333333333334,0.16666666666666663
DISJOINT/H756/OTHER3,K6,4,3,0.6666666666666666,1.0,-0.33333333333333337
DISJOINT/H756/OTHER3,K8,9,6,1.0,1.0,0.0
DISJOINT/H756/OTHER3,R1,3,2,0.0,1.0,-1.0
DISJOINT/H756/OTHER3,R2,3,0,,0.0,
DISJOINT/H756/OTHER3,R3,14,7,0.2857142857142857,0.0,0.2857142857142857
DISJOINT/H756/OTHER3,R4,15,6,0.0,0.0,0.0
OVERLAP21/H756/OTHER3,K1,30,20,0.0,0.0,0.0
OVERLAP21/H756/OTHER3,K2,35,19,0.0,0.0,0.0
OVERLAP21/H756/OTHER3,K3,46,33,0.5454545454545454,0.9230769230769231,-0.3776223776223777
OVERLAP21/H756/OTHER3,K4,90,58,0.43103448275862066,0.65625,-0.22521551724137934
OVERLAP21/H756/OTHER3,K5,77,53,0.32075471698113206,0.6666666666666666,-0.34591194968553457
OVERLAP21/H756/OTHER3,K6,42,30,0.4,1.0,-0.6
OVERLAP21/H756/OTHER3,K7,1,1,0.0,,
OVERLAP21/H756/OTHER3,K8,85,59,0.6101694915254238,0.6153846153846154,-0.0052151238591916504
OVERLAP21/H756/OTHER3,R1,49,41,0.0975609756097561,0.5,-0.4024390243902439
OVERLAP21/H756/OTHER3,R2,35,17,0.4117647058823529,0.0,0.4117647058823529
OVERLAP21/H756/OTHER3,R3,72,42,0.16666666666666666,0.2,-0.033333333333333354
OVERLAP21/H756/OTHER3,R4,65,23,0.0,0.023809523809523808,-0.023809523809523808
DISJOINT/H1260/NONE,K1,12,5,0.8,0.7142857142857143,0.08571428571428574
DISJOINT/H1260/NONE,K2,12,3,1.0,0.6666666666666666,0.33333333333333337
DISJOINT/H1260/NONE,K3,12,2,1.0,1.0,0.0
DISJOINT/H1260/NONE,K4,12,9,0.7777777777777778,1.0,-0.2222222222222222
DISJOINT/H1260/NONE,K5,12,5,1.0,0.7142857142857143,0.2857142857142857
DISJOINT/H1260/NONE,K6,12,12,0.75,,
DISJOINT/H1260/NONE,K7,12,12,0.0,,
DISJOINT/H1260/NONE,K8,12,2,1.0,0.9,0.09999999999999998
DISJOINT/H1260/NONE,R1,12,5,0.6,0.14285714285714285,0.45714285714285713
DISJOINT/H1260/NONE,R2,12,10,0.4,1.0,-0.6
DISJOINT/H1260/NONE,R3,12,12,0.75,,
DISJOINT/H1260/NONE,R4,12,10,0.5,0.5,0.0
