nrung,step,g_first,g_last,npass,lo,hi,width,width_rungs,contig,censor,is_empty,file,gcol,pcol,key
13,0.05000000000000002,0.4,1.0,4,0.65,0.8,0.15000000000000002,2.9999999999999996,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C2/CAND20|cost=5
13,0.05000000000000002,0.4,1.0,4,0.65,0.8,0.15000000000000002,2.9999999999999996,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C2/CAND20|cost=10
13,0.05000000000000002,0.4,1.0,0,,,,,True,False,True,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C2/CAND20|cost=25
13,0.05000000000000002,0.4,1.0,5,0.7,0.9,0.20000000000000007,4.0,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C46/frac.85|cost=5
13,0.05000000000000002,0.4,1.0,4,0.75,0.9,0.15000000000000002,2.9999999999999996,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C46/frac.85|cost=10
13,0.05000000000000002,0.4,1.0,0,,,,,True,False,True,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C46/frac.85|cost=25
13,0.05000000000000002,0.4,1.0,7,0.7,1.0,0.30000000000000004,5.999999999999999,True,True,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C57/ew-band3|cost=5
13,0.05000000000000002,0.4,1.0,6,0.75,1.0,0.25,4.999999999999998,True,True,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C57/ew-band3|cost=10
13,0.05000000000000002,0.4,1.0,5,0.8,1.0,0.19999999999999996,3.999999999999998,True,True,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C57/ew-band3|cost=25
13,0.05000000000000002,0.4,1.0,5,0.75,0.95,0.19999999999999996,3.999999999999998,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C72/EWall|cost=5
13,0.05000000000000002,0.4,1.0,4,0.8,0.95,0.1499999999999999,2.9999999999999973,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C72/EWall|cost=10
13,0.05000000000000002,0.4,1.0,0,,,,,True,False,True,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe.json(56)|book=C72/EWall|cost=25
13,0.05000000000000002,0.4,1.0,4,0.6,0.75,0.15000000000000002,2.9999999999999996,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C2/CAND20|cost=5
13,0.05000000000000002,0.4,1.0,0,,,,,True,False,True,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C2/CAND20|cost=10
13,0.05000000000000002,0.4,1.0,0,,,,,True,False,True,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C2/CAND20|cost=25
13,0.05000000000000002,0.4,1.0,3,0.7,0.8,0.10000000000000009,2.000000000000001,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C46/frac.85|cost=5
13,0.05000000000000002,0.4,1.0,2,0.75,0.8,0.050000000000000044,1.0000000000000004,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C46/frac.85|cost=10
13,0.05000000000000002,0.4,1.0,0,,,,,True,False,True,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C46/frac.85|cost=25
13,0.05000000000000002,0.4,1.0,4,0.75,0.9,0.15000000000000002,2.9999999999999996,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C57/ew-band3|cost=5
13,0.05000000000000002,0.4,1.0,4,0.75,0.9,0.15000000000000002,2.9999999999999996,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C57/ew-band3|cost=10
13,0.05000000000000002,0.4,1.0,3,0.8,0.9,0.09999999999999998,1.999999999999999,True,False,False,2026-09-04_which-4b-bar-binds_B.gladder.csv,g,p4b,uni=universe_broad.json|book=C57/ew-band3|cost=25
