script,artefact,carrier,kind,status,n,n_result,n_meta,matched_lines,unmatched_lines,committed_lines,worst,worst_result,worst_meta,note,arm,own_sha
2026-09-04_cost-sensitivity_cloud.py,2026-09-04_cost-sensitivity_cloud.console.txt,console,text,OK,1857,1218.0,639.0,263.0,6.0,269.0,2.9141156462585034,2.9141156462585034,2.3333333333333335,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.console.txt,console,text,OK,3548,3513.0,35.0,456.0,7.0,463.0,1.5,1.0,1.5,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.deltas.csv,artefact,csv,OK,3608,3608.0,0.0,,,,0.017362953798686825,0.017362953798686825,0.0,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.grid.csv,artefact,csv,OK,9360,9360.0,0.0,,,,0.17174846335029634,0.17174846335029634,0.0,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.peryear.csv,artefact,csv,OK,5576,5576.0,0.0,,,,0.2714822000665797,0.2714822000665797,0.0,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.picks.csv,artefact,csv,OK,44,44.0,0.0,,,,0.0,0.0,0.0,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.swaps.csv,artefact,csv,OK,576,576.0,0.0,,,,0.003056439461792501,0.003056439461792501,0.0,,TODAY,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.py,2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.walkforward.csv,artefact,csv,OK,1584,1584.0,0.0,,,,0.017273857302020974,0.017273857302020974,0.0,,TODAY,
2026-09-05_absorbing-state-audit_B.py,2026-09-05_absorbing-state-audit_B.console.txt,console,text,OK,1798,1756.0,42.0,249.0,4.0,253.0,21.0,21.0,1.5,,TODAY,
2026-09-05_absorbing-state-audit_B.py,2026-09-05_absorbing-state-audit_B.ddctl.csv,artefact,csv,OK,47916,47916.0,0.0,,,,1.0,1.0,0.0,,TODAY,
2026-09-05_absorbing-state-audit_B.py,2026-09-05_absorbing-state-audit_B.ladder.csv,artefact,csv,OK,1368,1368.0,0.0,,,,0.009332221154544074,0.009332221154544074,0.0,,TODAY,
2026-09-05_absorbing-state-audit_B.py,2026-09-05_absorbing-state-audit_B.stop.csv,artefact,csv,OK,12672,12672.0,0.0,,,,1.0,1.0,0.0,,TODAY,
2026-09-05_absorbing-state-audit_B.py,2026-09-05_absorbing-state-audit_B.walkforward.csv,artefact,csv,OK,1404,1404.0,0.0,,,,0.017416989907931613,0.017416989907931613,0.0,,TODAY,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.py,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.console.txt,console,text,OK,5837,5810.0,27.0,777.0,0.0,777.0,1.5,0.050000000000000044,1.5,,TODAY,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.py,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.betas.csv,artefact,csv,OK,2288,2288.0,0.0,,,,0.07674519921006082,0.07674519921006082,0.0,,TODAY,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.py,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.diagnostics.csv,artefact,csv,OK,33,33.0,0.0,,,,0.013603838189161999,0.013603838189161999,0.0,,TODAY,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.py,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.grid.csv,artefact,csv,OK,23088,23088.0,0.0,,,,0.9479899852344869,0.9479899852344869,0.0,,TODAY,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.py,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.paired.csv,artefact,csv,OK,54,54.0,0.0,,,,0.0026175232338787047,0.0026175232338787047,0.0,,TODAY,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.py,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.picks.csv,artefact,csv,OK,8712,8712.0,0.0,,,,0.019337869570121846,0.019337869570121846,0.0,,TODAY,
