panel,arena,unit,conv,bar,kmax,flip_k,status,survived,first_leg,path
U56,FULL,YEAR,SPLICE,MOVES,6,1.0,FLIPPED_AT_1,False,DD,2020
U56,FULL,YEAR,SPLICE,FROZEN,6,2.0,FLIPPED_AT_2,False,H1,2013|2009
U56,FULL,YEAR,ZERO,MOVES,6,1.0,FLIPPED_AT_1,False,DD,2020
U56,FULL,YEAR,ZERO,FROZEN,6,1.0,FLIPPED_AT_1,False,DD,2019
U56,FULL,DAY_BOOK,SPLICE,MOVES,20,3.0,FLIPPED_AT_3,False,DD,2025-04-09|2020-03-24|2020-03-13
U56,FULL,DAY_BOOK,SPLICE,FROZEN,20,18.0,FLIPPED_AT_18,False,H2,2025-04-09|2020-03-24|2020-03-13|2010-05-10|2020-04-06|2015-08-26|2018-12-26|2011-08-09|2020-03-02|2024-08-08|2020-03-17|2011-08-11|2024-02-22|2010-05-27|2020-03-26|2026-02-06|2010-07-07|2020-03-04
U56,FULL,DAY_BOOK,ZERO,MOVES,20,9.0,FLIPPED_AT_9,False,DD,2025-04-09|2020-03-24|2020-03-13|2010-05-10|2020-04-06|2015-08-26|2018-12-26|2011-08-09|2020-03-02
U56,FULL,DAY_BOOK,ZERO,FROZEN,20,3.0,FLIPPED_AT_3,False,DD,2025-04-09|2020-03-24|2020-03-13
U56,FULL,DAY_SPY,SPLICE,MOVES,20,3.0,FLIPPED_AT_3,False,DD,2025-04-09|2020-03-24|2020-03-13
U56,FULL,DAY_SPY,SPLICE,FROZEN,20,,SURVIVED_>20,True,-,-
U56,FULL,DAY_SPY,ZERO,MOVES,20,7.0,FLIPPED_AT_7,False,DD,2025-04-09|2020-03-24|2020-03-13|2009-03-23|2020-04-06|2009-03-10|2020-03-26
U56,FULL,DAY_SPY,ZERO,FROZEN,20,3.0,FLIPPED_AT_3,False,DD,2025-04-09|2020-03-24|2020-03-13
U56,FULL,DAY_ADV,ZERO,MOVES,10,1.0,FLIPPED_AT_1,False,DD,2020-03-16
B136,FULL,YEAR,SPLICE,MOVES,6,0.0,NO_PASS_AT_K0,False,DD,-
B136,FULL,YEAR,SPLICE,FROZEN,6,0.0,NO_PASS_AT_K0,False,DD,-
B136,FULL,YEAR,ZERO,MOVES,6,0.0,NO_PASS_AT_K0,False,DD,-
B136,FULL,YEAR,ZERO,FROZEN,6,0.0,NO_PASS_AT_K0,False,DD,-
B136,FULL,DAY_BOOK,SPLICE,MOVES,20,0.0,NO_PASS_AT_K0,False,DD,-
