load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
SMALL: dropped 52 tickers with max_1d_move >= 1.0 (data/small_meta.csv); 663 names + SPY benchmark remain

=== GATES ===
  G1 cost-linearity + runner @ 10 bps vs engine.backtest: max|d| 6.939e-18
  G1 cost-linearity + runner @ 25 bps vs engine.backtest: max|d| 6.939e-18
  G1 cost-linearity + runner @ 50 bps vs engine.backtest: max|d| 6.939e-18
  G2 standing 2026-09-04 candidate (U56 N=20 g=0.65 monthly 10 bps): CAGR 0.1269 Sharpe 1.2019 MaxDD -0.1711 OOS Sharpe 1.2824  (committed: 0.1269 / 1.201 / -0.1711 / 1.281)
  U56: SPY 15.13%/0.8848/-33.72% (OOS 0.8745) | RULES v2 8.62%/1.2017/-12.05% (OOS 1.2778)
  B136: SPY 15.16%/0.8861/-33.72% (OOS 0.8767) | RULES v2 7.98%/1.0993/-12.24% (OOS 1.1059)
  SMALL: SPY 14.06%/0.8581/-33.72% (OOS 0.8767) | RULES v2 4.30%/0.6637/-13.89% (OOS 0.5600)

=== CAPITAL LEG — ALL 162 GRID POINTS (monthly, t+1) ===
panel  gross     bps  N    CAGR      S      DD     H1     H2   IS_S  OOS_S  OOS_CAGR  OOS_DD    turn   p4a   p4b
  U56 0.6500 10.0000  5  0.1609 1.0046 -0.2409 1.2546 0.8095 1.2787 0.8196    0.1352 -0.2409  6.6914 False False
  U56 0.6500 25.0000  5  0.1493 0.9426 -0.2418 1.1878 0.7507 1.2134 0.7594    0.1234 -0.2418  6.6914 False False
  U56 0.6500 50.0000  5  0.1302 0.8384 -0.2433 1.0754 0.6522 1.1034 0.6585    0.1040 -0.2433  6.6914 False False
  U56 1.0000 10.0000  5  0.2477 1.0132 -0.3461 1.2602 0.8208 1.2827 0.8314    0.2046 -0.3461 10.2521 False False
  U56 1.0000 25.0000  5  0.2287 0.9516 -0.3472 1.1939 0.7624 1.2178 0.7715    0.1855 -0.3472 10.2521 False False
  U56 1.0000 50.0000  5  0.1975 0.8481 -0.3492 1.0822 0.6645 1.1087 0.6713    0.1543 -0.3492 10.2521 False False
  U56 0.6500 10.0000  8  0.1519 1.1033 -0.1989 1.2579 0.9832 1.2333 1.0161    0.1470 -0.1989  5.8668 False  True
  U56 0.6500 25.0000  8  0.1418 1.0389 -0.1997 1.1889 0.9220 1.1656 0.9537    0.1366 -0.1997  5.8668 False  True
  U56 0.6500 50.0000  8  0.1252 0.9307 -0.2010 1.0728 0.8195 1.0517 0.8490    0.1195 -0.2010  5.8668 False False
  U56 1.0000 10.0000  8  0.2359 1.1108 -0.2888 1.2636 0.9917 1.2382 1.0250    0.2268 -0.2888  8.9932 False False
  U56 1.0000 25.0000  8  0.2193 1.0467 -0.2899 1.1950 0.9309 1.1709 0.9629    0.2098 -0.2899  8.9932 False False
  U56 1.0000 50.0000  8  0.1922 0.9392 -0.2916 1.0797 0.8289 1.0579 0.8586    0.1820 -0.2916  8.9932 False False
  U56 0.6500 10.0000 10  0.1446 1.1242 -0.2044 1.2134 1.0582 1.1670 1.0986    0.1496 -0.2044  5.2928 False False
  U56 0.6500 25.0000 10  0.1355 1.0619 -0.2050 1.1471 0.9988 1.1018 1.0380    0.1402 -0.2050  5.2928 False False
  U56 0.6500 50.0000 10  0.1206 0.9573 -0.2061 1.0356 0.8990 0.9925 0.9363    0.1247 -0.2061  5.2928 False False
  U56 1.0000 10.0000 10  0.2244 1.1299 -0.2979 1.2199 1.0630 1.1730 1.1038    0.2316 -0.2979  8.1120 False False
  U56 1.0000 25.0000 10  0.2096 1.0680 -0.2988 1.1540 1.0039 1.1083 1.0436    0.2161 -0.2988  8.1120 False False
  U56 1.0000 50.0000 10  0.1853 0.9640 -0.3002 1.0432 0.9048 0.9997 0.9424    0.1909 -0.3002  8.1120 False False
  U56 0.6500 10.0000 12  0.1376 1.1206 -0.1971 1.1293 1.1240 1.0779 1.1565    0.1527 -0.1971  4.9119 False  True
  U56 0.6500 25.0000 12  0.1292 1.0602 -0.1977 1.0622 1.0685 1.0123 1.0994    0.1441 -0.1977  4.9119 False  True
  U56 0.6500 50.0000 12  0.1155 0.9588 -0.1988 0.9495 0.9752 0.9022 1.0035    0.1299 -0.1988  4.9119 False False
  U56 1.0000 10.0000 12  0.2136 1.1257 -0.2888 1.1358 1.1281 1.0843 1.1608    0.2373 -0.2888  7.5273 False False
  U56 1.0000 25.0000 12  0.2000 1.0657 -0.2897 1.0691 1.0729 1.0192 1.1040    0.2232 -0.2897  7.5273 False False
  U56 1.0000 50.0000 12  0.1777 0.9650 -0.2912 0.9572 0.9803 0.9098 1.0088    0.2001 -0.2912  7.5273 False False
  U56 0.6500 10.0000 15  0.1342 1.1603 -0.1913 1.1567 1.1731 1.0566 1.2390    0.1542 -0.1913  4.3969 False  True
  U56 0.6500 25.0000 15  0.1268 1.1028 -0.1920 1.0940 1.1194 0.9942 1.1846    0.1465 -0.1920  4.3969 False  True
