[G1] u56: max|A+B - i133.book_weights(S3-50,band3,rw)| = 1.110e-16
[G2] u56: degenerate limit (W,W) vs engine.backtest -- max|dret| = 6.939e-18  max|dturnover| = 4.163e-16
[G6] u56: diagonal (f,f) vs engine.backtest(freq=f) -- D: dret 3.5e-18 / dTO 3.6e-16  W: dret 6.9e-18 / dTO 4.2e-16  M: dret 4.2e-17 / dTO 8.9e-16  Q: dret 4.2e-17 / dTO 1.6e-15
[G4] u56: leg attribution additive at all 64 cells (max |TO_eq+TO_sl-TO| = 3.55e-15)
[G1] broad: max|A+B - i133.book_weights(S3-50,band3,rw)| = 5.551e-17
[G2] broad: degenerate limit (W,W) vs engine.backtest -- max|dret| = 1.388e-17  max|dturnover| = 5.829e-16
[G6] broad: diagonal (f,f) vs engine.backtest(freq=f) -- D: dret 3.5e-18 / dTO 2.2e-16  W: dret 1.4e-17 / dTO 5.8e-16  M: dret 6.9e-17 / dTO 1.1e-15  Q: dret 6.9e-17 / dTO 2.0e-15
[G4] broad: leg attribution additive at all 64 cells (max |TO_eq+TO_sl-TO| = 3.55e-15)
[G3] u56/10bps/(W,W) vs the Sunday review's idea-142 re-run: CAGR d=1.90e-05  Sharpe d=1.94e-04  MaxDD d=6.80e-08  H1 d=5.14e-07  H2 d=3.74e-04  OOS_Sharpe d=3.48e-04
[G5] 128 of 128 cells published.

==============================================================================================================================
ALL 128 CELLS  (f_eq = equity clock, f_sl = sleeve clock; (W,W) is the committed cell)
==============================================================================================================================
panel  cost_bps f_eq f_sl    CAGR  Sharpe   MaxDD     H1      H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD      TO   TO_eq  TO_sl  mean_gross  drag_pp  pass4a  pass4b  pass4b_oos
  u56    5.0000    D    D  0.1113  1.2549 -0.1105 1.2681  1.2436    0.1150      1.2789    -0.1105 19.1582 15.2071 3.9511      0.7500   0.9579    True    True        True
  u56    5.0000    D    W  0.1118  1.2606 -0.1194 1.2880  1.2359    0.1148      1.2779    -0.1194 17.0993 15.2552 1.8441      0.7503   0.8550    True    True        True
  u56    5.0000    D    M  0.1116  1.2532 -0.1071 1.2739  1.2346    0.1155      1.2830    -0.1071 16.2979 15.2681 1.0299      0.7489   0.8149    True    True        True
  u56    5.0000    D    Q  0.1069  1.2060 -0.1103 1.2134  1.1996    0.1117      1.2473    -0.1103 16.0078 15.2757 0.7322      0.7561   0.8004   False    True        True
  u56    5.0000    W    D  0.1167  1.3033 -0.1070 1.3129  1.2963    0.1216      1.3313    -0.1070 10.3597  6.3689 3.9908      0.7500   0.5180    True    True        True
  u56    5.0000    W    W  0.1172  1.3101 -0.1158 1.3327  1.2908    0.1215      1.3323    -0.1158  8.1750  6.3577 1.8173      0.7503   0.4088    True    True        True
  u56    5.0000    W    M  0.1170  1.3017 -0.1045 1.3181  1.2880    0.1222      1.3360    -0.1045  7.4370  6.4010 1.0360      0.7489   0.3718    True    True        True
  u56    5.0000    W    Q  0.1122  1.2544 -0.1066 1.2567  1.2536    0.1184      1.3008    -0.1066  7.1367  6.4040 0.7328      0.7561   0.3568    True    True        True
  u56    5.0000    M    D  0.1224  1.3428 -0.1068 1.3480  1.3401    0.1285      1.3754    -0.1068  6.8850  2.8644 4.0207      0.7524   0.3443    True    True        True
  u56    5.0000    M    W  0.1229  1.3492 -0.1160 1.3673  1.3345    0.1284      1.3762    -0.1160  4.7376  2.8716 1.8660      0.7527   0.2369    True    True        True
  u56    5.0000    M    M  0.1228  1.3386 -0.1034 1.3489  1.3307    0.1291      1.3790    -0.1034  3.8700  2.8597 1.0103      0.7513   0.1935    True    True        True
  u56    5.0000    M    Q  0.1180  1.2913 -0.1065 1.2880  1.2957    0.1253      1.3433    -0.1065  3.6000  2.8778 0.7222      0.7584   0.1800    True    True        True
  u56    5.0000    Q    D  0.1144  1.2219 -0.1449 1.2314  1.2200    0.1253      1.2723    -0.1449  5.7122  1.6783 4.0339      0.7475   0.2856   False    True        True
  u56    5.0000    Q    W  0.1149  1.2270 -0.1542 1.2495  1.2138    0.1252      1.2720    -0.1542  3.5605  1.6829 1.8776      0.7478   0.1780   False    True        True
  u56    5.0000    Q    M  0.1148  1.2163 -0.1418 1.2297  1.2101    0.1260      1.2741    -0.1418  2.7010  1.6731 1.0279      0.7465   0.1351   False    True        True
  u56    5.0000    Q    Q  0.1100  1.1632 -0.1451 1.1591  1.1714    0.1220      1.2348    -0.1451  2.3964  1.6767 0.7198      0.7538   0.1198   False    True        True
