IDEA 138 — sleeve-f PLATEAU WIDTH (lane B).  13 f-points x 2 panels x 2 books x 2 sleeve sets x 2 cost rungs = 208 arm-rows.
f sweep: published [0.05, 0.1, 0.15, 0.2, 0.25, 0.5] + added [0.3, 0.35, 0.4] + edge probe [0.6, 0.75, 1.0] (f=1.00 is the pure sleeve, so the dial is bounded) + control f=0.00.  Plateau tolerance 0.05 (idea 128's).  Costs [10.0, 25.0] bps, weekly, t+1, gross 0.75.

[panel] u56: 56 cols 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY full CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834; OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    4b bars (full slice): H1>0.957 H2>0.834 OOS>0.882 MaxDD>=-20.23% CAGR>=10.66%
    RULES v2 @10bps 8.66%/1.206/-12.05% halves 1.226/1.191 | v1 @10bps 6.45%/0.664/-13.83% halves 0.641/0.688
    RULES v2 @25bps 8.37%/1.168/-12.09% halves 1.188/1.153 | v1 @25bps 2.75%/0.317/-15.63% halves 0.285/0.346
    [gate a] H.run vs engine.backtest on EWall: max|d| 0.000e+00

[panel] broad: 136 cols 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY full CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834; OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    4b bars (full slice): H1>0.957 H2>0.834 OOS>0.882 MaxDD>=-20.23% CAGR>=10.66%
    RULES v2 @10bps 8.03%/1.106/-12.24% halves 1.229/0.984 | v1 @10bps 6.39%/0.635/-21.19% halves 0.756/0.532
    RULES v2 @25bps 7.70%/1.064/-12.28% halves 1.191/0.939 | v1 @25bps 1.79%/0.219/-26.72% halves 0.335/0.120
    [gate a] H.run vs engine.backtest on EWall: max|d| 0.000e+00

[gate b] REPRODUCTION of idea 134's committed .grid.csv (its ungated `control` arm, TOP20 base = its R20 book, shared f values)
    matched 52 committed rows; max|dSharpe| 2.220e-16  max|dCAGR| 9.714e-17  max|dMaxDD| 8.327e-17

FULL GRID (208 arm-rows).  `published` marks the queue's own sweep; f=0.00 is the no-sleeve control.

--- u56 / EWall ---
panel  book sleeve    cost      f   CAGR  Sharpe   MaxDD      H1     H2  OOS_Sharpe  OOS_CAGR  OOS_MaxDD  gross  turnover   m_min  pass4b  pass4a_v2
  u56 EWall     S3 10.0000 0.0000 0.1327  1.1240 -0.2253  1.1901 1.0719      1.1357    0.1382    -0.2253 0.7502    0.8284 -0.0230   False      False
  u56 EWall     S3 25.0000 0.0000 0.1313  1.1134 -0.2255  1.1793 1.0613      1.1250    0.1367    -0.2255 0.7502    0.8284 -0.0232   False      False
  u56 EWall     S3 10.0000 0.0500 0.1288  1.1443 -0.2126  1.2156 1.0882      1.1520    0.1338    -0.2126 0.7502    1.0427 -0.0103   False      False
  u56 EWall     S3 25.0000 0.0500 0.1270  1.1302 -0.2129  1.2006 1.0747      1.1383    0.1320    -0.2129 0.7502    1.0427 -0.0106   False      False
  u56 EWall     S3 10.0000 0.1000 0.1248  1.1651 -0.2002  1.2418 1.1048      1.1684    0.1292    -0.2002 0.7502    1.3251  0.0021    True      False
  u56 EWall     S3 25.0000 0.1000 0.1226  1.1462 -0.2005  1.2210 1.0874      1.1506    0.1271    -0.2005 0.7502    1.3251  0.0018    True      False
  u56 EWall     S3 10.0000 0.1500 0.1207  1.1868 -0.1879  1.2692 1.1222      1.1853    0.1246    -0.1879 0.7502    1.6346  0.0141    True      False
  u56 EWall     S3 25.0000 0.1500 0.1179  1.1621 -0.1883  1.2414 1.1001      1.1626    0.1220    -0.1883 0.7502    1.6346  0.0113    True      False
  u56 EWall     S3 10.0000 0.2000 0.1165  1.2094 -0.1763  1.2976 1.1405      1.2029    0.1199    -0.1763 0.7502    1.9591  0.0099    True      False
  u56 EWall     S3 25.0000 0.2000 0.1132  1.1782 -0.1767  1.2617 1.1131      1.1746    0.1168    -0.1767 0.7502    1.9591  0.0066    True      False
  u56 EWall     S3 10.0000 0.2500 0.1122  1.2331 -0.1667  1.3269 1.1598      1.2211    0.1151    -0.1667 0.7502    2.2930  0.0056    True      False
  u56 EWall     S3 25.0000 0.2500 0.1084  1.1943 -0.1672  1.2818 1.1263      1.1865    0.1116    -0.1672 0.7502    2.2930  0.0018    True      False
  u56 EWall     S3 10.0000 0.3000 0.1078  1.2575 -0.1572  1.3567 1.1802      1.2400    0.1102    -0.1572 0.7502    2.6334  0.0012    True      False
  u56 EWall     S3 25.0000 0.3000 0.1034  1.2103 -0.1577  1.3009 1.1399      1.1982    0.1062    -0.1577 0.7502    2.6334 -0.0032   False      False
  u56 EWall     S3 10.0000 0.3500 0.1033  1.2824 -0.1477  1.3861 1.2016      1.2593    0.1053    -0.1477 0.7502    2.9777 -0.0033   False      False
  u56 EWall     S3 25.0000 0.3500 0.0984  1.2255 -0.1483  1.3183 1.1536      1.2094    0.1008    -0.1483 0.7502    2.9777 -0.0082   False      False
  u56 EWall     S3 10.0000 0.4000 0.0987  1.3071 -0.1384  1.4137 1.2238      1.2787    0.1002    -0.1384 0.7502    3.3251 -0.0079   False      False
  u56 EWall     S3 25.0000 0.4000 0.0933  1.2393 -0.1391  1.3322 1.1671      1.2197    0.0952    -0.1391 0.7502    3.3251 -0.0133   False      False
  u56 EWall     S3 10.0000 0.5000 0.0891  1.3508 -0.1203  1.4536 1.2687      1.3150    0.0896    -0.1203 0.7502    4.0279 -0.0175   False       True
  u56 EWall     S3 25.0000 0.5000 0.0826  1.2567 -0.1211  1.3397 1.1911      1.2340    0.0838    -0.1211 0.7502    4.0279 -0.0240   False      False
  u56 EWall     S3 10.0000 0.6000 0.0789  1.3687 -0.1028  1.4437 1.3052      1.3367    0.0785    -0.1028 0.7502    4.7413 -0.0277   False       True
  u56 EWall     S3 25.0000 0.6000 0.0712  1.2420 -0.1036  1.2913 1.2010      1.2276    0.0717    -0.1036 0.7502    4.7413 -0.0354   False       True
  u56 EWall     S3 10.0000 0.7500 0.0617  1.2474 -0.0770  1.2222 1.2733      1.2631    0.0600    -0.0770 0.7501    5.8439 -0.0449   False      False
  u56 EWall     S3 25.0000 0.7500 0.0524  1.0667 -0.0779  1.0157 1.1191      1.1019    0.0521    -0.0779 0.7501    5.8439 -0.0542   False      False
  u56 EWall     S3 10.0000 1.0000 0.0218  0.3909 -0.1881  0.3067 0.5058      0.4191    0.0204    -0.1505 0.7446    7.5310 -0.6499   False      False
