claim_set,graded,n_claims,n_resolvable,agree,reverse,unresolved,reverse_share,under_read,over_read,n_pinned,pinned_agree,pinned_reverse,pinned_reverse_share
NARROW,G_DOWNSHARE,187,15,3,12,0,0.8,2,10,2,0,2,1.0
NARROW,G_DECSTEPS,187,15,3,12,0,0.8,0,12,2,0,2,1.0
NARROW,G_SPEARMAN,187,15,6,9,0,0.6,2,7,2,0,2,1.0
NARROW,G_ENDSE,187,15,3,12,0,0.8,2,10,2,0,2,1.0
PROX,G_DOWNSHARE,412,21,5,16,0,0.7619047619047619,2,14,2,0,2,1.0
PROX,G_DECSTEPS,412,21,4,17,0,0.8095238095238095,0,17,2,0,2,1.0
PROX,G_SPEARMAN,412,21,10,11,0,0.5238095238095238,2,9,2,0,2,1.0
PROX,G_ENDSE,412,21,5,16,0,0.7619047619047619,2,14,2,0,2,1.0
WIDE,G_DOWNSHARE,1417,50,15,35,0,0.7,3,32,2,0,2,1.0
WIDE,G_DECSTEPS,1417,50,11,39,0,0.78,0,39,2,0,2,1.0
WIDE,G_SPEARMAN,1417,50,23,27,0,0.54,3,24,2,0,2,1.0
WIDE,G_ENDSE,1417,50,15,35,0,0.7,3,32,2,0,2,1.0
