panel,anchor,ladder,chooser,L,obs_rung,P_pick,RESOLVED
U56,A,N,CH_ISSHARPE,1,40,0.343,False
U56,A,N,CH_ISSHARPE,2,40,0.388,False
U56,A,N,CH_ISSHARPE,5,40,0.378,False
U56,A,N,CH_ISSHARPE,10,40,0.374,False
U56,A,N,CH_ISSHARPE,21,40,0.429,False
U56,A,N,CH_ISSHARPE,42,40,0.412,False
U56,A,N,CH_ISSHARPE,63,40,0.414,False
U56,A,N,CH_ISSHARPE,126,40,0.439,False
U56,A,N,CH_ISSHARPE,252,40,0.398,False
U56,A,N,CH_ISSHARPE,504,40,0.227,False
U56,A,N,CH_ISSHARPE,1008,40,0.062,False
U56,A,N,CH_ISSHARPE,T,40,1.0,True
U56,A,N,CH_ISCAGR,1,5,0.718,False
U56,A,N,CH_ISCAGR,2,5,0.726,False
U56,A,N,CH_ISCAGR,5,5,0.713,False
U56,A,N,CH_ISCAGR,10,5,0.72,False
U56,A,N,CH_ISCAGR,21,5,0.755,False
U56,A,N,CH_ISCAGR,42,5,0.784,False
U56,A,N,CH_ISCAGR,63,5,0.804,False
U56,A,N,CH_ISCAGR,126,5,0.873,False
U56,A,N,CH_ISCAGR,252,5,0.917,True
U56,A,N,CH_ISCAGR,504,5,0.969,True
U56,A,N,CH_ISCAGR,1008,5,1.0,True
U56,A,N,CH_ISCAGR,T,5,1.0,True
U56,A,N,CH_ISDD,1,40,0.763,False
U56,A,N,CH_ISDD,2,40,0.809,False
U56,A,N,CH_ISDD,5,40,0.828,False
U56,A,N,CH_ISDD,10,40,0.817,False
U56,A,N,CH_ISDD,21,40,0.871,False
U56,A,N,CH_ISDD,42,40,0.923,True
U56,A,N,CH_ISDD,63,40,0.926,True
U56,A,N,CH_ISDD,126,40,0.974,True
U56,A,N,CH_ISDD,252,40,0.987,True
U56,A,N,CH_ISDD,504,40,0.987,True
U56,A,N,CH_ISDD,1008,40,0.999,True
U56,A,N,CH_ISDD,T,40,1.0,True
U56,A,H,CH_ISSHARPE,1,252,0.379,False
U56,A,H,CH_ISSHARPE,2,252,0.369,False
