stem,token,head,in_CSV,in_CSVJSON,in_ANY
2026-09-03_broad-momentum-top10,1.003,1,0,0,0
2026-09-03_broad-momentum-top10,1.087,0,0,0,0
2026-09-03_composite-vs-equal-weight,-20.23%,1,0,0,0
2026-09-03_composite-vs-equal-weight,1.032,0,0,0,0
2026-09-03_composite-vs-equal-weight,1.033,1,0,0,0
2026-09-03_composite-vs-equal-weight,1.046,0,0,0,0
2026-09-03_composite-vs-equal-weight,1.048,1,0,0,0
2026-09-03_composite-vs-equal-weight,1.069,0,0,0,0
2026-09-03_composite-vs-equal-weight,1.084,0,0,0,0
2026-09-03_composite-vs-equal-weight,1.089,1,0,0,0
2026-09-03_composite-vs-equal-weight,10.63%,1,0,0,0
2026-09-03_core-plus-trend-sleeve,+10.97%,0,0,0,0
2026-09-03_core-plus-trend-sleeve,+18.33%,0,0,0,0
2026-09-03_core-plus-trend-sleeve,+21.57%,0,0,0,0
2026-09-03_core-plus-trend-sleeve,+26.07%,0,0,0,0
2026-09-03_core-plus-trend-sleeve,-18.18%,0,0,0,0
2026-09-03_core-plus-trend-sleeve,1.018,0,0,0,0
2026-09-03_core-plus-trend-sleeve,1.041,0,0,0,0
2026-09-03_core-plus-trend-sleeve,1.044,0,0,0,0
2026-09-03_core-plus-trend-sleeve,1.084,0,0,0,0
2026-09-03_core-plus-trend-sleeve,1.146,0,0,0,0
2026-09-03_core-plus-trend-sleeve,12.06,0,0,0,0
2026-09-03_full-exposure-v1,1.333,0,0,0,0
2026-09-03_full-exposure-v1,12.75%,0,0,0,0
2026-09-03_full-exposure-v1,12.96%,0,0,0,0
2026-09-03_full-exposure-v1,13.29%,0,0,0,0
2026-09-03_full-exposure-v1,17.72%,0,0,0,0
2026-09-03_macro-trend-ensemble,1.084,1,0,0,0
2026-09-03_macro-trend-ensemble,1.087,1,0,0,0
2026-09-03_macro-trend-ensemble,12.06,0,0,0,0
2026-09-03_macro-trend-ensemble,13.02,0,0,0,0
2026-09-03_macro-trend-ensemble,13.52,0,0,0,0
2026-09-03_qqq-trend-only,1.004,1,0,0,0
2026-09-03_qqq-trend-only,1.008,1,0,0,0
2026-09-03_qqq-trend-only,1.013,0,0,0,0
2026-09-03_qqq-trend-only,1.053,0,0,0,0
2026-09-03_qqq-trend-only,1.056,0,0,0,0
2026-09-03_qqq-trend-only,1.061,0,0,0,0
2026-09-03_qqq-trend-only,1.085,0,0,0,0
2026-09-03_qqq-trend-only,1.094,0,0,0,0
2026-09-03_qqq-trend-only,1.098,0,0,0,0
2026-09-03_qqq-trend-only,1.103,0,0,0,0
2026-09-03_qqq-trend-only,1.108,1,0,0,0
2026-09-03_qqq-trend-only,1.112,0,0,0,0
2026-09-03_qqq-trend-only,1.175,0,0,0,0
2026-09-03_qqq-trend-only,1.194,0,0,0,0
2026-09-03_qqq-trend-only,1.231,0,0,0,0
2026-09-03_qqq-trend-only,1.266,0,0,0,0
2026-09-03_qqq-trend-only,1.284,0,0,0,0
2026-09-03_qqq-trend-only,1.314,0,0,0,0
2026-09-03_qqq-trend-only,1.328,0,0,0,0
2026-09-03_qqq-trend-only,10.63,0,0,0,0
2026-09-03_qqq-trend-only,11.22,0,0,0,0
2026-09-03_qqq-trend-only,12.06,0,0,0,0
2026-09-03_qqq-trend-only,15.19%,0,0,0,0
2026-09-03_qqq-trend-only,27.86,1,0,0,0
2026-09-04_52w-high-proximity_C,1.027,1,1,1,1
2026-09-04_52w-high-proximity_C,1.088,1,1,1,1
2026-09-04_52w-high-proximity_C,1.093,1,1,1,1
2026-09-04_52w-high-proximity_C,1.103,1,1,1,1
2026-09-04_52w-high-proximity_C,1.146,1,0,0,1
2026-09-04_52w-high-proximity_C,1.198,0,1,1,1
2026-09-04_abs-momentum-filter_C,-20.05%,0,0,0,0
