# 2026-09-18 idea 1267 lane cloud — does-a-DEFENSIVE-SECTOR-ROTATION-buy-the-DD-LEG-more-cheaply-than-DE-GROSSING
# frozen book: RAW 3-leg composite, gate = above 200d MA AND vol20 < 0.6, N=20, H=126, GROSS=0.75, weekly, 10 bps, t+1, warm-up 260
# DIAL 1 BETA_LOOK = [63, 126, 252]   DIAL 2 ROT = [0.0, 0.25, 0.5, 0.75, 1.0] (0.00 = do-nothing control)
# reported-not-dials: panel {U56,B135,SMALL} x FILL ['RESPREAD', 'CASH'] x ROT_KIND ['LOWBETA', 'HIGHBETA', 'RANDOM'] (RANDOM over 3 seeds = the PURE EXPOSURE control)
# CORE SELECTION IDENTICAL AT EVERY CELL; tactical names are released every rebalance and never acquire the min hold
# SMALL panel: 715 names, 52 dropped for max_1d_move >= 1.0 -> 663 investable

## U56  n_days=4707  n_names=55  2009-01-13..2026-09-17
   SPY     full  15.13% / 0.8849 / -33.72%   halves 0.9600/0.8236   OOS 0.8747
   LIVE v2 full   8.62% / 1.2018 / -12.05%   OOS 1.2781
   4b bars: DD cap -20.23%   CAGR floor  10.59%   Sharpe bars H1 0.9600 H2 0.8236 OOS 0.8747

   --- MINHOLD 126 / FILL RESPREAD ---
   kind     look   ROT |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe |  OOS Sh | turn  gross beta | rotwk rotsl | 4a 4b | fail4b
   LOWBETA    63  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   LOWBETA    63  0.25 |  15.64%   1.1464  -19.10% | 1.1981/1.1138 |  1.1846 |  3.22 0.750  0.65 | 0.033 0.050 | n  Y | -
   LOWBETA    63  0.50 |  15.47%   1.1369  -19.16% | 1.1857/1.1063 |  1.1778 |  3.19 0.750  0.65 | 0.036 0.103 | n  Y | -
   LOWBETA    63  0.75 |  15.47%   1.1382  -19.20% | 1.1925/1.1023 |  1.1743 |  3.10 0.750  0.65 | 0.037 0.157 | n  Y | -
   LOWBETA    63  1.00 |  15.40%   1.1339  -19.35% | 1.1898/1.0962 |  1.1688 |  3.12 0.750  0.65 | 0.037 0.205 | n  Y | -
   LOWBETA   126  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   LOWBETA   126  0.25 |  15.68%   1.1476  -19.32% | 1.2096/1.1068 |  1.1779 |  3.16 0.750  0.65 | 0.033 0.050 | n  Y | -
   LOWBETA   126  0.50 |  15.59%   1.1450  -19.16% | 1.2074/1.1032 |  1.1749 |  3.05 0.750  0.65 | 0.036 0.103 | n  Y | -
   LOWBETA   126  0.75 |  15.52%   1.1411  -19.20% | 1.1987/1.1024 |  1.1745 |  3.05 0.750  0.65 | 0.037 0.157 | n  Y | -
   LOWBETA   126  1.00 |  15.43%   1.1351  -19.35% | 1.1919/1.0966 |  1.1691 |  3.08 0.750  0.66 | 0.037 0.205 | n  Y | -
   LOWBETA   252  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   LOWBETA   252  0.25 |  15.61%   1.1434  -19.32% | 1.2062/1.1019 |  1.1732 |  3.25 0.750  0.65 | 0.033 0.050 | n  Y | -
   LOWBETA   252  0.50 |  15.61%   1.1459  -19.16% | 1.2074/1.1048 |  1.1764 |  3.17 0.750  0.65 | 0.036 0.103 | n  Y | -
   LOWBETA   252  0.75 |  15.51%   1.1405  -19.20% | 1.1987/1.1013 |  1.1734 |  3.15 0.750  0.65 | 0.037 0.157 | n  Y | -
   LOWBETA   252  1.00 |  15.43%   1.1358  -19.35% | 1.1919/1.0980 |  1.1704 |  3.15 0.750  0.65 | 0.037 0.205 | n  Y | -
   HIGHBETA   63  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   HIGHBETA   63  0.25 |  15.77%   1.1459  -19.27% | 1.2035/1.1073 |  1.1779 |  3.84 0.750  0.67 | 0.033 0.050 | n  Y | -
