CLAIM_SET,NO_EFFECT_RULE,uid,src,load_bearing,MIN_MULT,MAX_MULT,BAND_LO,K_MIN,K_MAX,INFLATION,FAILS,IN_DOMAIN,HAS_VERDICT,COMPARATIVE,CARRIED
C_STRICT,R_MIN,1c990a5476,LEADERBOARD,1.0,1.0,1.0,,3,594,1.9251546022643684,True,False,False,True,False
C_STRICT,R_MIN,d3795065a0,LEADERBOARD,2.0,2.0,2.0,,3,126,1.9251546022643684,False,False,True,False,False
C_STRICT,R_MIN,d1eff3e1a0,LEADERBOARD,0.25,0.25,12.2,,3,4,1.2163468668042485,True,True,False,False,False
C_STRICT,R_MIN,26eb9abe24,LEADERBOARD,9.0,9.0,9.0,,3,20,1.9251546022643684,False,False,True,False,False
C_STRICT,R_MIN,b57a9c7eb7,LEADERBOARD,4.5,4.5,4.5,,13,115,1.0,False,False,True,False,False
C_STRICT,R_MIN,62f849389e,LEADERBOARD,2.4,2.4,10.8,,2,16,2.8877327564586013,True,False,True,False,False
C_STRICT,R_MIN,7646111b64,LEADERBOARD,1.9,1.9,1.9,,40,504,1.0,False,False,True,True,True
C_STRICT,R_MIN,df310e4669,LEADERBOARD,1.902,1.902,1.969,,3,30,1.9251546022643684,True,False,True,True,True
C_STRICT,R_MIN,939260a89d,LEADERBOARD,2.0,2.0,2.0,,24,136,1.0,False,False,True,True,True
C_STRICT,R_MIN,08505a00dd,LEADERBOARD,10.0,10.0,10.0,,1,12,2.8877327564586013,False,True,False,True,False
C_STRICT,R_MIN,117b87e3fc,LEADERBOARD,5.07,5.07,7.68,,3,126,1.9251546022643684,False,False,False,False,False
C_STRICT,R_MIN,47321c5a99,LEADERBOARD,16.0,16.0,56.0,,0,126,2.8877327564586013,False,False,True,False,False
C_STRICT,R_MIN,041e801a15,LEADERBOARD,5.09,5.09,6.7,,0,136,2.8877327564586013,False,False,True,True,True
C_STRICT,R_MIN,1c38821699,LEADERBOARD,1.0,1.0,6.66,,3,45,1.9251546022643684,True,False,True,False,False
C_STRICT,R_MIN,a2cb1c891b,LEADERBOARD,4.816,4.816,20.0,,0,54,2.8877327564586013,False,False,True,False,False
C_STRICT,R_MIN,5b2bd15130,LEADERBOARD,0.6,0.6,0.7,,19,62,1.0,True,False,True,False,False
C_STRICT,R_MIN,b48150da2c,LEADERBOARD,8.2,8.2,10.9,,2,816,2.8877327564586013,False,False,True,False,False
C_STRICT,R_MIN,d1e45a7a60,LEADERBOARD,39.0,39.0,39.0,,7,9,1.0982373998699135,False,True,True,True,True
C_STRICT,R_MIN,c54d81435b,LEADERBOARD,1.75,1.75,1.75,,3,96,1.9251546022643684,True,False,False,False,False
C_STRICT,R_MIN,abd597ea56,LEADERBOARD,10.0,10.0,10.0,,2,252,2.8877327564586013,False,False,False,False,False
C_STRICT,R_MIN,f4623990eb,LEADERBOARD,1.8,1.8,1.8,,4,439,1.5827348717741971,False,False,True,True,True
C_STRICT,R_MIN,389bc03035,LEADERBOARD,0.85,0.85,0.85,,3,5,1.3742004018743106,True,True,True,False,False
